"Measure","Income Bracket","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Value","Denominator"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2014/15-2016/17","Three-year average","Other ethnic group","ONS 5+2","24","470"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2015/16-2017/18","Three-year average","All","ONS 5+2","2","57814"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2015/16-2017/18","Three-year average","All","ONS 5+2","5","57814"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2015/16-2017/18","Three-year average","All","ONS 5+2","11","57814"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2015/16-2017/18","Three-year average","All","ONS 5+2","12","57814"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2015/16-2017/18","Three-year average","All","ONS 5+2","11","57814"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2015/16-2017/18","Three-year average","All","ONS 5+2","9","57814"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2015/16-2017/18","Three-year average","All","ONS 5+2","8","57814"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2015/16-2017/18","Three-year average","All","ONS 5+2","7","57814"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2015/16-2017/18","Three-year average","All","ONS 5+2","6","57814"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2015/16-2017/18","Three-year average","All","ONS 5+2","5","57814"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2015/16-2017/18","Three-year average","All","ONS 5+2","27","57814"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2015/16-2017/18","Three-year average","White","ONS 5+2","2","53146"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2015/16-2017/18","Three-year average","White","ONS 5+2","5","53146"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2015/16-2017/18","Three-year average","White","ONS 5+2","11","53146"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2015/16-2017/18","Three-year average","White","ONS 5+2","12","53146"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2015/16-2017/18","Three-year average","White","ONS 5+2","11","53146"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2015/16-2017/18","Three-year average","White","ONS 5+2","9","53146"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2015/16-2017/18","Three-year average","White","ONS 5+2","7","53146"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2015/16-2017/18","Three-year average","White","ONS 5+2","7","53146"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2015/16-2017/18","Three-year average","White","ONS 5+2","6","53146"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2015/16-2017/18","Three-year average","White","ONS 5+2","5","53146"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2015/16-2017/18","Three-year average","White","ONS 5+2","27","53146"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2015/16-2017/18","Three-year average","White British","ONS 5+2","2","50523"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2015/16-2017/18","Three-year average","White British","ONS 5+2","5","50523"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2015/16-2017/18","Three-year average","White British","ONS 5+2","11","50523"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2015/16-2017/18","Three-year average","White British","ONS 5+2","12","50523"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2015/16-2017/18","Three-year average","White British","ONS 5+2","11","50523"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2015/16-2017/18","Three-year average","White British","ONS 5+2","9","50523"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2015/16-2017/18","Three-year average","White British","ONS 5+2","7","50523"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2015/16-2017/18","Three-year average","White British","ONS 5+2","7","50523"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2015/16-2017/18","Three-year average","White British","ONS 5+2","6","50523"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2015/16-2017/18","Three-year average","White British","ONS 5+2","5","50523"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2015/16-2017/18","Three-year average","White British","ONS 5+2","26","50523"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2015/16-2017/18","Three-year average","White Other","ONS 5+2","2","2623"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2015/16-2017/18","Three-year average","White Other","ONS 5+2","3","2623"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2015/16-2017/18","Three-year average","White Other","ONS 5+2","7","2623"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2015/16-2017/18","Three-year average","White Other","ONS 5+2","9","2623"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2015/16-2017/18","Three-year average","White Other","ONS 5+2","10","2623"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2015/16-2017/18","Three-year average","White Other","ONS 5+2","10","2623"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2015/16-2017/18","Three-year average","White Other","ONS 5+2","9","2623"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2015/16-2017/18","Three-year average","White Other","ONS 5+2","7","2623"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2015/16-2017/18","Three-year average","White Other","ONS 5+2","6","2623"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2015/16-2017/18","Three-year average","White Other","ONS 5+2","5","2623"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2015/16-2017/18","Three-year average","White Other","ONS 5+2","31","2623"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2015/16-2017/18","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","3","499"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2015/16-2017/18","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","5","499"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2015/16-2017/18","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","11","499"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2015/16-2017/18","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","13","499"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2015/16-2017/18","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","11","499"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2015/16-2017/18","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","9","499"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2015/16-2017/18","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","7","499"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2015/16-2017/18","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","9","499"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2015/16-2017/18","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","6","499"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2015/16-2017/18","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","4","499"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2015/16-2017/18","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","24","499"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2015/16-2017/18","Three-year average","Asian/ Asian British","ONS 5+2","2","2391"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2015/16-2017/18","Three-year average","Asian/ Asian British","ONS 5+2","4","2391"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2015/16-2017/18","Three-year average","Asian/ Asian British","ONS 5+2","7","2391"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2015/16-2017/18","Three-year average","Asian/ Asian British","ONS 5+2","8","2391"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2015/16-2017/18","Three-year average","Asian/ Asian British","ONS 5+2","10","2391"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2015/16-2017/18","Three-year average","Asian/ Asian British","ONS 5+2","9","2391"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2015/16-2017/18","Three-year average","Asian/ Asian British","ONS 5+2","9","2391"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2015/16-2017/18","Three-year average","Asian/ Asian British","ONS 5+2","8","2391"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2015/16-2017/18","Three-year average","Asian/ Asian British","ONS 5+2","5","2391"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2015/16-2017/18","Three-year average","Asian/ Asian British","ONS 5+2","6","2391"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2015/16-2017/18","Three-year average","Asian/ Asian British","ONS 5+2","31","2391"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2015/16-2017/18","Three-year average","Indian","ONS 5+2","2","976"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2015/16-2017/18","Three-year average","Indian","ONS 5+2","3","976"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2015/16-2017/18","Three-year average","Indian","ONS 5+2","7","976"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2015/16-2017/18","Three-year average","Indian","ONS 5+2","6","976"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2015/16-2017/18","Three-year average","Indian","ONS 5+2","7","976"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2015/16-2017/18","Three-year average","Indian","ONS 5+2","6","976"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2015/16-2017/18","Three-year average","Indian","ONS 5+2","7","976"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2015/16-2017/18","Three-year average","Indian","ONS 5+2","7","976"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2015/16-2017/18","Three-year average","Indian","ONS 5+2","6","976"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2015/16-2017/18","Three-year average","Indian","ONS 5+2","7","976"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2015/16-2017/18","Three-year average","Indian","ONS 5+2","42","976"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2015/16-2017/18","Three-year average","Pakistani","ONS 5+2","2","596"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2015/16-2017/18","Three-year average","Pakistani","ONS 5+2","7","596"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2015/16-2017/18","Three-year average","Pakistani","ONS 5+2","7","596"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2015/16-2017/18","Three-year average","Pakistani","ONS 5+2","8","596"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2015/16-2017/18","Three-year average","Pakistani","ONS 5+2","13","596"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2015/16-2017/18","Three-year average","Pakistani","ONS 5+2","12","596"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2015/16-2017/18","Three-year average","Pakistani","ONS 5+2","10","596"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2015/16-2017/18","Three-year average","Pakistani","ONS 5+2","8","596"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2015/16-2017/18","Three-year average","Pakistani","ONS 5+2","6","596"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2015/16-2017/18","Three-year average","Pakistani","ONS 5+2","5","596"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2015/16-2017/18","Three-year average","Pakistani","ONS 5+2","20","596"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2015/16-2017/18","Three-year average","Bangladeshi","ONS 5+2","1","243"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2015/16-2017/18","Three-year average","Bangladeshi","ONS 5+2","2","243"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2015/16-2017/18","Three-year average","Bangladeshi","ONS 5+2","6","243"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2015/16-2017/18","Three-year average","Bangladeshi","ONS 5+2","11","243"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2015/16-2017/18","Three-year average","Bangladeshi","ONS 5+2","13","243"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2015/16-2017/18","Three-year average","Bangladeshi","ONS 5+2","13","243"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2015/16-2017/18","Three-year average","Bangladeshi","ONS 5+2","15","243"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2015/16-2017/18","Three-year average","Bangladeshi","ONS 5+2","12","243"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2015/16-2017/18","Three-year average","Bangladeshi","ONS 5+2","5","243"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2015/16-2017/18","Three-year average","Bangladeshi","ONS 5+2","2","243"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2015/16-2017/18","Three-year average","Bangladeshi","ONS 5+2","20","243"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2015/16-2017/18","Three-year average","Chinese","ONS 5+2","5","215"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2015/16-2017/18","Three-year average","Chinese","ONS 5+2","5","215"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2015/16-2017/18","Three-year average","Chinese","ONS 5+2","9","215"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2015/16-2017/18","Three-year average","Chinese","ONS 5+2","10","215"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2015/16-2017/18","Three-year average","Chinese","ONS 5+2","8","215"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2015/16-2017/18","Three-year average","Chinese","ONS 5+2","10","215"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2015/16-2017/18","Three-year average","Chinese","ONS 5+2","8","215"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2015/16-2017/18","Three-year average","Chinese","ONS 5+2","6","215"
"Average weekly household income","Percentages of households with incomes of  £800 but less than £900 by ethnic group of head","2015/16-2017/18","Three-year average","Chinese","ONS 5+2","4","215"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2015/16-2017/18","Three-year average","Chinese","ONS 5+2","7","215"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2015/16-2017/18","Three-year average","Chinese","ONS 5+2","29","215"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2015/16-2017/18","Three-year average","Any other Asian background","ONS 5+2","2","361"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2015/16-2017/18","Three-year average","Any other Asian background","ONS 5+2","5","361"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2015/16-2017/18","Three-year average","Any other Asian background","ONS 5+2","8","361"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2015/16-2017/18","Three-year average","Any other Asian background","ONS 5+2","8","361"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2015/16-2017/18","Three-year average","Any other Asian background","ONS 5+2","11","361"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2015/16-2017/18","Three-year average","Any other Asian background","ONS 5+2","11","361"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2015/16-2017/18","Three-year average","Any other Asian background","ONS 5+2","7","361"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2015/16-2017/18","Three-year average","Any other Asian background","ONS 5+2","11","361"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2015/16-2017/18","Three-year average","Any other Asian background","ONS 5+2","4","361"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2015/16-2017/18","Three-year average","Any other Asian background","ONS 5+2","6","361"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2015/16-2017/18","Three-year average","Any other Asian background","ONS 5+2","28","361"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2015/16-2017/18","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","4","1288"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2015/16-2017/18","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","6","1288"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2015/16-2017/18","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","10","1288"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2015/16-2017/18","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","15","1288"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2015/16-2017/18","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","11","1288"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2015/16-2017/18","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","11","1288"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2015/16-2017/18","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","9","1288"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2015/16-2017/18","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","7","1288"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2015/16-2017/18","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","5","1288"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2015/16-2017/18","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","4","1288"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2015/16-2017/18","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","19","1288"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2015/16-2017/18","Three-year average","Other ethnic group","ONS 5+2","3","490"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2015/16-2017/18","Three-year average","Other ethnic group","ONS 5+2","5","490"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2015/16-2017/18","Three-year average","Other ethnic group","ONS 5+2","8","490"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2015/16-2017/18","Three-year average","Other ethnic group","ONS 5+2","13","490"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2015/16-2017/18","Three-year average","Other ethnic group","ONS 5+2","10","490"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2015/16-2017/18","Three-year average","Other ethnic group","ONS 5+2","12","490"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2015/16-2017/18","Three-year average","Other ethnic group","ONS 5+2","7","490"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2015/16-2017/18","Three-year average","Other ethnic group","ONS 5+2","7","490"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2015/16-2017/18","Three-year average","Other ethnic group","ONS 5+2","5","490"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2015/16-2017/18","Three-year average","Other ethnic group","ONS 5+2","4","490"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2015/16-2017/18","Three-year average","Other ethnic group","ONS 5+2","27","490"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2016/17-2018/19","Three-year average","All","ONS 5+2","2","57665"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2016/17-2018/19","Three-year average","All","ONS 5+2","5","57665"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2016/17-2018/19","Three-year average","All","ONS 5+2","10","57665"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2016/17-2018/19","Three-year average","All","ONS 5+2","11","57665"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2016/17-2018/19","Three-year average","All","ONS 5+2","10","57665"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2016/17-2018/19","Three-year average","All","ONS 5+2","9","57665"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2016/17-2018/19","Three-year average","All","ONS 5+2","8","57665"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2016/17-2018/19","Three-year average","All","ONS 5+2","7","57665"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2016/17-2018/19","Three-year average","All","ONS 5+2","6","57665"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2016/17-2018/19","Three-year average","All","ONS 5+2","5","57665"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2016/17-2018/19","Three-year average","All","ONS 5+2","28","57665"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2016/17-2018/19","Three-year average","White","ONS 5+2","2","52924"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2016/17-2018/19","Three-year average","White","ONS 5+2","5","52924"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2016/17-2018/19","Three-year average","White","ONS 5+2","10","52924"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2016/17-2018/19","Three-year average","White","ONS 5+2","11","52924"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2016/17-2018/19","Three-year average","White","ONS 5+2","10","52924"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2016/17-2018/19","Three-year average","White","ONS 5+2","9","52924"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2016/17-2018/19","Three-year average","White","ONS 5+2","7","52924"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2016/17-2018/19","Three-year average","White","ONS 5+2","7","52924"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2016/17-2018/19","Three-year average","White","ONS 5+2","6","52924"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2016/17-2018/19","Three-year average","White","ONS 5+2","5","52924"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2016/17-2018/19","Three-year average","White","ONS 5+2","28","52924"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2016/17-2018/19","Three-year average","White British","ONS 5+2","2","50192"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2016/17-2018/19","Three-year average","White British","ONS 5+2","5","50192"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2016/17-2018/19","Three-year average","White British","ONS 5+2","11","50192"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2016/17-2018/19","Three-year average","White British","ONS 5+2","11","50192"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2016/17-2018/19","Three-year average","White British","ONS 5+2","10","50192"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2016/17-2018/19","Three-year average","White British","ONS 5+2","9","50192"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2016/17-2018/19","Three-year average","White British","ONS 5+2","7","50192"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2016/17-2018/19","Three-year average","White British","ONS 5+2","7","50192"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2016/17-2018/19","Three-year average","White British","ONS 5+2","6","50192"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2016/17-2018/19","Three-year average","White British","ONS 5+2","5","50192"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2016/17-2018/19","Three-year average","White British","ONS 5+2","28","50192"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2016/17-2018/19","Three-year average","White Other","ONS 5+2","3","2732"
