"Measure","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Value","value_type","Denominator"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","8","%","471"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","6","%","471"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","5","%","471"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","5","%","471"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","19","%","471"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","2","%","59,004"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","6","%","59,004"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","12","%","59,004"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","12","%","59,004"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","11","%","59,004"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","9","%","59,004"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","8","%","59,004"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","6","%","59,004"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","6","%","59,004"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","5","%","59,004"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","24","%","59,004"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","2","%","54,404"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","6","%","54,404"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","12","%","54,404"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","12","%","54,404"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","11","%","54,404"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","9","%","54,404"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","8","%","54,404"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","6","%","54,404"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","6","%","54,404"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","5","%","54,404"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","24","%","54,404"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","2","%","51,964"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","6","%","51,964"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","12","%","51,964"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","12","%","51,964"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","11","%","51,964"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","9","%","51,964"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","8","%","51,964"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","6","%","51,964"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","6","%","51,964"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","5","%","51,964"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","24","%","51,964"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","2","%","2,440"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","5","%","2,440"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","10","%","2,440"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","9","%","2,440"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","10","%","2,440"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","10","%","2,440"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","8","%","2,440"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","7","%","2,440"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","6","%","2,440"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","5","%","2,440"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","29","%","2,440"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","2","%","471"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","6","%","471"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","14","%","471"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","8","%","471"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","10","%","471"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","12","%","471"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","8","%","471"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","7","%","471"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","6","%","471"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","4","%","471"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","23","%","471"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","2","%","2,317"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","6","%","2,317"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","7","%","2,317"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","9","%","2,317"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","11","%","2,317"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","10","%","2,317"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","9","%","2,317"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","8","%","2,317"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","5","%","2,317"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","5","%","2,317"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","29","%","2,317"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","2","%","993"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","5","%","993"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","6","%","993"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","9","%","993"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","9","%","993"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","9","%","993"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","9","%","993"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","7","%","993"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","5","%","993"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","6","%","993"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","35","%","993"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2013/14-2015/16","Three-year average","Pakistani","ONS 5+2","3","%","567"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2013/14-2015/16","Three-year average","Pakistani","ONS 5+2","7","%","567"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2013/14-2015/16","Three-year average","Pakistani","ONS 5+2","8","%","567"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2013/14-2015/16","Three-year average","Pakistani","ONS 5+2","10","%","567"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2013/14-2015/16","Three-year average","Pakistani","ONS 5+2","12","%","567"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2013/14-2015/16","Three-year average","Pakistani","ONS 5+2","13","%","567"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2013/14-2015/16","Three-year average","Pakistani","ONS 5+2","10","%","567"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2013/14-2015/16","Three-year average","Pakistani","ONS 5+2","11","%","567"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2013/14-2015/16","Three-year average","Pakistani","ONS 5+2","5","%","567"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2013/14-2015/16","Three-year average","Pakistani","ONS 5+2","4","%","567"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2013/14-2015/16","Three-year average","Pakistani","ONS 5+2","17","%","567"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 5+2","-","%","206"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 5+2","5","%","206"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 5+2","11","%","206"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 5+2","16","%","206"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 5+2","11","%","206"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 5+2","10","%","206"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 5+2","10","%","206"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 5+2","9","%","206"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 5+2","4","%","206"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 5+2","3","%","206"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 5+2","21","%","206"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 5+2","5","%","209"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 5+2","7","%","209"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 5+2","8","%","209"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 5+2","7","%","209"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 5+2","13","%","209"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 5+2","4","%","209"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 5+2","6","%","209"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 5+2","9","%","209"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 5+2","5","%","209"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 5+2","6","%","209"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 5+2","30","%","209"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2013/14-2015/16","Three-year average","Any other Asian background","ONS 5+2","2","%","342"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2013/14-2015/16","Three-year average","Any other Asian background","ONS 5+2","5","%","342"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2013/14-2015/16","Three-year average","Any other Asian background","ONS 5+2","7","%","342"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2013/14-2015/16","Three-year average","Any other Asian background","ONS 5+2","7","%","342"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2013/14-2015/16","Three-year average","Any other Asian background","ONS 5+2","10","%","342"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2013/14-2015/16","Three-year average","Any other Asian background","ONS 5+2","9","%","342"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2013/14-2015/16","Three-year average","Any other Asian background","ONS 5+2","11","%","342"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2013/14-2015/16","Three-year average","Any other Asian background","ONS 5+2","7","%","342"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2013/14-2015/16","Three-year average","Any other Asian background","ONS 5+2","5","%","342"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2013/14-2015/16","Three-year average","Any other Asian background","ONS 5+2","5","%","342"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2013/14-2015/16","Three-year average","Any other Asian background","ONS 5+2","33","%","342"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2013/14-2015/16","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","4","%","1,352"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2013/14-2015/16","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","7","%","1,352"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2013/14-2015/16","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","12","%","1,352"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2013/14-2015/16","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","12","%","1,352"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2013/14-2015/16","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","12","%","1,352"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2013/14-2015/16","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","10","%","1,352"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2013/14-2015/16","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","10","%","1,352"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2013/14-2015/16","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","7","%","1,352"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2013/14-2015/16","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","5","%","1,352"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2013/14-2015/16","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","5","%","1,352"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2013/14-2015/16","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","16","%","1,352"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2013/14-2015/16","Three-year average","Other ethnic group","ONS 5+2","4","%","460"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2013/14-2015/16","Three-year average","Other ethnic group","ONS 5+2","8","%","460"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2013/14-2015/16","Three-year average","Other ethnic group","ONS 5+2","10","%","460"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2013/14-2015/16","Three-year average","Other ethnic group","ONS 5+2","15","%","460"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2013/14-2015/16","Three-year average","Other ethnic group","ONS 5+2","10","%","460"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2013/14-2015/16","Three-year average","Other ethnic group","ONS 5+2","7","%","460"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2013/14-2015/16","Three-year average","Other ethnic group","ONS 5+2","8","%","460"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2013/14-2015/16","Three-year average","Other ethnic group","ONS 5+2","5","%","460"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2013/14-2015/16","Three-year average","Other ethnic group","ONS 5+2","5","%","460"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2013/14-2015/16","Three-year average","Other ethnic group","ONS 5+2","5","%","460"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2013/14-2015/16","Three-year average","Other ethnic group","ONS 5+2","22","%","460"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2014/15-2016/17","Three-year average","All","ONS 5+2","2","%","58,242"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2014/15-2016/17","Three-year average","All","ONS 5+2","6","%","58,242"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2014/15-2016/17","Three-year average","All","ONS 5+2","11","%","58,242"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2014/15-2016/17","Three-year average","All","ONS 5+2","12","%","58,242"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2014/15-2016/17","Three-year average","All","ONS 5+2","11","%","58,242"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2014/15-2016/17","Three-year average","All","ONS 5+2","9","%","58,242"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2014/15-2016/17","Three-year average","All","ONS 5+2","8","%","58,242"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2014/15-2016/17","Three-year average","All","ONS 5+2","7","%","58,242"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2014/15-2016/17","Three-year average","All","ONS 5+2","6","%","58,242"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2014/15-2016/17","Three-year average","All","ONS 5+2","5","%","58,242"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2014/15-2016/17","Three-year average","All","ONS 5+2","25","%","58,242"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2014/15-2016/17","Three-year average","White","ONS 5+2","2","%","53,566"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2014/15-2016/17","Three-year average","White","ONS 5+2","6","%","53,566"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2014/15-2016/17","Three-year average","White","ONS 5+2","12","%","53,566"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2014/15-2016/17","Three-year average","White","ONS 5+2","12","%","53,566"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2014/15-2016/17","Three-year average","White","ONS 5+2","11","%","53,566"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2014/15-2016/17","Three-year average","White","ONS 5+2","9","%","53,566"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2014/15-2016/17","Three-year average","White","ONS 5+2","8","%","53,566"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2014/15-2016/17","Three-year average","White","ONS 5+2","7","%","53,566"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2014/15-2016/17","Three-year average","White","ONS 5+2","6","%","53,566"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2014/15-2016/17","Three-year average","White","ONS 5+2","5","%","53,566"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2014/15-2016/17","Three-year average","White","ONS 5+2","25","%","53,566"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2014/15-2016/17","Three-year average","White British","ONS 5+2","2","%","51,065"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2014/15-2016/17","Three-year average","White British","ONS 5+2","6","%","51,065"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2014/15-2016/17","Three-year average","White British","ONS 5+2","12","%","51,065"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2014/15-2016/17","Three-year average","White British","ONS 5+2","12","%","51,065"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2014/15-2016/17","Three-year average","White British","ONS 5+2","11","%","51,065"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2014/15-2016/17","Three-year average","White British","ONS 5+2","9","%","51,065"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2014/15-2016/17","Three-year average","White British","ONS 5+2","8","%","51,065"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2014/15-2016/17","Three-year average","White British","ONS 5+2","7","%","51,065"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2014/15-2016/17","Three-year average","White British","ONS 5+2","6","%","51,065"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2014/15-2016/17","Three-year average","White British","ONS 5+2","5","%","51,065"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2014/15-2016/17","Three-year average","White British","ONS 5+2","25","%","51,065"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2014/15-2016/17","Three-year average","White non-British","ONS 5+2","2","%","2,501"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2014/15-2016/17","Three-year average","White non-British","ONS 5+2","4","%","2,501"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2014/15-2016/17","Three-year average","White non-British","ONS 5+2","9","%","2,501"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2014/15-2016/17","Three-year average","White non-British","ONS 5+2","9","%","2,501"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2014/15-2016/17","Three-year average","White non-British","ONS 5+2","10","%","2,501"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2014/15-2016/17","Three-year average","White non-British","ONS 5+2","9","%","2,501"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2014/15-2016/17","Three-year average","White non-British","ONS 5+2","9","%","2,501"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2014/15-2016/17","Three-year average","White non-British","ONS 5+2","7","%","2,501"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2014/15-2016/17","Three-year average","White non-British","ONS 5+2","5","%","2,501"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2014/15-2016/17","Three-year average","White non-British","ONS 5+2","5","%","2,501"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2014/15-2016/17","Three-year average","White non-British","ONS 5+2","30","%","2,501"
