"Measure","Time","Ethnicity of household reference person","Ethnicity_type","Geography","Value","Denominator"
"All in receipt of benefit by ethnic group of head","2016/17-2018/19","Any other Asian background","ONS 5+2","K02000001","46","483"
"All in receipt of state support by ethnic group of head","2016/17-2018/19","Any other Asian background","ONS 5+2","K02000001","47","483"
"All in receipt of Tax Credits by ethnic group of head","2016/17-2018/19","Any other Asian background","ONS 5+2","K02000001","16","483"
"Armed Forces Compensation Scheme by ethnic group of head","2016/17-2018/19","Any other Asian background","ONS 5+2","K02000001","~","483"
"Attendance Allowance by ethnic group of head","2016/17-2018/19","Any other Asian background","ONS 5+2","K02000001","~","483"
"Carer's Allowance by ethnic group of head","2016/17-2018/19","Any other Asian background","ONS 5+2","K02000001","~","483"
"Child Benefit by ethnic group of head","2016/17-2018/19","Any other Asian background","ONS 5+2","K02000001","29","483"
"Child Tax Credit by ethnic group of head","2016/17-2018/19","Any other Asian background","ONS 5+2","K02000001","14","483"
"Council Tax Reduction by ethnic group of head","2016/17-2018/19","Any other Asian background","ONS 5+2","K02000001","12","483"
"Disability Living Allowance (care component) by ethnic group of head","2016/17-2018/19","Any other Asian background","ONS 5+2","K02000001","2","483"
"Disability Living Allowance (mobility component) by ethnic group of head","2016/17-2018/19","Any other Asian background","ONS 5+2","K02000001","2","483"
"Employment and Support Allowance by ethnic group of head","2016/17-2018/19","Any other Asian background","ONS 5+2","K02000001","3","483"
"Housing Benefit by ethnic group of head","2016/17-2018/19","Any other Asian background","ONS 5+2","K02000001","14","483"
"Incapacity Benefit by ethnic group of head","2016/17-2018/19","Any other Asian background","ONS 5+2","K02000001","0","483"
"Income Support by ethnic group of head","2016/17-2018/19","Any other Asian background","ONS 5+2","K02000001","1","483"
"Industrial Injuries Disablement Benefit by ethnic group of head","2016/17-2018/19","Any other Asian background","ONS 5+2","K02000001","~","483"
"Jobseeker's Allowance by ethnic group of head","2016/17-2018/19","Any other Asian background","ONS 5+2","K02000001","2","483"
"On any income-related benefit by ethnic group of head","2016/17-2018/19","Any other Asian background","ONS 5+2","K02000001","18","483"
"On any non-income-related benefit by ethnic group of head","2016/17-2018/19","Any other Asian background","ONS 5+2","K02000001","41","483"
"Pension Credit by ethnic group of head","2016/17-2018/19","Any other Asian background","ONS 5+2","K02000001","1","483"
"Personal Independence Payment (daily living component) by ethnic group of head","2016/17-2018/19","Any other Asian background","ONS 5+2","K02000001","0","483"
"Personal Independence Payment (mobility component) by ethnic group of head","2016/17-2018/19","Any other Asian background","ONS 5+2","K02000001","0","483"
"Severe Disablement Allowance by ethnic group of head","2016/17-2018/19","Any other Asian background","ONS 5+2","K02000001","~","483"
"State Pension by ethnic group of head","2016/17-2018/19","Any other Asian background","ONS 5+2","K02000001","7","483"
"Widow's Benefits by ethnic group of head","2016/17-2018/19","Any other Asian background","ONS 5+2","K02000001","~","483"
"Working Tax Credit by ethnic group of head","2016/17-2018/19","Any other Asian background","ONS 5+2","K02000001","9","483"
"All in receipt of benefit by ethnic group of head","2016/17-2018/19","Asian/ Asian British","ONS 5+2","K02000001","44","3,452"
"All in receipt of state support by ethnic group of head","2016/17-2018/19","Asian/ Asian British","ONS 5+2","K02000001","45","3,452"
"All in receipt of Tax Credits by ethnic group of head","2016/17-2018/19","Asian/ Asian British","ONS 5+2","K02000001","15","3,452"
"Armed Forces Compensation Scheme by ethnic group of head","2016/17-2018/19","Asian/ Asian British","ONS 5+2","K02000001","~","3,452"
"Attendance Allowance by ethnic group of head","2016/17-2018/19","Asian/ Asian British","ONS 5+2","K02000001","1","3,452"
"Carer's Allowance by ethnic group of head","2016/17-2018/19","Asian/ Asian British","ONS 5+2","K02000001","3","3,452"
"Child Benefit by ethnic group of head","2016/17-2018/19","Asian/ Asian British","ONS 5+2","K02000001","27","3,452"
"Child Tax Credit by ethnic group of head","2016/17-2018/19","Asian/ Asian British","ONS 5+2","K02000001","14","3,452"
"Council Tax Reduction by ethnic group of head","2016/17-2018/19","Asian/ Asian British","ONS 5+2","K02000001","11","3,452"
"Disability Living Allowance (care component) by ethnic group of head","2016/17-2018/19","Asian/ Asian British","ONS 5+2","K02000001","5","3,452"
"Disability Living Allowance (mobility component) by ethnic group of head","2016/17-2018/19","Asian/ Asian British","ONS 5+2","K02000001","3","3,452"
"Employment and Support Allowance by ethnic group of head","2016/17-2018/19","Asian/ Asian British","ONS 5+2","K02000001","3","3,452"
"Housing Benefit by ethnic group of head","2016/17-2018/19","Asian/ Asian British","ONS 5+2","K02000001","10","3,452"
"Incapacity Benefit by ethnic group of head","2016/17-2018/19","Asian/ Asian British","ONS 5+2","K02000001","~","3,452"
"Income Support by ethnic group of head","2016/17-2018/19","Asian/ Asian British","ONS 5+2","K02000001","2","3,452"
"Industrial Injuries Disablement Benefit by ethnic group of head","2016/17-2018/19","Asian/ Asian British","ONS 5+2","K02000001","~","3,452"
"Jobseeker's Allowance by ethnic group of head","2016/17-2018/19","Asian/ Asian British","ONS 5+2","K02000001","2","3,452"
"On any income-related benefit by ethnic group of head","2016/17-2018/19","Asian/ Asian British","ONS 5+2","K02000001","16","3,452"
"On any non-income-related benefit by ethnic group of head","2016/17-2018/19","Asian/ Asian British","ONS 5+2","K02000001","41","3,452"
"Pension Credit by ethnic group of head","2016/17-2018/19","Asian/ Asian British","ONS 5+2","K02000001","2","3,452"
"Personal Independence Payment (daily living component) by ethnic group of head","2016/17-2018/19","Asian/ Asian British","ONS 5+2","K02000001","0","3,452"
"Personal Independence Payment (mobility component) by ethnic group of head","2016/17-2018/19","Asian/ Asian British","ONS 5+2","K02000001","0","3,452"
"Severe Disablement Allowance by ethnic group of head","2016/17-2018/19","Asian/ Asian British","ONS 5+2","K02000001","~","3,452"
"State Pension by ethnic group of head","2016/17-2018/19","Asian/ Asian British","ONS 5+2","K02000001","9","3,452"
"Widow's Benefits by ethnic group of head","2016/17-2018/19","Asian/ Asian British","ONS 5+2","K02000001","~","3,452"
"Working Tax Credit by ethnic group of head","2016/17-2018/19","Asian/ Asian British","ONS 5+2","K02000001","9","3,452"
"All in receipt of benefit by ethnic group of head","2016/17-2018/19","Bangladeshi","ONS 5+2","K02000001","49","419"
"All in receipt of state support by ethnic group of head","2016/17-2018/19","Bangladeshi","ONS 5+2","K02000001","49","419"
"All in receipt of Tax Credits by ethnic group of head","2016/17-2018/19","Bangladeshi","ONS 5+2","K02000001","25","419"
"Armed Forces Compensation Scheme by ethnic group of head","2016/17-2018/19","Bangladeshi","ONS 5+2","K02000001","~","419"
"Attendance Allowance by ethnic group of head","2016/17-2018/19","Bangladeshi","ONS 5+2","K02000001","1","419"
"Carer's Allowance by ethnic group of head","2016/17-2018/19","Bangladeshi","ONS 5+2","K02000001","4","419"
"Child Benefit by ethnic group of head","2016/17-2018/19","Bangladeshi","ONS 5+2","K02000001","33","419"
"Child Tax Credit by ethnic group of head","2016/17-2018/19","Bangladeshi","ONS 5+2","K02000001","24","419"
"Council Tax Reduction by ethnic group of head","2016/17-2018/19","Bangladeshi","ONS 5+2","K02000001","21","419"
"Disability Living Allowance (care component) by ethnic group of head","2016/17-2018/19","Bangladeshi","ONS 5+2","K02000001","8","419"
"Disability Living Allowance (mobility component) by ethnic group of head","2016/17-2018/19","Bangladeshi","ONS 5+2","K02000001","4","419"
"Employment and Support Allowance by ethnic group of head","2016/17-2018/19","Bangladeshi","ONS 5+2","K02000001","4","419"
"Housing Benefit by ethnic group of head","2016/17-2018/19","Bangladeshi","ONS 5+2","K02000001","23","419"
"Incapacity Benefit by ethnic group of head","2016/17-2018/19","Bangladeshi","ONS 5+2","K02000001","0","419"
"Income Support by ethnic group of head","2016/17-2018/19","Bangladeshi","ONS 5+2","K02000001","4","419"
"Industrial Injuries Disablement Benefit by ethnic group of head","2016/17-2018/19","Bangladeshi","ONS 5+2","K02000001","0","419"
"Jobseeker's Allowance by ethnic group of head","2016/17-2018/19","Bangladeshi","ONS 5+2","K02000001","2","419"
"On any income-related benefit by ethnic group of head","2016/17-2018/19","Bangladeshi","ONS 5+2","K02000001","30","419"
"On any non-income-related benefit by ethnic group of head","2016/17-2018/19","Bangladeshi","ONS 5+2","K02000001","46","419"
"Pension Credit by ethnic group of head","2016/17-2018/19","Bangladeshi","ONS 5+2","K02000001","2","419"
"Personal Independence Payment (daily living component) by ethnic group of head","2016/17-2018/19","Bangladeshi","ONS 5+2","K02000001","0","419"
"Personal Independence Payment (mobility component) by ethnic group of head","2016/17-2018/19","Bangladeshi","ONS 5+2","K02000001","0","419"
"Severe Disablement Allowance by ethnic group of head","2016/17-2018/19","Bangladeshi","ONS 5+2","K02000001","0","419"
"State Pension by ethnic group of head","2016/17-2018/19","Bangladeshi","ONS 5+2","K02000001","7","419"
"Widow's Benefits by ethnic group of head","2016/17-2018/19","Bangladeshi","ONS 5+2","K02000001","~","419"
"Working Tax Credit by ethnic group of head","2016/17-2018/19","Bangladeshi","ONS 5+2","K02000001","15","419"
"All in receipt of benefit by ethnic group of head","2016/17-2018/19","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","53","1,600"
"All in receipt of state support by ethnic group of head","2016/17-2018/19","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","53","1,600"
"All in receipt of Tax Credits by ethnic group of head","2016/17-2018/19","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","16","1,600"
"Armed Forces Compensation Scheme by ethnic group of head","2016/17-2018/19","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","~","1,600"
"Attendance Allowance by ethnic group of head","2016/17-2018/19","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","1","1,600"
"Carer's Allowance by ethnic group of head","2016/17-2018/19","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","2","1,600"
"Child Benefit by ethnic group of head","2016/17-2018/19","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","29","1,600"
"Child Tax Credit by ethnic group of head","2016/17-2018/19","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","16","1,600"
"Council Tax Reduction by ethnic group of head","2016/17-2018/19","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","20","1,600"
"Disability Living Allowance (care component) by ethnic group of head","2016/17-2018/19","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","6","1,600"
"Disability Living Allowance (mobility component) by ethnic group of head","2016/17-2018/19","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","4","1,600"
"Employment and Support Allowance by ethnic group of head","2016/17-2018/19","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","4","1,600"
"Housing Benefit by ethnic group of head","2016/17-2018/19","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","22","1,600"
"Incapacity Benefit by ethnic group of head","2016/17-2018/19","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","~","1,600"
"Income Support by ethnic group of head","2016/17-2018/19","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","3","1,600"
"Industrial Injuries Disablement Benefit by ethnic group of head","2016/17-2018/19","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","~","1,600"
"Jobseeker's Allowance by ethnic group of head","2016/17-2018/19","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","3","1,600"
"On any income-related benefit by ethnic group of head","2016/17-2018/19","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","28","1,600"
"On any non-income-related benefit by ethnic group of head","2016/17-2018/19","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","45","1,600"
"Pension Credit by ethnic group of head","2016/17-2018/19","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","2","1,600"
"Personal Independence Payment (daily living component) by ethnic group of head","2016/17-2018/19","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","0","1,600"
"Personal Independence Payment (mobility component) by ethnic group of head","2016/17-2018/19","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","0","1,600"
"Severe Disablement Allowance by ethnic group of head","2016/17-2018/19","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","~","1,600"
"State Pension by ethnic group of head","2016/17-2018/19","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","11","1,600"
"Widow's Benefits by ethnic group of head","2016/17-2018/19","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","~","1,600"
"Working Tax Credit by ethnic group of head","2016/17-2018/19","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","9","1,600"
"All in receipt of benefit by ethnic group of head","2016/17-2018/19","Chinese","ONS 5+2","K02000001","31","281"
"All in receipt of state support by ethnic group of head","2016/17-2018/19","Chinese","ONS 5+2","K02000001","31","281"
"All in receipt of Tax Credits by ethnic group of head","2016/17-2018/19","Chinese","ONS 5+2","K02000001","6","281"
"Armed Forces Compensation Scheme by ethnic group of head","2016/17-2018/19","Chinese","ONS 5+2","K02000001","0","281"
"Attendance Allowance by ethnic group of head","2016/17-2018/19","Chinese","ONS 5+2","K02000001","~","281"
"Carer's Allowance by ethnic group of head","2016/17-2018/19","Chinese","ONS 5+2","K02000001","~","281"
"Child Benefit by ethnic group of head","2016/17-2018/19","Chinese","ONS 5+2","K02000001","16","281"
"Child Tax Credit by ethnic group of head","2016/17-2018/19","Chinese","ONS 5+2","K02000001","5","281"
"Council Tax Reduction by ethnic group of head","2016/17-2018/19","Chinese","ONS 5+2","K02000001","9","281"
"Disability Living Allowance (care component) by ethnic group of head","2016/17-2018/19","Chinese","ONS 5+2","K02000001","1","281"
"Disability Living Allowance (mobility component) by ethnic group of head","2016/17-2018/19","Chinese","ONS 5+2","K02000001","~","281"
"Employment and Support Allowance by ethnic group of head","2016/17-2018/19","Chinese","ONS 5+2","K02000001","1","281"
"Housing Benefit by ethnic group of head","2016/17-2018/19","Chinese","ONS 5+2","K02000001","6","281"
"Incapacity Benefit by ethnic group of head","2016/17-2018/19","Chinese","ONS 5+2","K02000001","0","281"
"Income Support by ethnic group of head","2016/17-2018/19","Chinese","ONS 5+2","K02000001","~","281"
"Industrial Injuries Disablement Benefit by ethnic group of head","2016/17-2018/19","Chinese","ONS 5+2","K02000001","0","281"
"Jobseeker's Allowance by ethnic group of head","2016/17-2018/19","Chinese","ONS 5+2","K02000001","2","281"
"On any income-related benefit by ethnic group of head","2016/17-2018/19","Chinese","ONS 5+2","K02000001","11","281"
"On any non-income-related benefit by ethnic group of head","2016/17-2018/19","Chinese","ONS 5+2","K02000001","26","281"
"Pension Credit by ethnic group of head","2016/17-2018/19","Chinese","ONS 5+2","K02000001","2","281"
"Personal Independence Payment (daily living component) by ethnic group of head","2016/17-2018/19","Chinese","ONS 5+2","K02000001","0","281"
"Personal Independence Payment (mobility component) by ethnic group of head","2016/17-2018/19","Chinese","ONS 5+2","K02000001","0","281"
"Severe Disablement Allowance by ethnic group of head","2016/17-2018/19","Chinese","ONS 5+2","K02000001","0","281"
"State Pension by ethnic group of head","2016/17-2018/19","Chinese","ONS 5+2","K02000001","8","281"
"Widow's Benefits by ethnic group of head","2016/17-2018/19","Chinese","ONS 5+2","K02000001","~","281"
"Working Tax Credit by ethnic group of head","2016/17-2018/19","Chinese","ONS 5+2","K02000001","3","281"
"All in receipt of benefit by ethnic group of head","2016/17-2018/19","Indian","ONS 5+2","K02000001","40","1,343"
"All in receipt of state support by ethnic group of head","2016/17-2018/19","Indian","ONS 5+2","K02000001","41","1,343"
"All in receipt of Tax Credits by ethnic group of head","2016/17-2018/19","Indian","ONS 5+2","K02000001","7","1,343"
"Armed Forces Compensation Scheme by ethnic group of head","2016/17-2018/19","Indian","ONS 5+2","K02000001","~","1,343"
"Attendance Allowance by ethnic group of head","2016/17-2018/19","Indian","ONS 5+2","K02000001","2","1,343"
"Carer's Allowance by ethnic group of head","2016/17-2018/19","Indian","ONS 5+2","K02000001","2","1,343"
"Child Benefit by ethnic group of head","2016/17-2018/19","Indian","ONS 5+2","K02000001","21","1,343"
"Child Tax Credit by ethnic group of head","2016/17-2018/19","Indian","ONS 5+2","K02000001","7","1,343"
"Council Tax Reduction by ethnic group of head","2016/17-2018/19","Indian","ONS 5+2","K02000001","6","1,343"
"Disability Living Allowance (care component) by ethnic group of head","2016/17-2018/19","Indian","ONS 5+2","K02000001","4","1,343"
"Disability Living Allowance (mobility component) by ethnic group of head","2016/17-2018/19","Indian","ONS 5+2","K02000001","2","1,343"
"Employment and Support Allowance by ethnic group of head","2016/17-2018/19","Indian","ONS 5+2","K02000001","1","1,343"
"Housing Benefit by ethnic group of head","2016/17-2018/19","Indian","ONS 5+2","K02000001","4","1,343"
"Incapacity Benefit by ethnic group of head","2016/17-2018/19","Indian","ONS 5+2","K02000001","0","1,343"
"Income Support by ethnic group of head","2016/17-2018/19","Indian","ONS 5+2","K02000001","1","1,343"
"Industrial Injuries Disablement Benefit by ethnic group of head","2016/17-2018/19","Indian","ONS 5+2","K02000001","~","1,343"
"Jobseeker's Allowance by ethnic group of head","2016/17-2018/19","Indian","ONS 5+2","K02000001","1","1,343"
"On any income-related benefit by ethnic group of head","2016/17-2018/19","Indian","ONS 5+2","K02000001","8","1,343"
"On any non-income-related benefit by ethnic group of head","2016/17-2018/19","Indian","ONS 5+2","K02000001","38","1,343"
"Pension Credit by ethnic group of head","2016/17-2018/19","Indian","ONS 5+2","K02000001","3","1,343"
"Personal Independence Payment (daily living component) by ethnic group of head","2016/17-2018/19","Indian","ONS 5+2","K02000001","0","1,343"
"Personal Independence Payment (mobility component) by ethnic group of head","2016/17-2018/19","Indian","ONS 5+2","K02000001","0","1,343"
"Severe Disablement Allowance by ethnic group of head","2016/17-2018/19","Indian","ONS 5+2","K02000001","0","1,343"
"State Pension by ethnic group of head","2016/17-2018/19","Indian","ONS 5+2","K02000001","12","1,343"
"Widow's Benefits by ethnic group of head","2016/17-2018/19","Indian","ONS 5+2","K02000001","~","1,343"
"Working Tax Credit by ethnic group of head","2016/17-2018/19","Indian","ONS 5+2","K02000001","4","1,343"
"All in receipt of benefit by ethnic group of head","2016/17-2018/19","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","42","687"
"All in receipt of state support by ethnic group of head","2016/17-2018/19","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","42","687"
"All in receipt of Tax Credits by ethnic group of head","2016/17-2018/19","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","13","687"
"Armed Forces Compensation Scheme by ethnic group of head","2016/17-2018/19","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","0","687"
"Attendance Allowance by ethnic group of head","2016/17-2018/19","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","~","687"
"Carer's Allowance by ethnic group of head","2016/17-2018/19","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","2","687"
"Child Benefit by ethnic group of head","2016/17-2018/19","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","23","687"
"Child Tax Credit by ethnic group of head","2016/17-2018/19","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","13","687"
"Council Tax Reduction by ethnic group of head","2016/17-2018/19","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","14","687"
"Disability Living Allowance (care component) by ethnic group of head","2016/17-2018/19","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","6","687"
"Disability Living Allowance (mobility component) by ethnic group of head","2016/17-2018/19","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","4","687"
"Employment and Support Allowance by ethnic group of head","2016/17-2018/19","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","4","687"
"Housing Benefit by ethnic group of head","2016/17-2018/19","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","15","687"
"Incapacity Benefit by ethnic group of head","2016/17-2018/19","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","0","687"
"Income Support by ethnic group of head","2016/17-2018/19","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","4","687"
"Industrial Injuries Disablement Benefit by ethnic group of head","2016/17-2018/19","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","0","687"
"Jobseeker's Allowance by ethnic group of head","2016/17-2018/19","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","1","687"
"On any income-related benefit by ethnic group of head","2016/17-2018/19","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","21","687"
"On any non-income-related benefit by ethnic group of head","2016/17-2018/19","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","37","687"
"Pension Credit by ethnic group of head","2016/17-2018/19","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","1","687"
"Personal Independence Payment (daily living component) by ethnic group of head","2016/17-2018/19","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","0","687"
"Personal Independence Payment (mobility component) by ethnic group of head","2016/17-2018/19","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","0","687"
"Severe Disablement Allowance by ethnic group of head","2016/17-2018/19","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","~","687"
"State Pension by ethnic group of head","2016/17-2018/19","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","7","687"
"Widow's Benefits by ethnic group of head","2016/17-2018/19","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","0","687"
"Working Tax Credit by ethnic group of head","2016/17-2018/19","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","5","687"
"All in receipt of benefit by ethnic group of head","2016/17-2018/19","Other ethnic group","ONS 5+2","K02000001","39","662"
"All in receipt of state support by ethnic group of head","2016/17-2018/19","Other ethnic group","ONS 5+2","K02000001","40","662"
"All in receipt of Tax Credits by ethnic group of head","2016/17-2018/19","Other ethnic group","ONS 5+2","K02000001","13","662"
"Armed Forces Compensation Scheme by ethnic group of head","2016/17-2018/19","Other ethnic group","ONS 5+2","K02000001","0","662"
"Attendance Allowance by ethnic group of head","2016/17-2018/19","Other ethnic group","ONS 5+2","K02000001","1","662"
"Carer's Allowance by ethnic group of head","2016/17-2018/19","Other ethnic group","ONS 5+2","K02000001","2","662"
"Child Benefit by ethnic group of head","2016/17-2018/19","Other ethnic group","ONS 5+2","K02000001","23","662"
"Child Tax Credit by ethnic group of head","2016/17-2018/19","Other ethnic group","ONS 5+2","K02000001","13","662"
"Council Tax Reduction by ethnic group of head","2016/17-2018/19","Other ethnic group","ONS 5+2","K02000001","13","662"
"Disability Living Allowance (care component) by ethnic group of head","2016/17-2018/19","Other ethnic group","ONS 5+2","K02000001","6","662"
"Disability Living Allowance (mobility component) by ethnic group of head","2016/17-2018/19","Other ethnic group","ONS 5+2","K02000001","5","662"
"Employment and Support Allowance by ethnic group of head","2016/17-2018/19","Other ethnic group","ONS 5+2","K02000001","4","662"
"Housing Benefit by ethnic group of head","2016/17-2018/19","Other ethnic group","ONS 5+2","K02000001","15","662"
"Incapacity Benefit by ethnic group of head","2016/17-2018/19","Other ethnic group","ONS 5+2","K02000001","~","662"
"Income Support by ethnic group of head","2016/17-2018/19","Other ethnic group","ONS 5+2","K02000001","2","662"
"Industrial Injuries Disablement Benefit by ethnic group of head","2016/17-2018/19","Other ethnic group","ONS 5+2","K02000001","~","662"
"Jobseeker's Allowance by ethnic group of head","2016/17-2018/19","Other ethnic group","ONS 5+2","K02000001","2","662"
"On any income-related benefit by ethnic group of head","2016/17-2018/19","Other ethnic group","ONS 5+2","K02000001","18","662"
"On any non-income-related benefit by ethnic group of head","2016/17-2018/19","Other ethnic group","ONS 5+2","K02000001","36","662"
"Pension Credit by ethnic group of head","2016/17-2018/19","Other ethnic group","ONS 5+2","K02000001","1","662"
"Personal Independence Payment (daily living component) by ethnic group of head","2016/17-2018/19","Other ethnic group","ONS 5+2","K02000001","0","662"
"Personal Independence Payment (mobility component) by ethnic group of head","2016/17-2018/19","Other ethnic group","ONS 5+2","K02000001","0","662"
"Severe Disablement Allowance by ethnic group of head","2016/17-2018/19","Other ethnic group","ONS 5+2","K02000001","0","662"
"State Pension by ethnic group of head","2016/17-2018/19","Other ethnic group","ONS 5+2","K02000001","7","662"
"Widow's Benefits by ethnic group of head","2016/17-2018/19","Other ethnic group","ONS 5+2","K02000001","~","662"
"Working Tax Credit by ethnic group of head","2016/17-2018/19","Other ethnic group","ONS 5+2","K02000001","8","662"
"All in receipt of benefit by ethnic group of head","2016/17-2018/19","Pakistani","ONS 5+2","K02000001","50","926"
"All in receipt of state support by ethnic group of head","2016/17-2018/19","Pakistani","ONS 5+2","K02000001","51","926"
"All in receipt of Tax Credits by ethnic group of head","2016/17-2018/19","Pakistani","ONS 5+2","K02000001","23","926"
"Armed Forces Compensation Scheme by ethnic group of head","2016/17-2018/19","Pakistani","ONS 5+2","K02000001","~","926"
"Attendance Allowance by ethnic group of head","2016/17-2018/19","Pakistani","ONS 5+2","K02000001","~","926"
"Carer's Allowance by ethnic group of head","2016/17-2018/19","Pakistani","ONS 5+2","K02000001","5","926"
"Child Benefit by ethnic group of head","2016/17-2018/19","Pakistani","ONS 5+2","K02000001","33","926"
"Child Tax Credit by ethnic group of head","2016/17-2018/19","Pakistani","ONS 5+2","K02000001","22","926"
"Council Tax Reduction by ethnic group of head","2016/17-2018/19","Pakistani","ONS 5+2","K02000001","13","926"
"Disability Living Allowance (care component) by ethnic group of head","2016/17-2018/19","Pakistani","ONS 5+2","K02000001","7","926"
"Disability Living Allowance (mobility component) by ethnic group of head","2016/17-2018/19","Pakistani","ONS 5+2","K02000001","5","926"
"Employment and Support Allowance by ethnic group of head","2016/17-2018/19","Pakistani","ONS 5+2","K02000001","4","926"
"Housing Benefit by ethnic group of head","2016/17-2018/19","Pakistani","ONS 5+2","K02000001","11","926"
"Incapacity Benefit by ethnic group of head","2016/17-2018/19","Pakistani","ONS 5+2","K02000001","~","926"
"Income Support by ethnic group of head","2016/17-2018/19","Pakistani","ONS 5+2","K02000001","3","926"
"Industrial Injuries Disablement Benefit by ethnic group of head","2016/17-2018/19","Pakistani","ONS 5+2","K02000001","0","926"
"Jobseeker's Allowance by ethnic group of head","2016/17-2018/19","Pakistani","ONS 5+2","K02000001","2","926"
"On any income-related benefit by ethnic group of head","2016/17-2018/19","Pakistani","ONS 5+2","K02000001","20","926"
"On any non-income-related benefit by ethnic group of head","2016/17-2018/19","Pakistani","ONS 5+2","K02000001","46","926"
"Pension Credit by ethnic group of head","2016/17-2018/19","Pakistani","ONS 5+2","K02000001","2","926"
"Personal Independence Payment (daily living component) by ethnic group of head","2016/17-2018/19","Pakistani","ONS 5+2","K02000001","0","926"
"Personal Independence Payment (mobility component) by ethnic group of head","2016/17-2018/19","Pakistani","ONS 5+2","K02000001","0","926"
"Severe Disablement Allowance by ethnic group of head","2016/17-2018/19","Pakistani","ONS 5+2","K02000001","0","926"
"State Pension by ethnic group of head","2016/17-2018/19","Pakistani","ONS 5+2","K02000001","6","926"
"Widow's Benefits by ethnic group of head","2016/17-2018/19","Pakistani","ONS 5+2","K02000001","~","926"
"Working Tax Credit by ethnic group of head","2016/17-2018/19","Pakistani","ONS 5+2","K02000001","14","926"
"All in receipt of benefit by ethnic group of head","2016/17-2018/19","White","ONS 5+2","K02000001","54","61,334"
"All in receipt of state support by ethnic group of head","2016/17-2018/19","White","ONS 5+2","K02000001","54","61,334"
"All in receipt of Tax Credits by ethnic group of head","2016/17-2018/19","White","ONS 5+2","K02000001","8","61,334"
"Armed Forces Compensation Scheme by ethnic group of head","2016/17-2018/19","White","ONS 5+2","K02000001","~","61,334"
"Attendance Allowance by ethnic group of head","2016/17-2018/19","White","ONS 5+2","K02000001","2","61,334"
"Carer's Allowance by ethnic group of head","2016/17-2018/19","White","ONS 5+2","K02000001","2","61,334"
"Child Benefit by ethnic group of head","2016/17-2018/19","White","ONS 5+2","K02000001","18","61,334"
"Child Tax Credit by ethnic group of head","2016/17-2018/19","White","ONS 5+2","K02000001","7","61,334"
