"Measure","Time","Time_type","Ethnicity ","Ethnicity_type","Value","Value_type","Denominator"
"Carer's Allowance by ethnic group of head","2014/15-2016/17","Three-year average","Asian/ Asian British","ONS 5+2","2","%","3,298"
"Disability Living Allowance (care component) by ethnic group of head","2014/15-2016/17","Three-year average","Asian/ Asian British","ONS 5+2","5","%","3,298"
"Disability Living Allowance (mobility component) by ethnic group of head","2014/15-2016/17","Three-year average","Asian/ Asian British","ONS 5+2","3","%","3,298"
"Personal Independence Payment (daily living component) by ethnic group of head","2014/15-2016/17","Three-year average","Asian/ Asian British","ONS 5+2","0","%","3,298"
"Personal Independence Payment (mobility component) by ethnic group of head","2014/15-2016/17","Three-year average","Asian/ Asian British","ONS 5+2","0","%","3,298"
"Industrial Injuries Disablement Benefit by ethnic group of head","2014/15-2016/17","Three-year average","Asian/ Asian British","ONS 5+2","-","%","3,298"
"Armed Forces Compensation Scheme by ethnic group of head","2014/15-2016/17","Three-year average","Asian/ Asian British","ONS 5+2","-","%","3,298"
"All in receipt of state support by ethnic group of head","2014/15-2016/17","Three-year average","Indian","ONS 5+2","45","%","1,300"
"All in receipt of benefit by ethnic group of head","2014/15-2016/17","Three-year average","Indian","ONS 5+2","44","%","1,300"
"All in receipt of Tax Credits by ethnic group of head","2014/15-2016/17","Three-year average","Indian","ONS 5+2","9","%","1,300"
"On any income-related benefit by ethnic group of head","2014/15-2016/17","Three-year average","Indian","ONS 5+2","10","%","1,300"
"On any non-income-related benefit by ethnic group of head","2014/15-2016/17","Three-year average","Indian","ONS 5+2","43","%","1,300"
"Child Benefit by ethnic group of head","2014/15-2016/17","Three-year average","Indian","ONS 5+2","24","%","1,300"
"Working Tax Credit by ethnic group of head","2014/15-2016/17","Three-year average","Indian","ONS 5+2","4","%","1,300"
"Child Tax Credit by ethnic group of head","2014/15-2016/17","Three-year average","Indian","ONS 5+2","8","%","1,300"
"Income Support by ethnic group of head","2014/15-2016/17","Three-year average","Indian","ONS 5+2","1","%","1,300"
"Housing Benefit by ethnic group of head","2014/15-2016/17","Three-year average","Indian","ONS 5+2","6","%","1,300"
"Pension Credit by ethnic group of head","2014/15-2016/17","Three-year average","Indian","ONS 5+2","3","%","1,300"
"Council Tax Reduction by ethnic group of head","2014/15-2016/17","Three-year average","Indian","ONS 5+2","7","%","1,300"
"Jobseeker's Allowance by ethnic group of head","2014/15-2016/17","Three-year average","Indian","ONS 5+2","1","%","1,300"
"Employment and Support Allowance by ethnic group of head","2014/15-2016/17","Three-year average","Indian","ONS 5+2","2","%","1,300"
"State Pension by ethnic group of head","2014/15-2016/17","Three-year average","Indian","ONS 5+2","12","%","1,300"
"Widow's Benefits by ethnic group of head","2014/15-2016/17","Three-year average","Indian","ONS 5+2","-","%","1,300"
"Incapacity Benefit by ethnic group of head","2014/15-2016/17","Three-year average","Indian","ONS 5+2","-","%","1,300"
"Severe Disablement Allowance by ethnic group of head","2014/15-2016/17","Three-year average","Indian","ONS 5+2","-","%","1,300"
"Attendance Allowance by ethnic group of head","2014/15-2016/17","Three-year average","Indian","ONS 5+2","1","%","1,300"
"Carer's Allowance by ethnic group of head","2014/15-2016/17","Three-year average","Indian","ONS 5+2","1","%","1,300"
"Disability Living Allowance (care component) by ethnic group of head","2014/15-2016/17","Three-year average","Indian","ONS 5+2","4","%","1,300"
"Disability Living Allowance (mobility component) by ethnic group of head","2014/15-2016/17","Three-year average","Indian","ONS 5+2","3","%","1,300"
"Personal Independence Payment (daily living component) by ethnic group of head","2014/15-2016/17","Three-year average","Indian","ONS 5+2","0","%","1,300"
"Personal Independence Payment (mobility component) by ethnic group of head","2014/15-2016/17","Three-year average","Indian","ONS 5+2","0","%","1,300"
"Industrial Injuries Disablement Benefit by ethnic group of head","2014/15-2016/17","Three-year average","Indian","ONS 5+2","-","%","1,300"
"Armed Forces Compensation Scheme by ethnic group of head","2014/15-2016/17","Three-year average","Indian","ONS 5+2","0","%","1,300"
"All in receipt of state support by ethnic group of head","2014/15-2016/17","Three-year average","Pakistani","ONS 5+2","53","%","885"
"All in receipt of benefit by ethnic group of head","2014/15-2016/17","Three-year average","Pakistani","ONS 5+2","52","%","885"
"All in receipt of Tax Credits by ethnic group of head","2014/15-2016/17","Three-year average","Pakistani","ONS 5+2","24","%","885"
"On any income-related benefit by ethnic group of head","2014/15-2016/17","Three-year average","Pakistani","ONS 5+2","24","%","885"
"On any non-income-related benefit by ethnic group of head","2014/15-2016/17","Three-year average","Pakistani","ONS 5+2","46","%","885"
"Child Benefit by ethnic group of head","2014/15-2016/17","Three-year average","Pakistani","ONS 5+2","33","%","885"
"Working Tax Credit by ethnic group of head","2014/15-2016/17","Three-year average","Pakistani","ONS 5+2","14","%","885"
"Child Tax Credit by ethnic group of head","2014/15-2016/17","Three-year average","Pakistani","ONS 5+2","23","%","885"
"Income Support by ethnic group of head","2014/15-2016/17","Three-year average","Pakistani","ONS 5+2","4","%","885"
"Housing Benefit by ethnic group of head","2014/15-2016/17","Three-year average","Pakistani","ONS 5+2","13","%","885"
"Pension Credit by ethnic group of head","2014/15-2016/17","Three-year average","Pakistani","ONS 5+2","3","%","885"
"Council Tax Reduction by ethnic group of head","2014/15-2016/17","Three-year average","Pakistani","ONS 5+2","15","%","885"
"Jobseeker's Allowance by ethnic group of head","2014/15-2016/17","Three-year average","Pakistani","ONS 5+2","4","%","885"
"Employment and Support Allowance by ethnic group of head","2014/15-2016/17","Three-year average","Pakistani","ONS 5+2","3","%","885"
"State Pension by ethnic group of head","2014/15-2016/17","Three-year average","Pakistani","ONS 5+2","6","%","885"
"Widow's Benefits by ethnic group of head","2014/15-2016/17","Three-year average","Pakistani","ONS 5+2","-","%","885"
"Incapacity Benefit by ethnic group of head","2014/15-2016/17","Three-year average","Pakistani","ONS 5+2","-","%","885"
"Severe Disablement Allowance by ethnic group of head","2014/15-2016/17","Three-year average","Pakistani","ONS 5+2","0","%","885"
"Attendance Allowance by ethnic group of head","2014/15-2016/17","Three-year average","Pakistani","ONS 5+2","-","%","885"
"Carer's Allowance by ethnic group of head","2014/15-2016/17","Three-year average","Pakistani","ONS 5+2","3","%","885"
"Disability Living Allowance (care component) by ethnic group of head","2014/15-2016/17","Three-year average","Pakistani","ONS 5+2","6","%","885"
"Disability Living Allowance (mobility component) by ethnic group of head","2014/15-2016/17","Three-year average","Pakistani","ONS 5+2","5","%","885"
"Personal Independence Payment (daily living component) by ethnic group of head","2014/15-2016/17","Three-year average","Pakistani","ONS 5+2","0","%","885"
"Personal Independence Payment (mobility component) by ethnic group of head","2014/15-2016/17","Three-year average","Pakistani","ONS 5+2","0","%","885"
"Industrial Injuries Disablement Benefit by ethnic group of head","2014/15-2016/17","Three-year average","Pakistani","ONS 5+2","-","%","885"
"Armed Forces Compensation Scheme by ethnic group of head","2014/15-2016/17","Three-year average","Pakistani","ONS 5+2","0","%","885"
"All in receipt of state support by ethnic group of head","2014/15-2016/17","Three-year average","Bangladeshi","ONS 5+2","56","%","343"
"All in receipt of benefit by ethnic group of head","2014/15-2016/17","Three-year average","Bangladeshi","ONS 5+2","56","%","343"
"All in receipt of Tax Credits by ethnic group of head","2014/15-2016/17","Three-year average","Bangladeshi","ONS 5+2","30","%","343"
"On any income-related benefit by ethnic group of head","2014/15-2016/17","Three-year average","Bangladeshi","ONS 5+2","34","%","343"
"On any non-income-related benefit by ethnic group of head","2014/15-2016/17","Three-year average","Bangladeshi","ONS 5+2","50","%","343"
"Child Benefit by ethnic group of head","2014/15-2016/17","Three-year average","Bangladeshi","ONS 5+2","36","%","343"
"Working Tax Credit by ethnic group of head","2014/15-2016/17","Three-year average","Bangladeshi","ONS 5+2","15","%","343"
"Child Tax Credit by ethnic group of head","2014/15-2016/17","Three-year average","Bangladeshi","ONS 5+2","29","%","343"
"Income Support by ethnic group of head","2014/15-2016/17","Three-year average","Bangladeshi","ONS 5+2","7","%","343"
"Housing Benefit by ethnic group of head","2014/15-2016/17","Three-year average","Bangladeshi","ONS 5+2","24","%","343"
"Pension Credit by ethnic group of head","2014/15-2016/17","Three-year average","Bangladeshi","ONS 5+2","2","%","343"
"Council Tax Reduction by ethnic group of head","2014/15-2016/17","Three-year average","Bangladeshi","ONS 5+2","25","%","343"
"Jobseeker's Allowance by ethnic group of head","2014/15-2016/17","Three-year average","Bangladeshi","ONS 5+2","2","%","343"
"Employment and Support Allowance by ethnic group of head","2014/15-2016/17","Three-year average","Bangladeshi","ONS 5+2","3","%","343"
"State Pension by ethnic group of head","2014/15-2016/17","Three-year average","Bangladeshi","ONS 5+2","9","%","343"
"Widow's Benefits by ethnic group of head","2014/15-2016/17","Three-year average","Bangladeshi","ONS 5+2","0","%","343"
"Incapacity Benefit by ethnic group of head","2014/15-2016/17","Three-year average","Bangladeshi","ONS 5+2","0","%","343"
"Severe Disablement Allowance by ethnic group of head","2014/15-2016/17","Three-year average","Bangladeshi","ONS 5+2","0","%","343"
"Attendance Allowance by ethnic group of head","2014/15-2016/17","Three-year average","Bangladeshi","ONS 5+2","-","%","343"
"Carer's Allowance by ethnic group of head","2014/15-2016/17","Three-year average","Bangladeshi","ONS 5+2","4","%","343"
"Disability Living Allowance (care component) by ethnic group of head","2014/15-2016/17","Three-year average","Bangladeshi","ONS 5+2","9","%","343"
"Disability Living Allowance (mobility component) by ethnic group of head","2014/15-2016/17","Three-year average","Bangladeshi","ONS 5+2","5","%","343"
"Personal Independence Payment (daily living component) by ethnic group of head","2014/15-2016/17","Three-year average","Bangladeshi","ONS 5+2","0","%","343"
"Personal Independence Payment (mobility component) by ethnic group of head","2014/15-2016/17","Three-year average","Bangladeshi","ONS 5+2","0","%","343"
"Industrial Injuries Disablement Benefit by ethnic group of head","2014/15-2016/17","Three-year average","Bangladeshi","ONS 5+2","0","%","343"
"Armed Forces Compensation Scheme by ethnic group of head","2014/15-2016/17","Three-year average","Bangladeshi","ONS 5+2","0","%","343"
"All in receipt of state support by ethnic group of head","2014/15-2016/17","Three-year average","Chinese","ONS 5+2","32","%","292"
"All in receipt of benefit by ethnic group of head","2014/15-2016/17","Three-year average","Chinese","ONS 5+2","32","%","292"
"All in receipt of Tax Credits by ethnic group of head","2014/15-2016/17","Three-year average","Chinese","ONS 5+2","6","%","292"
"On any income-related benefit by ethnic group of head","2014/15-2016/17","Three-year average","Chinese","ONS 5+2","10","%","292"
"On any non-income-related benefit by ethnic group of head","2014/15-2016/17","Three-year average","Chinese","ONS 5+2","28","%","292"
"Child Benefit by ethnic group of head","2014/15-2016/17","Three-year average","Chinese","ONS 5+2","17","%","292"
"Working Tax Credit by ethnic group of head","2014/15-2016/17","Three-year average","Chinese","ONS 5+2","4","%","292"
"Child Tax Credit by ethnic group of head","2014/15-2016/17","Three-year average","Chinese","ONS 5+2","6","%","292"
"Income Support by ethnic group of head","2014/15-2016/17","Three-year average","Chinese","ONS 5+2","1","%","292"
"Housing Benefit by ethnic group of head","2014/15-2016/17","Three-year average","Chinese","ONS 5+2","5","%","292"
"Pension Credit by ethnic group of head","2014/15-2016/17","Three-year average","Chinese","ONS 5+2","2","%","292"
"Council Tax Reduction by ethnic group of head","2014/15-2016/17","Three-year average","Chinese","ONS 5+2","8","%","292"
"Jobseeker's Allowance by ethnic group of head","2014/15-2016/17","Three-year average","Chinese","ONS 5+2","-","%","292"
"Employment and Support Allowance by ethnic group of head","2014/15-2016/17","Three-year average","Chinese","ONS 5+2","1","%","292"
"State Pension by ethnic group of head","2014/15-2016/17","Three-year average","Chinese","ONS 5+2","8","%","292"
"Widow's Benefits by ethnic group of head","2014/15-2016/17","Three-year average","Chinese","ONS 5+2","0","%","292"
"Incapacity Benefit by ethnic group of head","2014/15-2016/17","Three-year average","Chinese","ONS 5+2","0","%","292"
"Severe Disablement Allowance by ethnic group of head","2014/15-2016/17","Three-year average","Chinese","ONS 5+2","0","%","292"
"Attendance Allowance by ethnic group of head","2014/15-2016/17","Three-year average","Chinese","ONS 5+2","0","%","292"
"Carer's Allowance by ethnic group of head","2014/15-2016/17","Three-year average","Chinese","ONS 5+2","-","%","292"
"Disability Living Allowance (care component) by ethnic group of head","2014/15-2016/17","Three-year average","Chinese","ONS 5+2","-","%","292"
"Disability Living Allowance (mobility component) by ethnic group of head","2014/15-2016/17","Three-year average","Chinese","ONS 5+2","-","%","292"
"Personal Independence Payment (daily living component) by ethnic group of head","2014/15-2016/17","Three-year average","Chinese","ONS 5+2","0","%","292"
"Personal Independence Payment (mobility component) by ethnic group of head","2014/15-2016/17","Three-year average","Chinese","ONS 5+2","0","%","292"
"Industrial Injuries Disablement Benefit by ethnic group of head","2014/15-2016/17","Three-year average","Chinese","ONS 5+2","0","%","292"
"Armed Forces Compensation Scheme by ethnic group of head","2014/15-2016/17","Three-year average","Chinese","ONS 5+2","-","%","292"
"All in receipt of state support by ethnic group of head","2014/15-2016/17","Three-year average","Any other Asian background","ONS 5+2","45","%","478"
"All in receipt of benefit by ethnic group of head","2014/15-2016/17","Three-year average","Any other Asian background","ONS 5+2","44","%","478"
"All in receipt of Tax Credits by ethnic group of head","2014/15-2016/17","Three-year average","Any other Asian background","ONS 5+2","15","%","478"
"On any income-related benefit by ethnic group of head","2014/15-2016/17","Three-year average","Any other Asian background","ONS 5+2","17","%","478"
"On any non-income-related benefit by ethnic group of head","2014/15-2016/17","Three-year average","Any other Asian background","ONS 5+2","40","%","478"
"Child Benefit by ethnic group of head","2014/15-2016/17","Three-year average","Any other Asian background","ONS 5+2","27","%","478"
"Working Tax Credit by ethnic group of head","2014/15-2016/17","Three-year average","Any other Asian background","ONS 5+2","8","%","478"
"Child Tax Credit by ethnic group of head","2014/15-2016/17","Three-year average","Any other Asian background","ONS 5+2","14","%","478"
"Income Support by ethnic group of head","2014/15-2016/17","Three-year average","Any other Asian background","ONS 5+2","1","%","478"
"Housing Benefit by ethnic group of head","2014/15-2016/17","Three-year average","Any other Asian background","ONS 5+2","13","%","478"
"Pension Credit by ethnic group of head","2014/15-2016/17","Three-year average","Any other Asian background","ONS 5+2","2","%","478"
"Council Tax Reduction by ethnic group of head","2014/15-2016/17","Three-year average","Any other Asian background","ONS 5+2","11","%","478"
"Jobseeker's Allowance by ethnic group of head","2014/15-2016/17","Three-year average","Any other Asian background","ONS 5+2","2","%","478"
"Employment and Support Allowance by ethnic group of head","2014/15-2016/17","Three-year average","Any other Asian background","ONS 5+2","3","%","478"
"State Pension by ethnic group of head","2014/15-2016/17","Three-year average","Any other Asian background","ONS 5+2","9","%","478"
"Widow's Benefits by ethnic group of head","2014/15-2016/17","Three-year average","Any other Asian background","ONS 5+2","1","%","478"
"Incapacity Benefit by ethnic group of head","2014/15-2016/17","Three-year average","Any other Asian background","ONS 5+2","0","%","478"
"Severe Disablement Allowance by ethnic group of head","2014/15-2016/17","Three-year average","Any other Asian background","ONS 5+2","0","%","478"
"Attendance Allowance by ethnic group of head","2014/15-2016/17","Three-year average","Any other Asian background","ONS 5+2","-","%","478"
"Carer's Allowance by ethnic group of head","2014/15-2016/17","Three-year average","Any other Asian background","ONS 5+2","-","%","478"
"Disability Living Allowance (care component) by ethnic group of head","2014/15-2016/17","Three-year average","Any other Asian background","ONS 5+2","3","%","478"
"Disability Living Allowance (mobility component) by ethnic group of head","2014/15-2016/17","Three-year average","Any other Asian background","ONS 5+2","2","%","478"
"Personal Independence Payment (daily living component) by ethnic group of head","2014/15-2016/17","Three-year average","Any other Asian background","ONS 5+2","0","%","478"
"Personal Independence Payment (mobility component) by ethnic group of head","2014/15-2016/17","Three-year average","Any other Asian background","ONS 5+2","0","%","478"
"Industrial Injuries Disablement Benefit by ethnic group of head","2014/15-2016/17","Three-year average","Any other Asian background","ONS 5+2","0","%","478"
"Armed Forces Compensation Scheme by ethnic group of head","2014/15-2016/17","Three-year average","Any other Asian background","ONS 5+2","0","%","478"
"All in receipt of state support by ethnic group of head","2014/15-2016/17","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","55","%","1,688"
"All in receipt of benefit by ethnic group of head","2014/15-2016/17","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","55","%","1,688"
"All in receipt of Tax Credits by ethnic group of head","2014/15-2016/17","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","18","%","1,688"
"On any income-related benefit by ethnic group of head","2014/15-2016/17","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","30","%","1,688"
"On any non-income-related benefit by ethnic group of head","2014/15-2016/17","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","46","%","1,688"
"Child Benefit by ethnic group of head","2014/15-2016/17","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","30","%","1,688"
"Working Tax Credit by ethnic group of head","2014/15-2016/17","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","8","%","1,688"
"Child Tax Credit by ethnic group of head","2014/15-2016/17","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","18","%","1,688"
"Income Support by ethnic group of head","2014/15-2016/17","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","5","%","1,688"
"Housing Benefit by ethnic group of head","2014/15-2016/17","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","24","%","1,688"
"Pension Credit by ethnic group of head","2014/15-2016/17","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","3","%","1,688"
"Council Tax Reduction by ethnic group of head","2014/15-2016/17","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","21","%","1,688"
"Jobseeker's Allowance by ethnic group of head","2014/15-2016/17","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","5","%","1,688"
"Employment and Support Allowance by ethnic group of head","2014/15-2016/17","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","4","%","1,688"
"State Pension by ethnic group of head","2014/15-2016/17","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","11","%","1,688"
"Widow's Benefits by ethnic group of head","2014/15-2016/17","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","-","%","1,688"
"Incapacity Benefit by ethnic group of head","2014/15-2016/17","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","-","%","1,688"
"Severe Disablement Allowance by ethnic group of head","2014/15-2016/17","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","-","%","1,688"
"Attendance Allowance by ethnic group of head","2014/15-2016/17","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","1","%","1,688"
"Carer's Allowance by ethnic group of head","2014/15-2016/17","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","2","%","1,688"
"Disability Living Allowance (care component) by ethnic group of head","2014/15-2016/17","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","6","%","1,688"
"Disability Living Allowance (mobility component) by ethnic group of head","2014/15-2016/17","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","4","%","1,688"
"Personal Independence Payment (daily living component) by ethnic group of head","2014/15-2016/17","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","0","%","1,688"
"Personal Independence Payment (mobility component) by ethnic group of head","2014/15-2016/17","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","0","%","1,688"
"Industrial Injuries Disablement Benefit by ethnic group of head","2014/15-2016/17","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","-","%","1,688"
"Armed Forces Compensation Scheme by ethnic group of head","2014/15-2016/17","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","0","%","1,688"
"All in receipt of state support by ethnic group of head","2014/15-2016/17","Three-year average","Other ethnic group","ONS 5+2","44","%","593"
"All in receipt of benefit by ethnic group of head","2014/15-2016/17","Three-year average","Other ethnic group","ONS 5+2","43","%","593"
"All in receipt of Tax Credits by ethnic group of head","2014/15-2016/17","Three-year average","Other ethnic group","ONS 5+2","14","%","593"
"On any income-related benefit by ethnic group of head","2014/15-2016/17","Three-year average","Other ethnic group","ONS 5+2","24","%","593"
"On any non-income-related benefit by ethnic group of head","2014/15-2016/17","Three-year average","Other ethnic group","ONS 5+2","38","%","593"
"Child Benefit by ethnic group of head","2014/15-2016/17","Three-year average","Other ethnic group","ONS 5+2","24","%","593"
"Working Tax Credit by ethnic group of head","2014/15-2016/17","Three-year average","Other ethnic group","ONS 5+2","7","%","593"
"Child Tax Credit by ethnic group of head","2014/15-2016/17","Three-year average","Other ethnic group","ONS 5+2","13","%","593"
"Income Support by ethnic group of head","2014/15-2016/17","Three-year average","Other ethnic group","ONS 5+2","4","%","593"
"Housing Benefit by ethnic group of head","2014/15-2016/17","Three-year average","Other ethnic group","ONS 5+2","20","%","593"
"Pension Credit by ethnic group of head","2014/15-2016/17","Three-year average","Other ethnic group","ONS 5+2","2","%","593"
"Council Tax Reduction by ethnic group of head","2014/15-2016/17","Three-year average","Other ethnic group","ONS 5+2","18","%","593"
"Jobseeker's Allowance by ethnic group of head","2014/15-2016/17","Three-year average","Other ethnic group","ONS 5+2","3","%","593"
"Employment and Support Allowance by ethnic group of head","2014/15-2016/17","Three-year average","Other ethnic group","ONS 5+2","3","%","593"
"State Pension by ethnic group of head","2014/15-2016/17","Three-year average","Other ethnic group","ONS 5+2","7","%","593"
"Widow's Benefits by ethnic group of head","2014/15-2016/17","Three-year average","Other ethnic group","ONS 5+2","-","%","593"
"Incapacity Benefit by ethnic group of head","2014/15-2016/17","Three-year average","Other ethnic group","ONS 5+2","0","%","593"
"Severe Disablement Allowance by ethnic group of head","2014/15-2016/17","Three-year average","Other ethnic group","ONS 5+2","0","%","593"
"Attendance Allowance by ethnic group of head","2014/15-2016/17","Three-year average","Other ethnic group","ONS 5+2","-","%","593"
"Carer's Allowance by ethnic group of head","2014/15-2016/17","Three-year average","Other ethnic group","ONS 5+2","1","%","593"
"Disability Living Allowance (care component) by ethnic group of head","2014/15-2016/17","Three-year average","Other ethnic group","ONS 5+2","4","%","593"
"Disability Living Allowance (mobility component) by ethnic group of head","2014/15-2016/17","Three-year average","Other ethnic group","ONS 5+2","4","%","593"
"Personal Independence Payment (daily living component) by ethnic group of head","2014/15-2016/17","Three-year average","Other ethnic group","ONS 5+2","0","%","593"
"Personal Independence Payment (mobility component) by ethnic group of head","2014/15-2016/17","Three-year average","Other ethnic group","ONS 5+2","0","%","593"
"Industrial Injuries Disablement Benefit by ethnic group of head","2014/15-2016/17","Three-year average","Other ethnic group","ONS 5+2","-","%","593"
"Armed Forces Compensation Scheme by ethnic group of head","2014/15-2016/17","Three-year average","Other ethnic group","ONS 5+2","0","%","593"
"All in receipt of state support by ethnic group of head","2015/16-2017/18","Three-year average","All","ONS 5+2","55","%","67,855"
"All in receipt of benefit by ethnic group of head","2015/16-2017/18","Three-year average","All","ONS 5+2","54","%","67,855"
"All in receipt of Tax Credits by ethnic group of head","2015/16-2017/18","Three-year average","All","ONS 5+2","9","%","67,855"
"On any income-related benefit by ethnic group of head","2015/16-2017/18","Three-year average","All","ONS 5+2","18","%","67,855"
"On any non-income-related benefit by ethnic group of head","2015/16-2017/18","Three-year average","All","ONS 5+2","51","%","67,855"
"Child Benefit by ethnic group of head","2015/16-2017/18","Three-year average","All","ONS 5+2","19","%","67,855"
"Working Tax Credit by ethnic group of head","2015/16-2017/18","Three-year average","All","ONS 5+2","5","%","67,855"
"Child Tax Credit by ethnic group of head","2015/16-2017/18","Three-year average","All","ONS 5+2","9","%","67,855"
"Income Support by ethnic group of head","2015/16-2017/18","Three-year average","All","ONS 5+2","2","%","67,855"
"Housing Benefit by ethnic group of head","2015/16-2017/18","Three-year average","All","ONS 5+2","12","%","67,855"
"Pension Credit by ethnic group of head","2015/16-2017/18","Three-year average","All","ONS 5+2","4","%","67,855"
"Council Tax Reduction by ethnic group of head","2015/16-2017/18","Three-year average","All","ONS 5+2","13","%","67,855"
"Jobseeker's Allowance by ethnic group of head","2015/16-2017/18","Three-year average","All","ONS 5+2","2","%","67,855"
"Employment and Support Allowance by ethnic group of head","2015/16-2017/18","Three-year average","All","ONS 5+2","4","%","67,855"
"State Pension by ethnic group of head","2015/16-2017/18","Three-year average","All","ONS 5+2","25","%","67,855"
"Widow's Benefits by ethnic group of head","2015/16-2017/18","Three-year average","All","ONS 5+2","-","%","67,855"
"Incapacity Benefit by ethnic group of head","2015/16-2017/18","Three-year average","All","ONS 5+2","-","%","67,855"
"Severe Disablement Allowance by ethnic group of head","2015/16-2017/18","Three-year average","All","ONS 5+2","-","%","67,855"
"Attendance Allowance by ethnic group of head","2015/16-2017/18","Three-year average","All","ONS 5+2","2","%","67,855"
"Carer's Allowance by ethnic group of head","2015/16-2017/18","Three-year average","All","ONS 5+2","2","%","67,855"
"Disability Living Allowance (care component) by ethnic group of head","2015/16-2017/18","Three-year average","All","ONS 5+2","7","%","67,855"
"Disability Living Allowance (mobility component) by ethnic group of head","2015/16-2017/18","Three-year average","All","ONS 5+2","6","%","67,855"
"Personal Independence Payment (daily living component) by ethnic group of head","2015/16-2017/18","Three-year average","All","ONS 5+2","0","%","67,855"
"Personal Independence Payment (mobility component) by ethnic group of head","2015/16-2017/18","Three-year average","All","ONS 5+2","0","%","67,855"
"Industrial Injuries Disablement Benefit by ethnic group of head","2015/16-2017/18","Three-year average","All","ONS 5+2","-","%","67,855"
"Armed Forces Compensation Scheme by ethnic group of head","2015/16-2017/18","Three-year average","All","ONS 5+2","-","%","67,855"
"All in receipt of state support by ethnic group of head","2015/16-2017/18","Three-year average","White","ONS 5+2","56","%","61,628"
"All in receipt of benefit by ethnic group of head","2015/16-2017/18","Three-year average","White","ONS 5+2","55","%","61,628"
"All in receipt of Tax Credits by ethnic group of head","2015/16-2017/18","Three-year average","White","ONS 5+2","9","%","61,628"
"On any income-related benefit by ethnic group of head","2015/16-2017/18","Three-year average","White","ONS 5+2","17","%","61,628"
"On any non-income-related benefit by ethnic group of head","2015/16-2017/18","Three-year average","White","ONS 5+2","52","%","61,628"
"Child Benefit by ethnic group of head","2015/16-2017/18","Three-year average","White","ONS 5+2","18","%","61,628"
"Working Tax Credit by ethnic group of head","2015/16-2017/18","Three-year average","White","ONS 5+2","4","%","61,628"
"Child Tax Credit by ethnic group of head","2015/16-2017/18","Three-year average","White","ONS 5+2","8","%","61,628"
"Income Support by ethnic group of head","2015/16-2017/18","Three-year average","White","ONS 5+2","2","%","61,628"
"Housing Benefit by ethnic group of head","2015/16-2017/18","Three-year average","White","ONS 5+2","11","%","61,628"
"Pension Credit by ethnic group of head","2015/16-2017/18","Three-year average","White","ONS 5+2","4","%","61,628"
"Council Tax Reduction by ethnic group of head","2015/16-2017/18","Three-year average","White","ONS 5+2","13","%","61,628"
"Jobseeker's Allowance by ethnic group of head","2015/16-2017/18","Three-year average","White","ONS 5+2","1","%","61,628"
"Employment and Support Allowance by ethnic group of head","2015/16-2017/18","Three-year average","White","ONS 5+2","4","%","61,628"
"State Pension by ethnic group of head","2015/16-2017/18","Three-year average","White","ONS 5+2","27","%","61,628"
"Widow's Benefits by ethnic group of head","2015/16-2017/18","Three-year average","White","ONS 5+2","-","%","61,628"
"Incapacity Benefit by ethnic group of head","2015/16-2017/18","Three-year average","White","ONS 5+2","-","%","61,628"
"Severe Disablement Allowance by ethnic group of head","2015/16-2017/18","Three-year average","White","ONS 5+2","-","%","61,628"
"Attendance Allowance by ethnic group of head","2015/16-2017/18","Three-year average","White","ONS 5+2","2","%","61,628"
"Carer's Allowance by ethnic group of head","2015/16-2017/18","Three-year average","White","ONS 5+2","2","%","61,628"
"Disability Living Allowance (care component) by ethnic group of head","2015/16-2017/18","Three-year average","White","ONS 5+2","8","%","61,628"
"Disability Living Allowance (mobility component) by ethnic group of head","2015/16-2017/18","Three-year average","White","ONS 5+2","6","%","61,628"
"Personal Independence Payment (daily living component) by ethnic group of head","2015/16-2017/18","Three-year average","White","ONS 5+2","0","%","61,628"
