"Table 3: Employment by occupation and ethnicity","","","","","","","","","","",""
"United Kingdom 2004 - 2018","","","","","","","","","","",""
"","","","","","","","","","","",""
"Measure","Time","Time_type","Ethnicity","Occupation","Occupation_Type","Value","Value_type","Denominator","Numerator","CI","Notes"
"Proportion of ethnic group who are employed, split by occupation group","2015","Year","Asian Other","6  'Caring, Leisure And Other Service Occupations'","SOC 2010","10","%","484200","49700","6.76",""
"Proportion of ethnic group who are employed, split by occupation group","2015","Year","Asian Other","7  'Sales And Customer Service Occupations'","SOC 2010","11","%","484200","55200","7.37",""
"Proportion of ethnic group who are employed, split by occupation group","2015","Year","Asian Other","8  'Process, Plant And Machine Operatives'","SOC 2010","6","%","484200","28200","7.18",""
"Proportion of ethnic group who are employed, split by occupation group","2015","Year","Asian Other","9  'Elementary Occupations'","SOC 2010","13","%","484200","62600","6.63",""
"Proportion of ethnic group who are employed, split by occupation group","2015","Year","Other","1  'Managers, Directors And Senior Officials'","SOC 2010","9","%","440100","37900","7.45",""
"Proportion of ethnic group who are employed, split by occupation group","2015","Year","Other","2  'Professional Occupations'","SOC 2010","21","%","440100","92100","6.77",""
"Proportion of ethnic group who are employed, split by occupation group","2015","Year","Other","3  'Associate Professional And Technical Occupations'","SOC 2010","11","%","440100","48500","7.58",""
"Proportion of ethnic group who are employed, split by occupation group","2015","Year","Other","4  'Administrative And Secretarial Occupations'","SOC 2010","9","%","440100","39800","7.53",""
"Proportion of ethnic group who are employed, split by occupation group","2015","Year","Other","5  'Skilled Trades Occupations'","SOC 2010","9","%","440100","39100","7.42",""
"Proportion of ethnic group who are employed, split by occupation group","2015","Year","Other","6  'Caring, Leisure And Other Service Occupations'","SOC 2010","10","%","440100","45400","7.07",""
"Proportion of ethnic group who are employed, split by occupation group","2015","Year","Other","7  'Sales And Customer Service Occupations'","SOC 2010","7","%","440100","30600","7.71",""
"Proportion of ethnic group who are employed, split by occupation group","2015","Year","Other","8  'Process, Plant And Machine Operatives'","SOC 2010","7","%","440100","31400","7.3",""
"Proportion of ethnic group who are employed, split by occupation group","2015","Year","Other","9  'Elementary Occupations'","SOC 2010","17","%","440100","75300","7.29",""
"Proportion of ethnic group who are employed, split by occupation group","2015","Year","Pakistani, Bangladeshi","1  'Managers, Directors And Senior Officials'","SOC 2010","9","%","589700","53400","6.16",""
"Proportion of ethnic group who are employed, split by occupation group","2015","Year","Pakistani, Bangladeshi","2  'Professional Occupations'","SOC 2010","17","%","589700","98500","6.01",""
"Proportion of ethnic group who are employed, split by occupation group","2015","Year","Pakistani, Bangladeshi","3  'Associate Professional And Technical Occupations'","SOC 2010","9","%","589700","52300","6.25",""
"Proportion of ethnic group who are employed, split by occupation group","2015","Year","Pakistani, Bangladeshi","4  'Administrative And Secretarial Occupations'","SOC 2010","9","%","589700","54700","6.59",""
"Proportion of ethnic group who are employed, split by occupation group","2015","Year","Pakistani, Bangladeshi","5  'Skilled Trades Occupations'","SOC 2010","7","%","589700","43900","6.31",""
"Proportion of ethnic group who are employed, split by occupation group","2015","Year","Pakistani, Bangladeshi","6  'Caring, Leisure And Other Service Occupations'","SOC 2010","7","%","589700","43700","6.52",""
"Proportion of ethnic group who are employed, split by occupation group","2015","Year","Pakistani, Bangladeshi","7  'Sales And Customer Service Occupations'","SOC 2010","14","%","589700","84400","6.36",""
"Proportion of ethnic group who are employed, split by occupation group","2015","Year","Pakistani, Bangladeshi","8  'Process, Plant And Machine Operatives'","SOC 2010","15","%","589700","85400","5.92",""
"Proportion of ethnic group who are employed, split by occupation group","2015","Year","Pakistani, Bangladeshi","9  'Elementary Occupations'","SOC 2010","13","%","589700","73500","6.15",""
"Proportion of ethnic group who are employed, split by occupation group","2015","Year","White","1  'Managers, Directors And Senior Officials'","SOC 2010","11","%","27518800","2922300","0.77",""
"Proportion of ethnic group who are employed, split by occupation group","2015","Year","White","2  'Professional Occupations'","SOC 2010","19","%","27518800","5341700","0.74",""
"Proportion of ethnic group who are employed, split by occupation group","2015","Year","White","3  'Associate Professional And Technical Occupations'","SOC 2010","14","%","27518800","3959300","0.77",""
"Proportion of ethnic group who are employed, split by occupation group","2015","Year","White","4  'Administrative And Secretarial Occupations'","SOC 2010","11","%","27518800","3022300","0.76",""
"Proportion of ethnic group who are employed, split by occupation group","2015","Year","White","5  'Skilled Trades Occupations'","SOC 2010","11","%","27518800","3096600","0.77",""
"Proportion of ethnic group who are employed, split by occupation group","2015","Year","White","6  'Caring, Leisure And Other Service Occupations'","SOC 2010","9","%","27518800","2494200","0.75",""
"Proportion of ethnic group who are employed, split by occupation group","2015","Year","White","7  'Sales And Customer Service Occupations'","SOC 2010","8","%","27518800","2055700","0.77",""
"Proportion of ethnic group who are employed, split by occupation group","2015","Year","White","8  'Process, Plant And Machine Operatives'","SOC 2010","6","%","27518800","1728800","0.77",""
"Proportion of ethnic group who are employed, split by occupation group","2015","Year","White","9  'Elementary Occupations'","SOC 2010","11","%","27518800","2897900","0.76",""
"Proportion of ethnic group who are employed, split by occupation group","2015","Year","White British","1  'Managers, Directors And Senior Officials'","SOC 2010","11","%","24780900","2663500","0.8",""
"Proportion of ethnic group who are employed, split by occupation group","2015","Year","White British","2  'Professional Occupations'","SOC 2010","19","%","24780900","4781000","0.77",""
"Proportion of ethnic group who are employed, split by occupation group","2015","Year","White British","3  'Associate Professional And Technical Occupations'","SOC 2010","15","%","24780900","3595800","0.8",""
"Proportion of ethnic group who are employed, split by occupation group","2015","Year","White British","4  'Administrative And Secretarial Occupations'","SOC 2010","11","%","24780900","2813500","0.79",""
"Proportion of ethnic group who are employed, split by occupation group","2015","Year","White British","5  'Skilled Trades Occupations'","SOC 2010","11","%","24780900","2800800","0.8",""
"Proportion of ethnic group who are employed, split by occupation group","2015","Year","White British","6  'Caring, Leisure And Other Service Occupations'","SOC 2010","9","%","24780900","2292700","0.79",""
"Proportion of ethnic group who are employed, split by occupation group","2015","Year","White British","7  'Sales And Customer Service Occupations'","SOC 2010","8","%","24780900","1934400","0.81",""
"Proportion of ethnic group who are employed, split by occupation group","2015","Year","White British","8  'Process, Plant And Machine Operatives'","SOC 2010","6","%","24780900","1472200","0.8",""
"Proportion of ethnic group who are employed, split by occupation group","2015","Year","White British","9  'Elementary Occupations'","SOC 2010","10","%","24780900","2427000","0.8",""
"Proportion of ethnic group who are employed, split by occupation group","2015","Year","White Other","1  'Managers, Directors And Senior Officials'","SOC 2010","10","%","2736500","258700","2.65",""
"Proportion of ethnic group who are employed, split by occupation group","2015","Year","White Other","2  'Professional Occupations'","SOC 2010","21","%","2736500","560700","2.52",""
"Proportion of ethnic group who are employed, split by occupation group","2015","Year","White Other","3  'Associate Professional And Technical Occupations'","SOC 2010","13","%","2736500","363300","2.67",""
"Proportion of ethnic group who are employed, split by occupation group","2015","Year","White Other","4  'Administrative And Secretarial Occupations'","SOC 2010","8","%","2736500","208700","2.66",""
"Proportion of ethnic group who are employed, split by occupation group","2015","Year","White Other","5  'Skilled Trades Occupations'","SOC 2010","11","%","2736500","295700","2.72",""
"Proportion of ethnic group who are employed, split by occupation group","2015","Year","White Other","6  'Caring, Leisure And Other Service Occupations'","SOC 2010","7","%","2736500","201200","2.61",""
"Proportion of ethnic group who are employed, split by occupation group","2015","Year","White Other","7  'Sales And Customer Service Occupations'","SOC 2010","4","%","2736500","121300","2.64",""
"Proportion of ethnic group who are employed, split by occupation group","2015","Year","White Other","8  'Process, Plant And Machine Operatives'","SOC 2010","9","%","2736500","256300","2.62",""
"Proportion of ethnic group who are employed, split by occupation group","2015","Year","White Other","9  'Elementary Occupations'","SOC 2010","17","%","2736500","470700","2.52",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","All","1  'Managers, Directors And Senior Officials'","SOC 2010","11","%","31402900","3323200","0.5",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","All","2  'Professional Occupations'","SOC 2010","20","%","31402900","6378000","0.48",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","All","3  'Associate Professional And Technical Occupations'","SOC 2010","14","%","31402900","4482800","0.51",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","All","4  'Administrative And Secretarial Occupations'","SOC 2010","10","%","31402900","3222100","0.5",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","All","5  'Skilled Trades Occupations'","SOC 2010","11","%","31402900","3288500","0.5",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","All","6  'Caring, Leisure And Other Service Occupations'","SOC 2010","9","%","31402900","2893400","0.49",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","All","7  'Sales And Customer Service Occupations'","SOC 2010","8","%","31402900","2402200","0.52",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","All","8  'Process, Plant And Machine Operatives'","SOC 2010","7","%","31402900","2029200","0.5",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","All","9  'Elementary Occupations'","SOC 2010","11","%","31402900","3383600","0.5",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Asian","1  'Managers, Directors And Senior Officials'","SOC 2010","10","%","2000500","207600","3.53",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Asian","2  'Professional Occupations'","SOC 2010","26","%","2000500","514900","3.2",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Asian","3  'Associate Professional And Technical Occupations'","SOC 2010","12","%","2000500","230300","3.62",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Asian","4  'Administrative And Secretarial Occupations'","SOC 2010","9","%","2000500","176300","3.6",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Asian","5  'Skilled Trades Occupations'","SOC 2010","6","%","2000500","113600","3.56",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Asian","6  'Caring, Leisure And Other Service Occupations'","SOC 2010","7","%","2000500","140600","3.49",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Asian","7  'Sales And Customer Service Occupations'","SOC 2010","11","%","2000500","212700","3.61",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Asian","8  'Process, Plant And Machine Operatives'","SOC 2010","10","%","2000500","190500","3.44",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Asian","9  'Elementary Occupations'","SOC 2010","11","%","2000500","214000","3.47",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Black","1  'Managers, Directors And Senior Officials'","SOC 2010","5","%","890100","46800","5.5",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Black","2  'Professional Occupations'","SOC 2010","20","%","890100","174700","5.11",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Black","3  'Associate Professional And Technical Occupations'","SOC 2010","12","%","890100","108700","5.73",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Black","4  'Administrative And Secretarial Occupations'","SOC 2010","10","%","890100","90100","5.77",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Black","5  'Skilled Trades Occupations'","SOC 2010","5","%","890100","40300","5.63",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Black","6  'Caring, Leisure And Other Service Occupations'","SOC 2010","17","%","890100","152000","5.28",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Black","7  'Sales And Customer Service Occupations'","SOC 2010","9","%","890100","80100","5.99",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Black","8  'Process, Plant And Machine Operatives'","SOC 2010","6","%","890100","56400","5.68",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Black","9  'Elementary Occupations'","SOC 2010","16","%","890100","141000","5.37",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Indian","1  'Managers, Directors And Senior Officials'","SOC 2010","11","%","839600","94000","5.37",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Indian","2  'Professional Occupations'","SOC 2010","32","%","839600","266100","4.72",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Indian","3  'Associate Professional And Technical Occupations'","SOC 2010","13","%","839600","106300","5.51",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Indian","4  'Administrative And Secretarial Occupations'","SOC 2010","10","%","839600","84300","5.38",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Indian","5  'Skilled Trades Occupations'","SOC 2010","5","%","839600","39700","5.52",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Indian","6  'Caring, Leisure And Other Service Occupations'","SOC 2010","6","%","839600","53900","5.4",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Indian","7  'Sales And Customer Service Occupations'","SOC 2010","8","%","839600","68400","5.51",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Indian","8  'Process, Plant And Machine Operatives'","SOC 2010","6","%","839600","50100","5.1",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Indian","9  'Elementary Occupations'","SOC 2010","9","%","839600","76700","5.27",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Mixed","1  'Managers, Directors And Senior Officials'","SOC 2010","8","%","327900","25500","7.55",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Mixed","2  'Professional Occupations'","SOC 2010","22","%","327900","71300","7.39",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Mixed","3  'Associate Professional And Technical Occupations'","SOC 2010","19","%","327900","63100","7.32",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Mixed","4  'Administrative And Secretarial Occupations'","SOC 2010","8","%","327900","25400","7.32",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Mixed","5  'Skilled Trades Occupations'","SOC 2010","7","%","327900","21800","7.91",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Mixed","6  'Caring, Leisure And Other Service Occupations'","SOC 2010","12","%","327900","37600","7.52",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Mixed","7  'Sales And Customer Service Occupations'","SOC 2010","10","%","327900","32800","7.74",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Mixed","8  'Process, Plant And Machine Operatives'","SOC 2010","4","%","327900","14400","7.85",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Mixed","9  'Elementary Occupations'","SOC 2010","11","%","327900","35900","7.25",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Asian Other","1  'Managers, Directors And Senior Officials'","SOC 2010","11","%","522900","55800","7.2",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Asian Other","2  'Professional Occupations'","SOC 2010","25","%","522900","132700","6.48",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Asian Other","3  'Associate Professional And Technical Occupations'","SOC 2010","11","%","522900","55400","7.4",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Asian Other","4  'Administrative And Secretarial Occupations'","SOC 2010","7","%","522900","37600","7.27",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Asian Other","5  'Skilled Trades Occupations'","SOC 2010","7","%","522900","34500","7.04",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Asian Other","6  'Caring, Leisure And Other Service Occupations'","SOC 2010","9","%","522900","48300","6.81",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Asian Other","7  'Sales And Customer Service Occupations'","SOC 2010","11","%","522900","59400","7.46",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Asian Other","8  'Process, Plant And Machine Operatives'","SOC 2010","6","%","522900","30900","7.04",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Asian Other","9  'Elementary Occupations'","SOC 2010","13","%","522900","68200","6.74",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Other","1  'Managers, Directors And Senior Officials'","SOC 2010","9","%","475500","44800","7.47",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Other","2  'Professional Occupations'","SOC 2010","23","%","475500","110400","6.76",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Other","3  'Associate Professional And Technical Occupations'","SOC 2010","13","%","475500","61200","7.79",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Other","4  'Administrative And Secretarial Occupations'","SOC 2010","7","%","475500","32800","7.79",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Other","5  'Skilled Trades Occupations'","SOC 2010","7","%","475500","34800","7.33",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Other","6  'Caring, Leisure And Other Service Occupations'","SOC 2010","10","%","475500","49100","7.15",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Other","7  'Sales And Customer Service Occupations'","SOC 2010","8","%","475500","37800","7.73",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Other","8  'Process, Plant And Machine Operatives'","SOC 2010","8","%","475500","37300","7.16",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Other","9  'Elementary Occupations'","SOC 2010","14","%","475500","67200","7.03",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Pakistani, Bangladeshi","1  'Managers, Directors And Senior Officials'","SOC 2010","9","%","638000","57800","6.16",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Pakistani, Bangladeshi","2  'Professional Occupations'","SOC 2010","18","%","638000","116200","5.83",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Pakistani, Bangladeshi","3  'Associate Professional And Technical Occupations'","SOC 2010","11","%","638000","68700","6.32",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Pakistani, Bangladeshi","4  'Administrative And Secretarial Occupations'","SOC 2010","9","%","638000","54400","6.55",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Pakistani, Bangladeshi","5  'Skilled Trades Occupations'","SOC 2010","6","%","638000","39300","6.21",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Pakistani, Bangladeshi","6  'Caring, Leisure And Other Service Occupations'","SOC 2010","6","%","638000","38400","6.14",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Pakistani, Bangladeshi","7  'Sales And Customer Service Occupations'","SOC 2010","13","%","638000","84800","6.18",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Pakistani, Bangladeshi","8  'Process, Plant And Machine Operatives'","SOC 2010","17","%","638000","109400","5.95",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","Pakistani, Bangladeshi","9  'Elementary Occupations'","SOC 2010","11","%","638000","69100","6.3",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","White","1  'Managers, Directors And Senior Officials'","SOC 2010","11","%","27685900","2994600","0.8",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","White","2  'Professional Occupations'","SOC 2010","20","%","27685900","5502000","0.77",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","White","3  'Associate Professional And Technical Occupations'","SOC 2010","15","%","27685900","4015300","0.8",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","White","4  'Administrative And Secretarial Occupations'","SOC 2010","11","%","27685900","2895500","0.79",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","White","5  'Skilled Trades Occupations'","SOC 2010","11","%","27685900","3076100","0.8",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","White","6  'Caring, Leisure And Other Service Occupations'","SOC 2010","9","%","27685900","2511700","0.78",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","White","7  'Sales And Customer Service Occupations'","SOC 2010","7","%","27685900","2037300","0.81",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","White","8  'Process, Plant And Machine Operatives'","SOC 2010","6","%","27685900","1729700","0.8",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","White","9  'Elementary Occupations'","SOC 2010","11","%","27685900","2923600","0.79",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","White British","1  'Managers, Directors And Senior Officials'","SOC 2010","11","%","24693800","2715400","0.84",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","White British","2  'Professional Occupations'","SOC 2010","20","%","24693800","4866800","0.8",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","White British","3  'Associate Professional And Technical Occupations'","SOC 2010","15","%","24693800","3638100","0.84",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","White British","4  'Administrative And Secretarial Occupations'","SOC 2010","11","%","24693800","2676200","0.83",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","White British","5  'Skilled Trades Occupations'","SOC 2010","11","%","24693800","2764100","0.84",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","White British","6  'Caring, Leisure And Other Service Occupations'","SOC 2010","9","%","24693800","2300000","0.82",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","White British","7  'Sales And Customer Service Occupations'","SOC 2010","8","%","24693800","1894000","0.85",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","White British","8  'Process, Plant And Machine Operatives'","SOC 2010","6","%","24693800","1443400","0.83",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","White British","9  'Elementary Occupations'","SOC 2010","10","%","24693800","2395700","0.83",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","White Other","1  'Managers, Directors And Senior Officials'","SOC 2010","9","%","2991800","279300","2.65",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","White Other","2  'Professional Occupations'","SOC 2010","21","%","2991800","635000","2.51",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","White Other","3  'Associate Professional And Technical Occupations'","SOC 2010","13","%","2991800","377200","2.71",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","White Other","4  'Administrative And Secretarial Occupations'","SOC 2010","7","%","2991800","219400","2.64",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","White Other","5  'Skilled Trades Occupations'","SOC 2010","10","%","2991800","312000","2.73",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","White Other","6  'Caring, Leisure And Other Service Occupations'","SOC 2010","7","%","2991800","211700","2.59",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","White Other","7  'Sales And Customer Service Occupations'","SOC 2010","5","%","2991800","143100","2.69",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","White Other","8  'Process, Plant And Machine Operatives'","SOC 2010","10","%","2991800","286300","2.56",""
"Proportion of ethnic group who are employed, split by occupation group","2016","Year","White Other","9  'Elementary Occupations'","SOC 2010","18","%","2991800","527900","2.51",""
"Proportion of ethnic group who are employed, split by occupation group","2017","Year","All","1  'Managers, Directors And Senior Officials'","SOC 2010","11","%","31840000","3456100","0.5",""
"Proportion of ethnic group who are employed, split by occupation group","2017","Year","All","2  'Professional Occupations'","SOC 2010","20","%","31840000","6448600","0.48",""
"Proportion of ethnic group who are employed, split by occupation group","2017","Year","All","3  'Associate Professional And Technical Occupations'","SOC 2010","14","%","31840000","4559500","0.5",""
"Proportion of ethnic group who are employed, split by occupation group","2017","Year","All","4  'Administrative And Secretarial Occupations'","SOC 2010","10","%","31840000","3314900","0.49",""
"Proportion of ethnic group who are employed, split by occupation group","2017","Year","All","5  'Skilled Trades Occupations'","SOC 2010","11","%","31840000","3336600","0.5",""
"Proportion of ethnic group who are employed, split by occupation group","2017","Year","All","6  'Caring, Leisure And Other Service Occupations'","SOC 2010","9","%","31840000","2921800","0.49",""
"Proportion of ethnic group who are employed, split by occupation group","2017","Year","All","7  'Sales And Customer Service Occupations'","SOC 2010","8","%","31840000","2410800","0.51",""
"Proportion of ethnic group who are employed, split by occupation group","2017","Year","All","8  'Process, Plant And Machine Operatives'","SOC 2010","6","%","31840000","2034700","0.5",""
"Proportion of ethnic group who are employed, split by occupation group","2017","Year","All","9  'Elementary Occupations'","SOC 2010","11","%","31840000","3356900","0.5",""
"Proportion of ethnic group who are employed, split by occupation group","2017","Year","Asian","1  'Managers, Directors And Senior Officials'","SOC 2010","11","%","2045600","231300","3.55",""
"Proportion of ethnic group who are employed, split by occupation group","2017","Year","Asian","2  'Professional Occupations'","SOC 2010","24","%","2045600","495200","3.21",""
"Proportion of ethnic group who are employed, split by occupation group","2017","Year","Asian","3  'Associate Professional And Technical Occupations'","SOC 2010","12","%","2045600","235500","3.62",""
"Proportion of ethnic group who are employed, split by occupation group","2017","Year","Asian","4  'Administrative And Secretarial Occupations'","SOC 2010","10","%","2045600","195100","3.56",""
"Proportion of ethnic group who are employed, split by occupation group","2017","Year","Asian","5  'Skilled Trades Occupations'","SOC 2010","6","%","2045600","126200","3.65",""
"Proportion of ethnic group who are employed, split by occupation group","2017","Year","Asian","6  'Caring, Leisure And Other Service Occupations'","SOC 2010","8","%","2045600","153600","3.47",""
"Proportion of ethnic group who are employed, split by occupation group","2017","Year","Asian","7  'Sales And Customer Service Occupations'","SOC 2010","11","%","2045600","216300","3.59",""
"Proportion of ethnic group who are employed, split by occupation group","2017","Year","Asian","8  'Process, Plant And Machine Operatives'","SOC 2010","8","%","2045600","171900","3.41",""
"Proportion of ethnic group who are employed, split by occupation group","2017","Year","Asian","9  'Elementary Occupations'","SOC 2010","11","%","2045600","220700","3.51",""
"Proportion of ethnic group who are employed, split by occupation group","2017","Year","Black","1  'Managers, Directors And Senior Officials'","SOC 2010","6","%","863300","47900","5.82",""
"Proportion of ethnic group who are employed, split by occupation group","2017","Year","Black","2  'Professional Occupations'","SOC 2010","21","%","863300","184800","5.21",""
"Proportion of ethnic group who are employed, split by occupation group","2017","Year","Black","3  'Associate Professional And Technical Occupations'","SOC 2010","12","%","863300","107300","5.71",""
"Proportion of ethnic group who are employed, split by occupation group","2017","Year","Black","4  'Administrative And Secretarial Occupations'","SOC 2010","8","%","863300","72800","5.87",""
"Proportion of ethnic group who are employed, split by occupation group","2017","Year","Black","5  'Skilled Trades Occupations'","SOC 2010","6","%","863300","50200","5.81",""
"Proportion of ethnic group who are employed, split by occupation group","2017","Year","Black","6  'Caring, Leisure And Other Service Occupations'","SOC 2010","18","%","863300","153400","5.22",""
"Proportion of ethnic group who are employed, split by occupation group","2017","Year","Black","7  'Sales And Customer Service Occupations'","SOC 2010","8","%","863300","70700","6.08",""
"Proportion of ethnic group who are employed, split by occupation group","2017","Year","Black","8  'Process, Plant And Machine Operatives'","SOC 2010","6","%","863300","55600","5.72",""
"Proportion of ethnic group who are employed, split by occupation group","2017","Year","Black","9  'Elementary Occupations'","SOC 2010","14","%","863300","120700","5.58",""
"Proportion of ethnic group who are employed, split by occupation group","2017","Year","Indian","1  'Managers, Directors And Senior Officials'","SOC 2010","11","%","846300","94400","5.45",""
"Proportion of ethnic group who are employed, split by occupation group","2017","Year","Indian","2  'Professional Occupations'","SOC 2010","31","%","846300","263400","4.75",""
"Proportion of ethnic group who are employed, split by occupation group","2017","Year","Indian","3  'Associate Professional And Technical Occupations'","SOC 2010","13","%","846300","108100","5.46",""
"Proportion of ethnic group who are employed, split by occupation group","2017","Year","Indian","4  'Administrative And Secretarial Occupations'","SOC 2010","10","%","846300","85900","5.43",""
"Proportion of ethnic group who are employed, split by occupation group","2017","Year","Indian","5  'Skilled Trades Occupations'","SOC 2010","5","%","846300","41600","5.82",""
"Proportion of ethnic group who are employed, split by occupation group","2017","Year","Indian","6  'Caring, Leisure And Other Service Occupations'","SOC 2010","6","%","846300","48400","5.33",""
"Proportion of ethnic group who are employed, split by occupation group","2017","Year","Indian","7  'Sales And Customer Service Occupations'","SOC 2010","9","%","846300","78000","5.62",""
"Proportion of ethnic group who are employed, split by occupation group","2017","Year","Indian","8  'Process, Plant And Machine Operatives'","SOC 2010","6","%","846300","48900","5.3",""
"Proportion of ethnic group who are employed, split by occupation group","2017","Year","Indian","9  'Elementary Occupations'","SOC 2010","9","%","846300","77600","5.39",""
"Proportion of ethnic group who are employed, split by occupation group","2017","Year","Mixed","1  'Managers, Directors And Senior Officials'","SOC 2010","8","%","363300","29500","7.25",""
