"Measure","NHS_trust","NHS_trust_code","Ethnicity","Ethnicity_type","Geography","Geography_type","NHS_trust_type","Value","Value_type","Numerator","Denominator"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","York Teaching Hospital NHS Foundation Trust","RCB","Other","White & Other","North","Grouped region","Acute Trust","79","%","107","135"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","York Teaching Hospital NHS Foundation Trust","RCB","All","All","North","Grouped region","Acute Trust","90","%","2383","2650"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Yorkshire Ambulance Service NHS Trust","RX8","White","White & Other","North","Grouped region","Ambulance Trust","71","%","694","973"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Yorkshire Ambulance Service NHS Trust","RX8","Other","White & Other","North","Grouped region","Ambulance Trust","66","%","35","53"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Yorkshire Ambulance Service NHS Trust","RX8","All","All","North","Grouped region","Ambulance Trust","71","%","729","1026"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","2Gether NHS Foundation Trust","RTQ","White","White & Other","South","Grouped region","Mental Health Trust","90","%","507","562"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","2Gether NHS Foundation Trust","RTQ","Other","White & Other","South","Grouped region","Mental Health Trust","84","%","32","38"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","2Gether NHS Foundation Trust","RTQ","All","All","South","Grouped region","Mental Health Trust","90","%","539","600"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Ashford and St Peter's Hospitals NHS Foundation Trust","RTK","White","White & Other","South","Grouped region","Acute Trust","88","%","661","753"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Ashford and St Peter's Hospitals NHS Foundation Trust","RTK","Other","White & Other","South","Grouped region","Acute Trust","77","%","198","257"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Ashford and St Peter's Hospitals NHS Foundation Trust","RTK","All","All","South","Grouped region","Acute Trust","85","%","859","1010"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Avon And Wiltshire Mental Health Partnership NHS Trust","RVN","White","White & Other","South","Grouped region","Mental Health Trust","86","%","985","1148"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Avon And Wiltshire Mental Health Partnership NHS Trust","RVN","Other","White & Other","South","Grouped region","Mental Health Trust","73","%","80","110"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Avon And Wiltshire Mental Health Partnership NHS Trust","RVN","All","All","South","Grouped region","Mental Health Trust","85","%","1065","1258"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Berkshire Healthcare NHS Foundation Trust","RWX","White","White & Other","South","Grouped region","Mental Health Trust","89","%","878","983"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Berkshire Healthcare NHS Foundation Trust","RWX","Other","White & Other","South","Grouped region","Mental Health Trust","74","%","166","223"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Berkshire Healthcare NHS Foundation Trust","RWX","All","All","South","Grouped region","Mental Health Trust","87","%","1044","1206"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Brighton And Sussex University Hospitals NHS Trust","RXH","White","White & Other","South","Grouped region","Acute Trust","85","%","2026","2374"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Brighton And Sussex University Hospitals NHS Trust","RXH","Other","White & Other","South","Grouped region","Acute Trust","71","%","328","459"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Brighton And Sussex University Hospitals NHS Trust","RXH","All","All","South","Grouped region","Acute Trust","83","%","2354","2833"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Buckinghamshire Healthcare NHS Trust","RXQ","White","White & Other","South","Grouped region","Acute Trust","90","%","1386","1532"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Buckinghamshire Healthcare NHS Trust","RXQ","Other","White & Other","South","Grouped region","Acute Trust","78","%","264","337"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Buckinghamshire Healthcare NHS Trust","RXQ","All","All","South","Grouped region","Acute Trust","88","%","1650","1869"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Cornwall Partnership NHS Foundation Trust","RJ8","White","White & Other","South","Grouped region","Mental Health Trust","90","%","724","807"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Cornwall Partnership NHS Foundation Trust","RJ8","Other","White & Other","South","Grouped region","Mental Health Trust","87","%","13","15"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Cornwall Partnership NHS Foundation Trust","RJ8","All","All","South","Grouped region","Mental Health Trust","90","%","737","822"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Dartford And Gravesham NHS Trust","RN7","White","White & Other","South","Grouped region","Acute Trust","91","%","764","840"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Dartford And Gravesham NHS Trust","RN7","Other","White & Other","South","Grouped region","Acute Trust","85","%","213","252"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Dartford And Gravesham NHS Trust","RN7","All","All","South","Grouped region","Acute Trust","89","%","977","1092"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Devon Partnership NHS Trust","RWV","White","White & Other","South","Grouped region","Mental Health Trust","89","%","913","1023"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Devon Partnership NHS Trust","RWV","Other","White & Other","South","Grouped region","Mental Health Trust","86","%","44","51"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Devon Partnership NHS Trust","RWV","All","All","South","Grouped region","Mental Health Trust","89","%","957","1074"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Dorset County Hospital NHS Foundation Trust","RBD","White","White & Other","South","Grouped region","Acute Trust","92","%","775","843"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Dorset County Hospital NHS Foundation Trust","RBD","Other","White & Other","South","Grouped region","Acute Trust","92","%","46","50"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Dorset County Hospital NHS Foundation Trust","RBD","All","All","South","Grouped region","Acute Trust","92","%","821","893"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Dorset Healthcare University NHS Foundation Trust","RDY","White","White & Other","South","Grouped region","Mental Health Trust","92","%","1582","1718"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Dorset Healthcare University NHS Foundation Trust","RDY","Other","White & Other","South","Grouped region","Mental Health Trust","80","%","71","89"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Dorset Healthcare University NHS Foundation Trust","RDY","All","All","South","Grouped region","Mental Health Trust","91","%","1653","1807"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","East Kent Hospitals University NHS Foundation Trust","RVV","White","White & Other","South","Grouped region","Acute Trust","83","%","1728","2073"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","East Kent Hospitals University NHS Foundation Trust","RVV","Other","White & Other","South","Grouped region","Acute Trust","74","%","218","294"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","East Kent Hospitals University NHS Foundation Trust","RVV","All","All","South","Grouped region","Acute Trust","82","%","1946","2367"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","East Sussex Healthcare NHS Trust","RXC","White","White & Other","South","Grouped region","Acute Trust","89","%","1723","1944"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","East Sussex Healthcare NHS Trust","RXC","Other","White & Other","South","Grouped region","Acute Trust","80","%","215","268"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","East Sussex Healthcare NHS Trust","RXC","All","All","South","Grouped region","Acute Trust","88","%","1938","2212"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Frimley Health NHS Foundation Trust","RDU","White","White & Other","South","Grouped region","Acute Trust","88","%","1516","1714"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Frimley Health NHS Foundation Trust","RDU","Other","White & Other","South","Grouped region","Acute Trust","78","%","423","539"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Frimley Health NHS Foundation Trust","RDU","All","All","South","Grouped region","Acute Trust","86","%","1939","2253"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Gloucestershire Care Services NHS Trust","R1J","White","White & Other","South","Grouped region","Community Provider Trust","90","%","634","708"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Gloucestershire Care Services NHS Trust","R1J","Other","White & Other","South","Grouped region","Community Provider Trust","77","%","17","22"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Gloucestershire Care Services NHS Trust","R1J","All","All","South","Grouped region","Community Provider Trust","89","%","651","730"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Gloucestershire Hospitals NHS Foundation Trust","RTE","White","White & Other","South","Grouped region","Acute Trust","87","%","1705","1966"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Gloucestershire Hospitals NHS Foundation Trust","RTE","Other","White & Other","South","Grouped region","Acute Trust","79","%","181","228"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Gloucestershire Hospitals NHS Foundation Trust","RTE","All","All","South","Grouped region","Acute Trust","86","%","1886","2194"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Great Western Hospitals NHS Foundation Trust","RN3","White","White & Other","South","Grouped region","Acute Trust","86","%","1290","1497"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Great Western Hospitals NHS Foundation Trust","RN3","Other","White & Other","South","Grouped region","Acute Trust","76","%","78","102"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Great Western Hospitals NHS Foundation Trust","RN3","All","All","South","Grouped region","Acute Trust","86","%","1368","1599"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Hampshire Hospitals NHS Foundation Trust","RN5","White","White & Other","South","Grouped region","Acute Trust","88","%","1253","1417"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Hampshire Hospitals NHS Foundation Trust","RN5","Other","White & Other","South","Grouped region","Acute Trust","80","%","184","230"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Hampshire Hospitals NHS Foundation Trust","RN5","All","All","South","Grouped region","Acute Trust","87","%","1437","1647"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Isle of Wight NHS Trust (acute sector)","R1F1","White","White & Other","South","Grouped region","Acute Trust","84","%","501","597"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Isle of Wight NHS Trust (acute sector)","R1F1","Other","White & Other","South","Grouped region","Acute Trust","78","%","40","51"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Isle of Wight NHS Trust (acute sector)","R1F1","All","All","South","Grouped region","Acute Trust","83","%","541","648"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Kent And Medway NHS And Social Care Partnership Trust","RXY","White","White & Other","South","Grouped region","Mental Health Trust","86","%","878","1025"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Kent And Medway NHS And Social Care Partnership Trust","RXY","Other","White & Other","South","Grouped region","Mental Health Trust","77","%","138","180"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Kent And Medway NHS And Social Care Partnership Trust","RXY","All","All","South","Grouped region","Mental Health Trust","84","%","1016","1205"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Kent Community Health NHS Foundation Trust","RYY","White","White & Other","South","Grouped region","Community Provider Trust","93","%","1775","1902"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Kent Community Health NHS Foundation Trust","RYY","Other","White & Other","South","Grouped region","Community Provider Trust","76","%","111","146"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Kent Community Health NHS Foundation Trust","RYY","All","All","South","Grouped region","Community Provider Trust","92","%","1886","2048"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Maidstone And Tunbridge Wells NHS Trust","RWF","White","White & Other","South","Grouped region","Acute Trust","91","%","185","204"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Maidstone And Tunbridge Wells NHS Trust","RWF","Other","White & Other","South","Grouped region","Acute Trust","78","%","28","36"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Maidstone And Tunbridge Wells NHS Trust","RWF","All","All","South","Grouped region","Acute Trust","89","%","213","240"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Medway NHS Foundation Trust","RPA","White","White & Other","South","Grouped region","Acute Trust","80","%","745","934"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Medway NHS Foundation Trust","RPA","Other","White & Other","South","Grouped region","Acute Trust","67","%","138","205"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Medway NHS Foundation Trust","RPA","All","All","South","Grouped region","Acute Trust","78","%","883","1139"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","North Bristol NHS Trust","RVJ","White","White & Other","South","Grouped region","Acute Trust","87","%","1809","2082"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","North Bristol NHS Trust","RVJ","Other","White & Other","South","Grouped region","Acute Trust","66","%","185","282"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","North Bristol NHS Trust","RVJ","All","All","South","Grouped region","Acute Trust","84","%","1994","2364"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Northern Devon Healthcare NHS Trust","RBZ","White","White & Other","South","Grouped region","Acute Trust","92","%","703","768"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Northern Devon Healthcare NHS Trust","RBZ","Other","White & Other","South","Grouped region","Acute Trust","86","%","24","28"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Northern Devon Healthcare NHS Trust","RBZ","All","All","South","Grouped region","Acute Trust","91","%","727","796"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Oxford Health NHS Foundation Trust","RNU","White","White & Other","South","Grouped region","Mental Health Trust","89","%","1377","1548"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Oxford Health NHS Foundation Trust","RNU","Other","White & Other","South","Grouped region","Mental Health Trust","77","%","153","199"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Oxford Health NHS Foundation Trust","RNU","All","All","South","Grouped region","Mental Health Trust","88","%","1530","1747"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Oxford University Hospitals NHS Foundation Trust","RTH","White","White & Other","South","Grouped region","Acute Trust","85","%","2127","2497"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Oxford University Hospitals NHS Foundation Trust","RTH","Other","White & Other","South","Grouped region","Acute Trust","71","%","323","453"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Oxford University Hospitals NHS Foundation Trust","RTH","All","All","South","Grouped region","Acute Trust","83","%","2450","2950"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Plymouth Hospitals NHS Trust","RK9","White","White & Other","South","Grouped region","Acute Trust","86","%","2114","2457"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Plymouth Hospitals NHS Trust","RK9","Other","White & Other","South","Grouped region","Acute Trust","75","%","88","118"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Plymouth Hospitals NHS Trust","RK9","All","All","South","Grouped region","Acute Trust","86","%","2202","2575"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Poole Hospital NHS Foundation Trust","RD3","White","White & Other","South","Grouped region","Acute Trust","92","%","1104","1199"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Poole Hospital NHS Foundation Trust","RD3","Other","White & Other","South","Grouped region","Acute Trust","80","%","82","102"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Poole Hospital NHS Foundation Trust","RD3","All","All","South","Grouped region","Acute Trust","91","%","1186","1301"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Portsmouth Hospitals NHS Trust","RHU","White","White & Other","South","Grouped region","Acute Trust","91","%","2515","2779"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Portsmouth Hospitals NHS Trust","RHU","Other","White & Other","South","Grouped region","Acute Trust","74","%","201","272"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Portsmouth Hospitals NHS Trust","RHU","All","All","South","Grouped region","Acute Trust","89","%","2716","3051"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Queen Victoria Hospital NHS Foundation Trust","RPC","White","White & Other","South","Grouped region","Acute Trust","88","%","252","286"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Queen Victoria Hospital NHS Foundation Trust","RPC","Other","White & Other","South","Grouped region","Acute Trust","83","%","30","36"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Queen Victoria Hospital NHS Foundation Trust","RPC","All","All","South","Grouped region","Acute Trust","88","%","282","322"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Royal Berkshire NHS Foundation Trust","RHW","White","White & Other","South","Grouped region","Acute Trust","88","%","982","1121"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Royal Berkshire NHS Foundation Trust","RHW","Other","White & Other","South","Grouped region","Acute Trust","68","%","209","308"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Royal Berkshire NHS Foundation Trust","RHW","All","All","South","Grouped region","Acute Trust","83","%","1191","1429"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Royal Cornwall Hospitals NHS Trust","REF","White","White & Other","South","Grouped region","Acute Trust","85","%","1453","1708"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Royal Cornwall Hospitals NHS Trust","REF","Other","White & Other","South","Grouped region","Acute Trust","75","%","52","69"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Royal Cornwall Hospitals NHS Trust","REF","All","All","South","Grouped region","Acute Trust","85","%","1505","1777"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Royal Devon and Exeter NHS Foundation Trust","RH8","White","White & Other","South","Grouped region","Acute Trust","90","%","2326","2578"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Royal Devon and Exeter NHS Foundation Trust","RH8","Other","White & Other","South","Grouped region","Acute Trust","67","%","83","124"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Royal Devon and Exeter NHS Foundation Trust","RH8","All","All","South","Grouped region","Acute Trust","89","%","2409","2702"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Royal Surrey County Hospital NHS Foundation Trust","RA2","White","White & Other","South","Grouped region","Acute Trust","92","%","796","862"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Royal Surrey County Hospital NHS Foundation Trust","RA2","Other","White & Other","South","Grouped region","Acute Trust","79","%","143","182"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Royal Surrey County Hospital NHS Foundation Trust","RA2","All","All","South","Grouped region","Acute Trust","90","%","939","1044"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Royal United Hospitals Bath NHS Foundation Trust","RD1","White","White & Other","South","Grouped region","Acute Trust","91","%","1196","1312"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Royal United Hospitals Bath NHS Foundation Trust","RD1","Other","White & Other","South","Grouped region","Acute Trust","65","%","74","114"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Royal United Hospitals Bath NHS Foundation Trust","RD1","All","All","South","Grouped region","Acute Trust","89","%","1270","1426"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Salisbury NHS Foundation Trust","RNZ","White","White & Other","South","Grouped region","Acute Trust","87","%","794","912"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Salisbury NHS Foundation Trust","RNZ","Other","White & Other","South","Grouped region","Acute Trust","72","%","67","93"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Salisbury NHS Foundation Trust","RNZ","All","All","South","Grouped region","Acute Trust","86","%","861","1005"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Solent NHS Trust","R1C","White","White & Other","South","Grouped region","Community Provider Trust","92","%","1071","1162"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Solent NHS Trust","R1C","Other","White & Other","South","Grouped region","Community Provider Trust","82","%","67","82"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Solent NHS Trust","R1C","All","All","South","Grouped region","Community Provider Trust","91","%","1138","1244"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Somerset Partnership NHS Foundation Trust","RH5","White","White & Other","South","Grouped region","Mental Health Trust","91","%","806","889"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Somerset Partnership NHS Foundation Trust","RH5","Other","White & Other","South","Grouped region","Mental Health Trust","88","%","21","24"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Somerset Partnership NHS Foundation Trust","RH5","All","All","South","Grouped region","Mental Health Trust","91","%","827","913"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","South Central Ambulance Service NHS Foundation Trust","RYE","White","White & Other","South","Grouped region","Ambulance Trust","76","%","1046","1379"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","South Central Ambulance Service NHS Foundation Trust","RYE","Other","White & Other","South","Grouped region","Ambulance Trust","74","%","39","53"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","South Central Ambulance Service NHS Foundation Trust","RYE","All","All","South","Grouped region","Ambulance Trust","76","%","1085","1432"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","South East Coast Ambulance Service NHS Foundation Trust","RYD","White","White & Other","South","Grouped region","Ambulance Trust","60","%","535","889"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","South East Coast Ambulance Service NHS Foundation Trust","RYD","Other","White & Other","South","Grouped region","Ambulance Trust","61","%","19","31"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","South East Coast Ambulance Service NHS Foundation Trust","RYD","All","All","South","Grouped region","Ambulance Trust","60","%","554","920"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","South Western Ambulance Service NHS Foundation Trust","RYF","White","White & Other","South","Grouped region","Ambulance Trust","74","%","794","1069"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","South Western Ambulance Service NHS Foundation Trust","RYF","Other","White & Other","South","Grouped region","Ambulance Trust","41","%","12","29"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","South Western Ambulance Service NHS Foundation Trust","RYF","All","All","South","Grouped region","Ambulance Trust","73","%","806","1098"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Southern Health NHS Foundation Trust","RW1","White","White & Other","South","Grouped region","Mental Health Trust","88","%","1074","1223"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Southern Health NHS Foundation Trust","RW1","Other","White & Other","South","Grouped region","Mental Health Trust","79","%","59","75"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Southern Health NHS Foundation Trust","RW1","All","All","South","Grouped region","Mental Health Trust","87","%","1133","1298"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Surrey and Borders Partnership NHS Foundation Trust","RXX","White","White & Other","South","Grouped region","Mental Health Trust","91","%","669","739"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Surrey and Borders Partnership NHS Foundation Trust","RXX","Other","White & Other","South","Grouped region","Mental Health Trust","82","%","154","188"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Surrey and Borders Partnership NHS Foundation Trust","RXX","All","All","South","Grouped region","Mental Health Trust","89","%","823","927"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Surrey And Sussex Healthcare NHS Trust","RTP","White","White & Other","South","Grouped region","Acute Trust","92","%","1160","1264"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Surrey And Sussex Healthcare NHS Trust","RTP","Other","White & Other","South","Grouped region","Acute Trust","87","%","346","398"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Surrey And Sussex Healthcare NHS Trust","RTP","All","All","South","Grouped region","Acute Trust","91","%","1506","1662"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Sussex Community NHS Foundation Trust","RDR","White","White & Other","South","Grouped region","Community Provider Trust","91","%","1354","1481"
