"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Source of Referral","Value","Numerator","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: African","ONS 18+1","Other","8.2","1102","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: Other","ONS 18+1","Other","8.3","275","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Chinese","ONS 18+1","Other","9.2","58","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Other Ethnic group: Other","ONS 18+1","Other","8.1","353","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Gypsy, Irish Traveller","ONS 18+1","Other","7","25","","","","","","","","",""
"Percentage of new lettings by source of referral","2015/16","Financial Year","Other Ethnic group: Arab","ONS 18+1","Other","9.5","165","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Asian","ONS 5+1 2011","Internal transfer","10.6","1686","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Asian","ONS 5+1 2011","Nominated by local housing authority","28.9","4601","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Asian","ONS 5+1 2011","Other","7.6","1201","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Asian","ONS 5+1 2011","Other social landlord","0.7","102","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Asian","ONS 5+1 2011","Police, probation, prison","1.6","246","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Asian","ONS 5+1 2011","Referred by local authority housing department","4.3","689","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Asian","ONS 5+1 2011","Social services","2.7","424","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Asian","ONS 5+1 2011","Tenant applied direct","40.2","6414","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Asian","ONS 5+1 2011","Voluntary agency","3.6","571","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Black","ONS 5+1 2011","Internal transfer","13.8","3546","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Black","ONS 5+1 2011","Nominated by local housing authority","26.6","6865","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Black","ONS 5+1 2011","Other","9.1","2332","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Black","ONS 5+1 2011","Other social landlord","0.8","216","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Black","ONS 5+1 2011","Police, probation, prison","1.2","321","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Black","ONS 5+1 2011","Referred by local authority housing department","5.5","1435","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Black","ONS 5+1 2011","Social services","2.5","640","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Black","ONS 5+1 2011","Tenant applied direct","37.4","9642","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Black","ONS 5+1 2011","Voluntary agency","3.1","802","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Mixed","ONS 5+1 2011","Internal transfer","10.7","1139","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Mixed","ONS 5+1 2011","Nominated by local housing authority","28.5","3038","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Mixed","ONS 5+1 2011","Other","8.9","946","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Mixed","ONS 5+1 2011","Other social landlord","0.8","86","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Mixed","ONS 5+1 2011","Police, probation, prison","1.9","201","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Mixed","ONS 5+1 2011","Referred by local authority housing department","6.8","723","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Mixed","ONS 5+1 2011","Social services","3","325","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Mixed","ONS 5+1 2011","Tenant applied direct","36.3","3861","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Mixed","ONS 5+1 2011","Voluntary agency","3","326","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Other","ONS 5+1 2011","Internal transfer","10.7","657","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Other","ONS 5+1 2011","Nominated by local housing authority","20.3","1243","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Other","ONS 5+1 2011","Other","8.5","518","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Other","ONS 5+1 2011","Other social landlord","0.8","51","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Other","ONS 5+1 2011","Police, probation, prison","0.8","53","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Other","ONS 5+1 2011","Referred by local authority housing department","5.4","327","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Other","ONS 5+1 2011","Social services","3","180","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Other","ONS 5+1 2011","Tenant applied direct","46.8","2870","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Other","ONS 5+1 2011","Voluntary agency","3.7","228","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","White","ONS 5+1 2011","Internal transfer","13.5","39920","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","White","ONS 5+1 2011","Nominated by local housing authority","25.5","75847","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","White","ONS 5+1 2011","Other","5.7","17049","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","White","ONS 5+1 2011","Other social landlord","0.5","1472","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","White","ONS 5+1 2011","Police, probation, prison","1.3","3709","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","White","ONS 5+1 2011","Referred by local authority housing department","4.8","14232","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","White","ONS 5+1 2011","Social services","2.7","7847","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","White","ONS 5+1 2011","Tenant applied direct","44.7","132852","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","White","ONS 5+1 2011","Voluntary agency","1.5","4454","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","All","All","Internal transfer","13.2","46948","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","All","All","Nominated by local housing authority","25.7","91594","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","All","All","Other","6.2","22046","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","All","All","Other social landlord","0.5","1927","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","All","All","Police, probation, prison","1.3","4530","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","All","All","Referred by local authority housing department","4.9","17406","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","All","All","Social services","2.7","9416","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","All","All","Tenant applied direct","43.8","155639","","","","","","","","",""
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","All","All","Voluntary agency","1.8","6381","","","","","","","","",""
