"Measure","Gender","Long Term Support Setting","Year Ending March","Ethnicity","Ethnicity Classification","Number","Percentage"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2018","Mixed","Ethnicity 5+1","3,100","1.2%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2018","Unknown","Ethnicity 5+1","9,020","3.4%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2018","Other Ethnic Group","Ethnicity 5+1","2,815","1.1%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2018","White","Ethnicity 5+1","225,705","85.0%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2018","Bangladeshi","Ethnicity 18+1","1,570","0.4%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2018","Chinese","Ethnicity 18+1","665","0.2%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2018","Indian","Ethnicity 18+1","6,905","1.8%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2018","Other","Ethnicity 18+1","3,835","1.0%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2018","Pakistani","Ethnicity 18+1","4,595","1.2%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2018","Black African","Ethnicity 18+1","3,930","1.0%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2018","Black Caribbean","Ethnicity 18+1","7,230","1.9%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2018","Black Other","Ethnicity 18+1","2,470","0.7%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2018","Mixed Other","Ethnicity 18+1","1,145","0.3%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2018","Mixed White/Asian","Ethnicity 18+1","450","0.1%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2018","Mixed White/Black African","Ethnicity 18+1","290","0.1%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2018","Mixed White/Black Caribbean","Ethnicity 18+1","945","0.3%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2018","Arab","Ethnicity 18+1","245","0.1%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2018","Any other","Ethnicity 18+1","2,920","0.8%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2018","White British","Ethnicity 18+1","312,190","83.1%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2018","Gypsy or Irish Traveller","Ethnicity 18+1","185","0.0%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2018","White Irish","Ethnicity 18+1","4,375","1.2%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2018","White Other","Ethnicity 18+1","9,800","2.6%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2018","Bangladeshi","Ethnicity 18+1","1,285","0.5%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2018","Chinese","Ethnicity 18+1","525","0.2%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2018","Indian","Ethnicity 18+1","4,570","1.7%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2018","Other","Ethnicity 18+1","3,115","1.2%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2018","Pakistani","Ethnicity 18+1","3,715","1.4%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2018","Black African","Ethnicity 18+1","3,590","1.4%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2018","Black Caribbean","Ethnicity 18+1","5,735","2.2%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2018","Black Other","Ethnicity 18+1","2,450","0.9%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2018","Mixed Other","Ethnicity 18+1","1,265","0.5%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2018","Mixed White/Asian","Ethnicity 18+1","505","0.2%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2018","Mixed White/Black African","Ethnicity 18+1","290","0.1%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2018","Mixed White/Black Caribbean","Ethnicity 18+1","1,040","0.4%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2018","Arab","Ethnicity 18+1","200","0.1%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2018","Any other","Ethnicity 18+1","2,615","1.0%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2018","White British","Ethnicity 18+1","216,120","81.4%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2018","Gypsy or Irish Traveller","Ethnicity 18+1","135","0.1%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2018","White Irish","Ethnicity 18+1","3,050","1.1%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2018","White Other","Ethnicity 18+1","6,400","2.4%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2017","Asian","Ethnicity 5+1","17,075","4.4%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2017","Black","Ethnicity 5+1","13,790","3.6%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2017","Mixed","Ethnicity 5+1","2,460","0.6%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2017","Unknown","Ethnicity 5+1","10,565","2.7%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2017","Other Ethnic Group","Ethnicity 5+1","2,965","0.8%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2017","White","Ethnicity 5+1","339,735","87.9%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2017","Asian","Ethnicity 5+1","13,225","4.9%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2017","Black","Ethnicity 5+1","12,250","4.6%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2017","Mixed","Ethnicity 5+1","2,940","1.1%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2017","Unknown","Ethnicity 5+1","8,195","3.0%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2017","Other Ethnic Group","Ethnicity 5+1","2,830","1.1%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2017","White","Ethnicity 5+1","229,360","85.3%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2017","Bangladeshi","Ethnicity 18+1","1,430","0.4%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2017","Chinese","Ethnicity 18+1","635","0.2%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2017","Indian","Ethnicity 18+1","6,900","1.8%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2017","Other","Ethnicity 18+1","3,725","1.0%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2017","Pakistani","Ethnicity 18+1","4,385","1.1%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2017","Black African","Ethnicity 18+1","3,850","1.0%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2017","Black Caribbean","Ethnicity 18+1","7,670","2.0%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2017","Black Other","Ethnicity 18+1","2,275","0.6%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2017","Mixed Other","Ethnicity 18+1","1,040","0.3%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2017","Mixed White/Asian","Ethnicity 18+1","435","0.1%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2017","Mixed White/Black African","Ethnicity 18+1","265","0.1%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2017","Mixed White/Black Caribbean","Ethnicity 18+1","720","0.2%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2017","Arab","Ethnicity 18+1","245","0.1%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2017","Any other","Ethnicity 18+1","2,720","0.7%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2017","White British","Ethnicity 18+1","323,780","83.8%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2017","Gypsy or Irish Traveller","Ethnicity 18+1","160","0.0%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2017","White Irish","Ethnicity 18+1","4,900","1.3%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2017","White Other","Ethnicity 18+1","10,895","2.8%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2017","Bangladeshi","Ethnicity 18+1","1,310","0.5%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2017","Chinese","Ethnicity 18+1","530","0.2%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2017","Indian","Ethnicity 18+1","4,605","1.7%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2017","Other","Ethnicity 18+1","3,035","1.1%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2017","Pakistani","Ethnicity 18+1","3,745","1.4%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2017","Black African","Ethnicity 18+1","3,690","1.4%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2017","Black Caribbean","Ethnicity 18+1","6,235","2.3%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2017","Black Other","Ethnicity 18+1","2,330","0.9%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2017","Mixed Other","Ethnicity 18+1","1,240","0.5%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2017","Mixed White/Asian","Ethnicity 18+1","525","0.2%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2017","Mixed White/Black African","Ethnicity 18+1","300","0.1%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2017","Mixed White/Black Caribbean","Ethnicity 18+1","875","0.3%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2017","Arab","Ethnicity 18+1","255","0.1%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2017","Any other","Ethnicity 18+1","2,570","1.0%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2017","White British","Ethnicity 18+1","218,875","81.4%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2017","Gypsy or Irish Traveller","Ethnicity 18+1","120","0.0%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2017","White Irish","Ethnicity 18+1","3,185","1.2%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2017","White Other","Ethnicity 18+1","7,180","2.7%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2016","Asian","Ethnicity 5+1","16,595","4.3%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2016","Black","Ethnicity 5+1","13,300","3.4%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2016","Mixed","Ethnicity 5+1","2,310","0.6%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2016","Unknown","Ethnicity 5+1","8,900","2.3%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2016","Other Ethnic Group","Ethnicity 5+1","2,760","0.7%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2016","White","Ethnicity 5+1","346,215","88.8%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2016","Asian","Ethnicity 5+1","12,260","4.7%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2016","Black","Ethnicity 5+1","11,265","4.3%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2016","Mixed","Ethnicity 5+1","2,505","1.0%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2016","Unknown","Ethnicity 5+1","6,965","2.6%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2016","Other Ethnic Group","Ethnicity 5+1","2,540","1.0%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2016","White","Ethnicity 5+1","227,455","86.5%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2016","Bangladeshi","Ethnicity 18+1","1,435","0.4%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2016","Chinese","Ethnicity 18+1","665","0.2%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2016","Indian","Ethnicity 18+1","6,625","1.7%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2016","Other","Ethnicity 18+1","3,610","0.9%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2016","Pakistani","Ethnicity 18+1","4,255","1.1%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2016","Black African","Ethnicity 18+1","3,585","0.9%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2016","Black Caribbean","Ethnicity 18+1","7,410","1.9%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2016","Black Other","Ethnicity 18+1","2,300","0.6%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2016","Mixed Other","Ethnicity 18+1","935","0.2%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2016","Mixed White/Asian","Ethnicity 18+1","395","0.1%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2016","Mixed White/Black African","Ethnicity 18+1","245","0.1%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2016","Mixed White/Black Caribbean","Ethnicity 18+1","735","0.2%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2016","Arab","Ethnicity 18+1","155","0.0%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2016","Any other","Ethnicity 18+1","2,605","0.7%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2016","White British","Ethnicity 18+1","329,080","84.4%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2016","Gypsy or Irish Traveller","Ethnicity 18+1","115","0.0%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2016","White Irish","Ethnicity 18+1","6,270","1.6%"
"Number of clients receiving long term support by gender and ethnicity","Female","All","2016","White Other","Ethnicity 18+1","10,750","2.8%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2016","Bangladeshi","Ethnicity 18+1","1,205","0.5%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2016","Chinese","Ethnicity 18+1","515","0.2%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2016","Indian","Ethnicity 18+1","4,250","1.6%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2016","Other","Ethnicity 18+1","2,875","1.1%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2016","Pakistani","Ethnicity 18+1","3,420","1.3%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2016","Black African","Ethnicity 18+1","3,105","1.2%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2016","Black Caribbean","Ethnicity 18+1","5,945","2.3%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2016","Black Other","Ethnicity 18+1","2,215","0.8%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2016","Mixed Other","Ethnicity 18+1","1,025","0.4%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2016","Mixed White/Asian","Ethnicity 18+1","445","0.2%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2016","Mixed White/Black African","Ethnicity 18+1","265","0.1%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2016","Mixed White/Black Caribbean","Ethnicity 18+1","775","0.3%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2016","Arab","Ethnicity 18+1","170","0.1%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2016","Any other","Ethnicity 18+1","2,370","0.9%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2016","White British","Ethnicity 18+1","217,290","82.6%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2016","Gypsy or Irish Traveller","Ethnicity 18+1","75","0.0%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2016","White Irish","Ethnicity 18+1","3,335","1.3%"
"Number of clients receiving long term support by gender and ethnicity","Male","All","2016","White Other","Ethnicity 18+1","6,760","2.6%"
