"Measure","Source","Time","Ethnicity of household reference person","Ethnicity_type","Geography","Value","Denominator"
"Gross household income by ethnic group of the head of the household","Tax credits","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","8","585"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","56","585"
"Gross household income by ethnic group of the head of the household","Disability benefits","2014/15-2016/17","White","ONS 5+2","K02000001","1","53,560"
"Gross household income by ethnic group of the head of the household","Investments","2014/15-2016/17","White","ONS 5+2","K02000001","2","53,560"
"Gross household income by ethnic group of the head of the household","Other","2014/15-2016/17","White","ONS 5+2","K02000001","3","53,560"
"Gross household income by ethnic group of the head of the household","Other benefits","2014/15-2016/17","White","ONS 5+2","K02000001","4","53,560"
"Gross household income by ethnic group of the head of the household","Private pensions","2014/15-2016/17","White","ONS 5+2","K02000001","9","53,560"
"Gross household income by ethnic group of the head of the household","Self-employed income","2014/15-2016/17","White","ONS 5+2","K02000001","9","53,560"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2014/15-2016/17","White","ONS 5+2","K02000001","8","53,560"
"Gross household income by ethnic group of the head of the household","Tax credits","2014/15-2016/17","White","ONS 5+2","K02000001","2","53,560"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2014/15-2016/17","White","ONS 5+2","K02000001","63","53,560"
"Gross household income by ethnic group of the head of the household","Disability benefits","2014/15-2016/17","White British","ONS 5+2","K02000001","2","51,065"
"Gross household income by ethnic group of the head of the household","Investments","2014/15-2016/17","White British","ONS 5+2","K02000001","2","51,065"
"Gross household income by ethnic group of the head of the household","Other","2014/15-2016/17","White British","ONS 5+2","K02000001","3","51,065"
"Gross household income by ethnic group of the head of the household","Other benefits","2014/15-2016/17","White British","ONS 5+2","K02000001","5","51,065"
"Gross household income by ethnic group of the head of the household","Private pensions","2014/15-2016/17","White British","ONS 5+2","K02000001","10","51,065"
"Gross household income by ethnic group of the head of the household","Self-employed income","2014/15-2016/17","White British","ONS 5+2","K02000001","8","51,065"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2014/15-2016/17","White British","ONS 5+2","K02000001","8","51,065"
"Gross household income by ethnic group of the head of the household","Tax credits","2014/15-2016/17","White British","ONS 5+2","K02000001","1","51,065"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2014/15-2016/17","White British","ONS 5+2","K02000001","62","51,065"
"Gross household income by ethnic group of the head of the household","Disability benefits","2014/15-2016/17","White non-British","ONS 5+2","K02000001","~","2,495"
"Gross household income by ethnic group of the head of the household","Investments","2014/15-2016/17","White non-British","ONS 5+2","K02000001","1","2,495"
"Gross household income by ethnic group of the head of the household","Other","2014/15-2016/17","White non-British","ONS 5+2","K02000001","4","2,495"
"Gross household income by ethnic group of the head of the household","Other benefits","2014/15-2016/17","White non-British","ONS 5+2","K02000001","3","2,495"
"Gross household income by ethnic group of the head of the household","Private pensions","2014/15-2016/17","White non-British","ONS 5+2","K02000001","2","2,495"
"Gross household income by ethnic group of the head of the household","Self-employed income","2014/15-2016/17","White non-British","ONS 5+2","K02000001","11","2,495"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2014/15-2016/17","White non-British","ONS 5+2","K02000001","2","2,495"
"Gross household income by ethnic group of the head of the household","Tax credits","2014/15-2016/17","White non-British","ONS 5+2","K02000001","2","2,495"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2014/15-2016/17","White non-British","ONS 5+2","K02000001","75","2,495"
"Gross household income by ethnic group of the head of the household","Disability benefits","2015/16-2017/18","All","ONS 5+2","K02000001","1","57,814"
"Gross household income by ethnic group of the head of the household","Investments","2015/16-2017/18","All","ONS 5+2","K02000001","2","57,814"
"Gross household income by ethnic group of the head of the household","Other","2015/16-2017/18","All","ONS 5+2","K02000001","4","57,814"
"Gross household income by ethnic group of the head of the household","Other benefits","2015/16-2017/18","All","ONS 5+2","K02000001","5","57,814"
"Gross household income by ethnic group of the head of the household","Private pensions","2015/16-2017/18","All","ONS 5+2","K02000001","8","57,814"
"Gross household income by ethnic group of the head of the household","Self-employed income","2015/16-2017/18","All","ONS 5+2","K02000001","9","57,814"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2015/16-2017/18","All","ONS 5+2","K02000001","7","57,814"
"Gross household income by ethnic group of the head of the household","Tax credits","2015/16-2017/18","All","ONS 5+2","K02000001","2","57,814"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2015/16-2017/18","All","ONS 5+2","K02000001","63","57,814"
"Gross household income by ethnic group of the head of the household","Disability benefits","2015/16-2017/18","Any other Asian background","ONS 5+2","K02000001","~","361"
"Gross household income by ethnic group of the head of the household","Investments","2015/16-2017/18","Any other Asian background","ONS 5+2","K02000001","~","361"
"Gross household income by ethnic group of the head of the household","Other","2015/16-2017/18","Any other Asian background","ONS 5+2","K02000001","9","361"
"Gross household income by ethnic group of the head of the household","Other benefits","2015/16-2017/18","Any other Asian background","ONS 5+2","K02000001","7","361"
"Gross household income by ethnic group of the head of the household","Private pensions","2015/16-2017/18","Any other Asian background","ONS 5+2","K02000001","2","361"
"Gross household income by ethnic group of the head of the household","Self-employed income","2015/16-2017/18","Any other Asian background","ONS 5+2","K02000001","11","361"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2015/16-2017/18","Any other Asian background","ONS 5+2","K02000001","2","361"
"Gross household income by ethnic group of the head of the household","Tax credits","2015/16-2017/18","Any other Asian background","ONS 5+2","K02000001","3","361"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2015/16-2017/18","Any other Asian background","ONS 5+2","K02000001","66","361"
"Gross household income by ethnic group of the head of the household","Disability benefits","2015/16-2017/18","Asian/ Asian British","ONS 5+2","K02000001","1","2,391"
"Gross household income by ethnic group of the head of the household","Investments","2015/16-2017/18","Asian/ Asian British","ONS 5+2","K02000001","1","2,391"
"Gross household income by ethnic group of the head of the household","Other","2015/16-2017/18","Asian/ Asian British","ONS 5+2","K02000001","7","2,391"
"Gross household income by ethnic group of the head of the household","Other benefits","2015/16-2017/18","Asian/ Asian British","ONS 5+2","K02000001","5","2,391"
"Gross household income by ethnic group of the head of the household","Private pensions","2015/16-2017/18","Asian/ Asian British","ONS 5+2","K02000001","2","2,391"
"Gross household income by ethnic group of the head of the household","Self-employed income","2015/16-2017/18","Asian/ Asian British","ONS 5+2","K02000001","11","2,391"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2015/16-2017/18","Asian/ Asian British","ONS 5+2","K02000001","2","2,391"
"Gross household income by ethnic group of the head of the household","Tax credits","2015/16-2017/18","Asian/ Asian British","ONS 5+2","K02000001","3","2,391"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2015/16-2017/18","Asian/ Asian British","ONS 5+2","K02000001","68","2,391"
"Gross household income by ethnic group of the head of the household","Disability benefits","2015/16-2017/18","Bangladeshi","ONS 5+2","K02000001","2","243"
"Gross household income by ethnic group of the head of the household","Investments","2015/16-2017/18","Bangladeshi","ONS 5+2","K02000001","~","243"
"Gross household income by ethnic group of the head of the household","Other","2015/16-2017/18","Bangladeshi","ONS 5+2","K02000001","5","243"
"Gross household income by ethnic group of the head of the household","Other benefits","2015/16-2017/18","Bangladeshi","ONS 5+2","K02000001","15","243"
"Gross household income by ethnic group of the head of the household","Private pensions","2015/16-2017/18","Bangladeshi","ONS 5+2","K02000001","2","243"
"Gross household income by ethnic group of the head of the household","Self-employed income","2015/16-2017/18","Bangladeshi","ONS 5+2","K02000001","7","243"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2015/16-2017/18","Bangladeshi","ONS 5+2","K02000001","4","243"
"Gross household income by ethnic group of the head of the household","Tax credits","2015/16-2017/18","Bangladeshi","ONS 5+2","K02000001","10","243"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2015/16-2017/18","Bangladeshi","ONS 5+2","K02000001","55","243"
"Gross household income by ethnic group of the head of the household","Disability benefits","2015/16-2017/18","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","1","1,288"
"Gross household income by ethnic group of the head of the household","Investments","2015/16-2017/18","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","~","1,288"
"Gross household income by ethnic group of the head of the household","Other","2015/16-2017/18","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","6","1,288"
"Gross household income by ethnic group of the head of the household","Other benefits","2015/16-2017/18","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","11","1,288"
"Gross household income by ethnic group of the head of the household","Private pensions","2015/16-2017/18","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","2","1,288"
"Gross household income by ethnic group of the head of the household","Self-employed income","2015/16-2017/18","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","7","1,288"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2015/16-2017/18","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","3","1,288"
"Gross household income by ethnic group of the head of the household","Tax credits","2015/16-2017/18","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","5","1,288"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2015/16-2017/18","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","64","1,288"
"Gross household income by ethnic group of the head of the household","Disability benefits","2015/16-2017/18","Chinese","ONS 5+2","K02000001","~","215"
"Gross household income by ethnic group of the head of the household","Investments","2015/16-2017/18","Chinese","ONS 5+2","K02000001","1","215"
"Gross household income by ethnic group of the head of the household","Other","2015/16-2017/18","Chinese","ONS 5+2","K02000001","18","215"
"Gross household income by ethnic group of the head of the household","Other benefits","2015/16-2017/18","Chinese","ONS 5+2","K02000001","2","215"
"Gross household income by ethnic group of the head of the household","Private pensions","2015/16-2017/18","Chinese","ONS 5+2","K02000001","1","215"
"Gross household income by ethnic group of the head of the household","Self-employed income","2015/16-2017/18","Chinese","ONS 5+2","K02000001","11","215"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2015/16-2017/18","Chinese","ONS 5+2","K02000001","2","215"
"Gross household income by ethnic group of the head of the household","Tax credits","2015/16-2017/18","Chinese","ONS 5+2","K02000001","1","215"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2015/16-2017/18","Chinese","ONS 5+2","K02000001","64","215"
"Gross household income by ethnic group of the head of the household","Disability benefits","2015/16-2017/18","Indian","ONS 5+2","K02000001","1","976"
"Gross household income by ethnic group of the head of the household","Investments","2015/16-2017/18","Indian","ONS 5+2","K02000001","1","976"
"Gross household income by ethnic group of the head of the household","Other","2015/16-2017/18","Indian","ONS 5+2","K02000001","5","976"
"Gross household income by ethnic group of the head of the household","Other benefits","2015/16-2017/18","Indian","ONS 5+2","K02000001","3","976"
"Gross household income by ethnic group of the head of the household","Private pensions","2015/16-2017/18","Indian","ONS 5+2","K02000001","2","976"
"Gross household income by ethnic group of the head of the household","Self-employed income","2015/16-2017/18","Indian","ONS 5+2","K02000001","9","976"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2015/16-2017/18","Indian","ONS 5+2","K02000001","2","976"
"Gross household income by ethnic group of the head of the household","Tax credits","2015/16-2017/18","Indian","ONS 5+2","K02000001","1","976"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2015/16-2017/18","Indian","ONS 5+2","K02000001","77","976"
"Gross household income by ethnic group of the head of the household","Disability benefits","2015/16-2017/18","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","1","499"
"Gross household income by ethnic group of the head of the household","Investments","2015/16-2017/18","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","1","499"
"Gross household income by ethnic group of the head of the household","Other","2015/16-2017/18","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","6","499"
"Gross household income by ethnic group of the head of the household","Other benefits","2015/16-2017/18","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","7","499"
"Gross household income by ethnic group of the head of the household","Private pensions","2015/16-2017/18","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","2","499"
"Gross household income by ethnic group of the head of the household","Self-employed income","2015/16-2017/18","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","6","499"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2015/16-2017/18","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","2","499"
"Gross household income by ethnic group of the head of the household","Tax credits","2015/16-2017/18","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","3","499"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2015/16-2017/18","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","71","499"
"Gross household income by ethnic group of the head of the household","Disability benefits","2015/16-2017/18","Other ethnic group","ONS 5+2","K02000001","1","490"
"Gross household income by ethnic group of the head of the household","Investments","2015/16-2017/18","Other ethnic group","ONS 5+2","K02000001","1","490"
"Gross household income by ethnic group of the head of the household","Other","2015/16-2017/18","Other ethnic group","ONS 5+2","K02000001","9","490"
"Gross household income by ethnic group of the head of the household","Other benefits","2015/16-2017/18","Other ethnic group","ONS 5+2","K02000001","6","490"
"Gross household income by ethnic group of the head of the household","Private pensions","2015/16-2017/18","Other ethnic group","ONS 5+2","K02000001","2","490"
"Gross household income by ethnic group of the head of the household","Self-employed income","2015/16-2017/18","Other ethnic group","ONS 5+2","K02000001","9","490"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2015/16-2017/18","Other ethnic group","ONS 5+2","K02000001","2","490"
"Gross household income by ethnic group of the head of the household","Tax credits","2015/16-2017/18","Other ethnic group","ONS 5+2","K02000001","3","490"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2015/16-2017/18","Other ethnic group","ONS 5+2","K02000001","67","490"
"Gross household income by ethnic group of the head of the household","Disability benefits","2015/16-2017/18","Pakistani","ONS 5+2","K02000001","1","596"
"Gross household income by ethnic group of the head of the household","Investments","2015/16-2017/18","Pakistani","ONS 5+2","K02000001","1","596"
"Gross household income by ethnic group of the head of the household","Other","2015/16-2017/18","Pakistani","ONS 5+2","K02000001","5","596"
"Gross household income by ethnic group of the head of the household","Other benefits","2015/16-2017/18","Pakistani","ONS 5+2","K02000001","9","596"
"Gross household income by ethnic group of the head of the household","Private pensions","2015/16-2017/18","Pakistani","ONS 5+2","K02000001","1","596"
"Gross household income by ethnic group of the head of the household","Self-employed income","2015/16-2017/18","Pakistani","ONS 5+2","K02000001","19","596"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2015/16-2017/18","Pakistani","ONS 5+2","K02000001","2","596"
"Gross household income by ethnic group of the head of the household","Tax credits","2015/16-2017/18","Pakistani","ONS 5+2","K02000001","8","596"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2015/16-2017/18","Pakistani","ONS 5+2","K02000001","54","596"
"Gross household income by ethnic group of the head of the household","Disability benefits","2015/16-2017/18","White","ONS 5+2","K02000001","1","53,146"
"Gross household income by ethnic group of the head of the household","Investments","2015/16-2017/18","White","ONS 5+2","K02000001","2","53,146"
"Gross household income by ethnic group of the head of the household","Other","2015/16-2017/18","White","ONS 5+2","K02000001","3","53,146"
"Gross household income by ethnic group of the head of the household","Other benefits","2015/16-2017/18","White","ONS 5+2","K02000001","4","53,146"
"Gross household income by ethnic group of the head of the household","Private pensions","2015/16-2017/18","White","ONS 5+2","K02000001","9","53,146"
"Gross household income by ethnic group of the head of the household","Self-employed income","2015/16-2017/18","White","ONS 5+2","K02000001","9","53,146"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2015/16-2017/18","White","ONS 5+2","K02000001","8","53,146"
"Gross household income by ethnic group of the head of the household","Tax credits","2015/16-2017/18","White","ONS 5+2","K02000001","1","53,146"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2015/16-2017/18","White","ONS 5+2","K02000001","63","53,146"
"Gross household income by ethnic group of the head of the household","Disability benefits","2015/16-2017/18","White British","ONS 5+2","K02000001","2","50,523"
"Gross household income by ethnic group of the head of the household","Investments","2015/16-2017/18","White British","ONS 5+2","K02000001","2","50,523"
"Gross household income by ethnic group of the head of the household","Other","2015/16-2017/18","White British","ONS 5+2","K02000001","3","50,523"
"Gross household income by ethnic group of the head of the household","Other benefits","2015/16-2017/18","White British","ONS 5+2","K02000001","4","50,523"
"Gross household income by ethnic group of the head of the household","Private pensions","2015/16-2017/18","White British","ONS 5+2","K02000001","10","50,523"
"Gross household income by ethnic group of the head of the household","Self-employed income","2015/16-2017/18","White British","ONS 5+2","K02000001","8","50,523"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2015/16-2017/18","White British","ONS 5+2","K02000001","8","50,523"
"Gross household income by ethnic group of the head of the household","Tax credits","2015/16-2017/18","White British","ONS 5+2","K02000001","1","50,523"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2015/16-2017/18","White British","ONS 5+2","K02000001","62","50,523"
"Gross household income by ethnic group of the head of the household","Disability benefits","2015/16-2017/18","White non-British","ONS 5+2","K02000001","~","2,623"
"Gross household income by ethnic group of the head of the household","Investments","2015/16-2017/18","White non-British","ONS 5+2","K02000001","1","2,623"
"Gross household income by ethnic group of the head of the household","Other","2015/16-2017/18","White non-British","ONS 5+2","K02000001","4","2,623"
"Gross household income by ethnic group of the head of the household","Other benefits","2015/16-2017/18","White non-British","ONS 5+2","K02000001","3","2,623"
"Gross household income by ethnic group of the head of the household","Private pensions","2015/16-2017/18","White non-British","ONS 5+2","K02000001","2","2,623"
"Gross household income by ethnic group of the head of the household","Self-employed income","2015/16-2017/18","White non-British","ONS 5+2","K02000001","12","2,623"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2015/16-2017/18","White non-British","ONS 5+2","K02000001","2","2,623"
"Gross household income by ethnic group of the head of the household","Tax credits","2015/16-2017/18","White non-British","ONS 5+2","K02000001","1","2,623"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2015/16-2017/18","White non-British","ONS 5+2","K02000001","74","2,623"
"Gross household income by ethnic group of the head of the household","Disability benefits","2016/17-2018/19","All","ONS 5+2","K02000001","1","57,665"
"Gross household income by ethnic group of the head of the household","Investments","2016/17-2018/19","All","ONS 5+2","K02000001","1","57,665"
"Gross household income by ethnic group of the head of the household","Other","2016/17-2018/19","All","ONS 5+2","K02000001","4","57,665"
"Gross household income by ethnic group of the head of the household","Other benefits","2016/17-2018/19","All","ONS 5+2","K02000001","4","57,665"
"Gross household income by ethnic group of the head of the household","Private pensions","2016/17-2018/19","All","ONS 5+2","K02000001","8","57,665"
"Gross household income by ethnic group of the head of the household","Self-employed income","2016/17-2018/19","All","ONS 5+2","K02000001","9","57,665"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2016/17-2018/19","All","ONS 5+2","K02000001","7","57,665"
"Gross household income by ethnic group of the head of the household","Tax credits","2016/17-2018/19","All","ONS 5+2","K02000001","1","57,665"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2016/17-2018/19","All","ONS 5+2","K02000001","63","57,665"
"Gross household income by ethnic group of the head of the household","Disability benefits","2016/17-2018/19","Any other Asian background","ONS 5+2","K02000001","~","372"
"Gross household income by ethnic group of the head of the household","Investments","2016/17-2018/19","Any other Asian background","ONS 5+2","K02000001","1","372"
"Gross household income by ethnic group of the head of the household","Other","2016/17-2018/19","Any other Asian background","ONS 5+2","K02000001","10","372"
"Gross household income by ethnic group of the head of the household","Other benefits","2016/17-2018/19","Any other Asian background","ONS 5+2","K02000001","6","372"
"Gross household income by ethnic group of the head of the household","Private pensions","2016/17-2018/19","Any other Asian background","ONS 5+2","K02000001","2","372"
"Gross household income by ethnic group of the head of the household","Self-employed income","2016/17-2018/19","Any other Asian background","ONS 5+2","K02000001","10","372"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2016/17-2018/19","Any other Asian background","ONS 5+2","K02000001","2","372"
"Gross household income by ethnic group of the head of the household","Tax credits","2016/17-2018/19","Any other Asian background","ONS 5+2","K02000001","3","372"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2016/17-2018/19","Any other Asian background","ONS 5+2","K02000001","66","372"
"Gross household income by ethnic group of the head of the household","Disability benefits","2016/17-2018/19","Asian/ Asian British","ONS 5+2","K02000001","1","2,453"
"Gross household income by ethnic group of the head of the household","Investments","2016/17-2018/19","Asian/ Asian British","ONS 5+2","K02000001","1","2,453"
"Gross household income by ethnic group of the head of the household","Other","2016/17-2018/19","Asian/ Asian British","ONS 5+2","K02000001","7","2,453"
"Gross household income by ethnic group of the head of the household","Other benefits","2016/17-2018/19","Asian/ Asian British","ONS 5+2","K02000001","5","2,453"
"Gross household income by ethnic group of the head of the household","Private pensions","2016/17-2018/19","Asian/ Asian British","ONS 5+2","K02000001","2","2,453"
"Gross household income by ethnic group of the head of the household","Self-employed income","2016/17-2018/19","Asian/ Asian British","ONS 5+2","K02000001","11","2,453"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2016/17-2018/19","Asian/ Asian British","ONS 5+2","K02000001","3","2,453"
"Gross household income by ethnic group of the head of the household","Tax credits","2016/17-2018/19","Asian/ Asian British","ONS 5+2","K02000001","3","2,453"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2016/17-2018/19","Asian/ Asian British","ONS 5+2","K02000001","68","2,453"
"Gross household income by ethnic group of the head of the household","Disability benefits","2016/17-2018/19","Bangladeshi","ONS 5+2","K02000001","2","269"
"Gross household income by ethnic group of the head of the household","Investments","2016/17-2018/19","Bangladeshi","ONS 5+2","K02000001","~","269"
"Gross household income by ethnic group of the head of the household","Other","2016/17-2018/19","Bangladeshi","ONS 5+2","K02000001","5","269"
"Gross household income by ethnic group of the head of the household","Other benefits","2016/17-2018/19","Bangladeshi","ONS 5+2","K02000001","14","269"
"Gross household income by ethnic group of the head of the household","Private pensions","2016/17-2018/19","Bangladeshi","ONS 5+2","K02000001","2","269"
"Gross household income by ethnic group of the head of the household","Self-employed income","2016/17-2018/19","Bangladeshi","ONS 5+2","K02000001","7","269"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2016/17-2018/19","Bangladeshi","ONS 5+2","K02000001","3","269"
"Gross household income by ethnic group of the head of the household","Tax credits","2016/17-2018/19","Bangladeshi","ONS 5+2","K02000001","9","269"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2016/17-2018/19","Bangladeshi","ONS 5+2","K02000001","58","269"
"Gross household income by ethnic group of the head of the household","Disability benefits","2016/17-2018/19","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","1","1,248"
"Gross household income by ethnic group of the head of the household","Investments","2016/17-2018/19","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","~","1,248"
"Gross household income by ethnic group of the head of the household","Other","2016/17-2018/19","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","5","1,248"
"Gross household income by ethnic group of the head of the household","Other benefits","2016/17-2018/19","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","9","1,248"
"Gross household income by ethnic group of the head of the household","Private pensions","2016/17-2018/19","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","2","1,248"
"Gross household income by ethnic group of the head of the household","Self-employed income","2016/17-2018/19","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","8","1,248"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2016/17-2018/19","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","3","1,248"
"Gross household income by ethnic group of the head of the household","Tax credits","2016/17-2018/19","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","4","1,248"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2016/17-2018/19","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","66","1,248"
"Gross household income by ethnic group of the head of the household","Disability benefits","2016/17-2018/19","Chinese","ONS 5+2","K02000001","~","221"
"Gross household income by ethnic group of the head of the household","Investments","2016/17-2018/19","Chinese","ONS 5+2","K02000001","1","221"
"Gross household income by ethnic group of the head of the household","Other","2016/17-2018/19","Chinese","ONS 5+2","K02000001","27","221"
"Gross household income by ethnic group of the head of the household","Other benefits","2016/17-2018/19","Chinese","ONS 5+2","K02000001","3","221"
"Gross household income by ethnic group of the head of the household","Private pensions","2016/17-2018/19","Chinese","ONS 5+2","K02000001","1","221"
"Gross household income by ethnic group of the head of the household","Self-employed income","2016/17-2018/19","Chinese","ONS 5+2","K02000001","11","221"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2016/17-2018/19","Chinese","ONS 5+2","K02000001","2","221"
"Gross household income by ethnic group of the head of the household","Tax credits","2016/17-2018/19","Chinese","ONS 5+2","K02000001","1","221"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2016/17-2018/19","Chinese","ONS 5+2","K02000001","56","221"
"Gross household income by ethnic group of the head of the household","Disability benefits","2016/17-2018/19","Indian","ONS 5+2","K02000001","1","992"
"Gross household income by ethnic group of the head of the household","Investments","2016/17-2018/19","Indian","ONS 5+2","K02000001","1","992"
"Gross household income by ethnic group of the head of the household","Other","2016/17-2018/19","Indian","ONS 5+2","K02000001","4","992"
"Gross household income by ethnic group of the head of the household","Other benefits","2016/17-2018/19","Indian","ONS 5+2","K02000001","2","992"
"Gross household income by ethnic group of the head of the household","Private pensions","2016/17-2018/19","Indian","ONS 5+2","K02000001","2","992"
"Gross household income by ethnic group of the head of the household","Self-employed income","2016/17-2018/19","Indian","ONS 5+2","K02000001","10","992"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2016/17-2018/19","Indian","ONS 5+2","K02000001","3","992"
"Gross household income by ethnic group of the head of the household","Tax credits","2016/17-2018/19","Indian","ONS 5+2","K02000001","1","992"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2016/17-2018/19","Indian","ONS 5+2","K02000001","76","992"
"Gross household income by ethnic group of the head of the household","Disability benefits","2016/17-2018/19","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","1","515"
"Gross household income by ethnic group of the head of the household","Investments","2016/17-2018/19","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","2","515"
"Gross household income by ethnic group of the head of the household","Other","2016/17-2018/19","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","6","515"
"Gross household income by ethnic group of the head of the household","Other benefits","2016/17-2018/19","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","6","515"
"Gross household income by ethnic group of the head of the household","Private pensions","2016/17-2018/19","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","2","515"
"Gross household income by ethnic group of the head of the household","Self-employed income","2016/17-2018/19","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","6","515"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2016/17-2018/19","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","2","515"
"Gross household income by ethnic group of the head of the household","Tax credits","2016/17-2018/19","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","3","515"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2016/17-2018/19","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","73","515"
"Gross household income by ethnic group of the head of the household","Disability benefits","2016/17-2018/19","Other ethnic group","ONS 5+2","K02000001","1","525"
"Gross household income by ethnic group of the head of the household","Investments","2016/17-2018/19","Other ethnic group","ONS 5+2","K02000001","1","525"
"Gross household income by ethnic group of the head of the household","Other","2016/17-2018/19","Other ethnic group","ONS 5+2","K02000001","6","525"
"Gross household income by ethnic group of the head of the household","Other benefits","2016/17-2018/19","Other ethnic group","ONS 5+2","K02000001","6","525"
"Gross household income by ethnic group of the head of the household","Private pensions","2016/17-2018/19","Other ethnic group","ONS 5+2","K02000001","2","525"
"Gross household income by ethnic group of the head of the household","Self-employed income","2016/17-2018/19","Other ethnic group","ONS 5+2","K02000001","11","525"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2016/17-2018/19","Other ethnic group","ONS 5+2","K02000001","2","525"
