"Measure","Year","NHS_trust","NHS_trust_code","Ethnicity","Ethnicity_type","Geography","Geography_type","NHS_trust_type","Value","Value_type","Numerator","Denominator"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Blackpool Teaching Hospitals NHS Foundation Trust","RXL","White","White & Other","North","Grouped region","Acute Trust","86","%","1280","1482"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Blackpool Teaching Hospitals NHS Foundation Trust","RXL","All","White & Other","North","Grouped region","Acute Trust","86","%","1339","1555"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Derbyshire Healthcare NHS Foundation Trust","RXM","Other","White & Other","Midlands","Grouped region","Mental Health","64","%","58","90"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Derbyshire Healthcare NHS Foundation Trust","RXM","White","White & Other","Midlands","Grouped region","Mental Health","86","%","580","674"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Derbyshire Healthcare NHS Foundation Trust","RXM","All","White & Other","Midlands","Grouped region","Mental Health","84","%","638","764"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Derbyshire Healthcare NHS Foundation Trust","RXM","Other","White & Other","Midlands","Grouped region","Mental Health Trust","56","%","40","72"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Derbyshire Healthcare NHS Foundation Trust","RXM","White","White & Other","Midlands","Grouped region","Mental Health Trust","80","%","455","567"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Derbyshire Healthcare NHS Foundation Trust","RXM","All","White & Other","Midlands","Grouped region","Mental Health Trust","77","%","495","639"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Lancashire Teaching Hospitals NHS Foundation Trust","RXN","Other","White & Other","North","Grouped region","Acute","74","%","184","247"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Lancashire Teaching Hospitals NHS Foundation Trust","RXN","White","White & Other","North","Grouped region","Acute","83","%","1754","2114"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Lancashire Teaching Hospitals NHS Foundation Trust","RXN","All","White & Other","North","Grouped region","Acute","82","%","1938","2361"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Lancashire Teaching Hospitals NHS Foundation Trust","RXN","Other","White & Other","North","Grouped region","Acute Trust","78","%","254","324"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Lancashire Teaching Hospitals NHS Foundation Trust","RXN","White","White & Other","North","Grouped region","Acute Trust","86","%","1986","2305"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Lancashire Teaching Hospitals NHS Foundation Trust","RXN","All","White & Other","North","Grouped region","Acute Trust","85","%","2240","2629"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","County Durham and Darlington NHS Foundation Trust","RXP","White","White & Other","North","Grouped region","Acute","91","%","187","205"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","County Durham and Darlington NHS Foundation Trust","RXP","All","White & Other","North","Grouped region","Acute","91","%","187","205"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","County Durham and Darlington NHS Foundation Trust","RXP","Other","White & Other","North","Grouped region","Acute Trust","85","%","80","94"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","County Durham and Darlington NHS Foundation Trust","RXP","White","White & Other","North","Grouped region","Acute Trust","90","%","1763","1950"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","County Durham and Darlington NHS Foundation Trust","RXP","All","White & Other","North","Grouped region","Acute Trust","90","%","1843","2044"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Buckinghamshire Healthcare NHS Trust","RXQ","Other","White & Other","South","Grouped region","Acute","81","%","305","377"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Buckinghamshire Healthcare NHS Trust","RXQ","White","White & Other","South","Grouped region","Acute","90","%","1343","1488"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Buckinghamshire Healthcare NHS Trust","RXQ","All","White & Other","South","Grouped region","Acute","88","%","1648","1865"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Buckinghamshire Healthcare NHS Trust","RXQ","Other","White & Other","South","Grouped region","Acute Trust","78","%","264","337"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Buckinghamshire Healthcare NHS Trust","RXQ","White","White & Other","South","Grouped region","Acute Trust","90","%","1386","1532"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Buckinghamshire Healthcare NHS Trust","RXQ","All","White & Other","South","Grouped region","Acute Trust","88","%","1650","1869"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","East Lancashire Hospitals NHS Trust","RXR","Other","White & Other","North","Grouped region","Acute","67","%","189","282"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","East Lancashire Hospitals NHS Trust","RXR","White","White & Other","North","Grouped region","Acute","88","%","1903","2161"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","East Lancashire Hospitals NHS Trust","RXR","All","White & Other","North","Grouped region","Acute","86","%","2092","2443"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","East Lancashire Hospitals NHS Trust","RXR","Other","White & Other","North","Grouped region","Acute Trust","68","%","184","271"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","East Lancashire Hospitals NHS Trust","RXR","White","White & Other","North","Grouped region","Acute Trust","87","%","1788","2064"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","East Lancashire Hospitals NHS Trust","RXR","All","White & Other","North","Grouped region","Acute Trust","84","%","1972","2335"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Birmingham and Solihull Mental Health NHS Foundation Trust","RXT","Other","White & Other","Midlands","Grouped region","Mental Health","60","%","148","245"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Birmingham and Solihull Mental Health NHS Foundation Trust","RXT","White","White & Other","Midlands","Grouped region","Mental Health","79","%","482","614"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Birmingham and Solihull Mental Health NHS Foundation Trust","RXT","All","White & Other","Midlands","Grouped region","Mental Health","73","%","630","859"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Birmingham and Solihull Mental Health NHS Foundation Trust","RXT","Other","White & Other","Midlands","Grouped region","Mental Health Trust","55","%","171","310"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Birmingham and Solihull Mental Health NHS Foundation Trust","RXT","White","White & Other","Midlands","Grouped region","Mental Health Trust","78","%","533","685"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Birmingham and Solihull Mental Health NHS Foundation Trust","RXT","All","White & Other","Midlands","Grouped region","Mental Health Trust","71","%","704","995"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Greater Manchester Mental Health NHS Foundation Trust","RXV","Other","White & Other","North","Grouped region","Mental Health","71","%","112","157"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Greater Manchester Mental Health NHS Foundation Trust","RXV","White","White & Other","North","Grouped region","Mental Health","85","%","1061","1247"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Greater Manchester Mental Health NHS Foundation Trust","RXV","All","White & Other","North","Grouped region","Mental Health","84","%","1173","1404"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Greater Manchester Mental Health NHS Foundation Trust","RXV","Other","White & Other","North","Grouped region","Mental Health Trust","77","%","89","115"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Greater Manchester Mental Health NHS Foundation Trust","RXV","White","White & Other","North","Grouped region","Mental Health Trust","89","%","807","911"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Greater Manchester Mental Health NHS Foundation Trust","RXV","All","White & Other","North","Grouped region","Mental Health Trust","87","%","896","1026"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","The Shrewsbury and Telford Hospital NHS Trust","RXW","Other","White & Other","Midlands","Grouped region","Acute","73","%","88","121"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","The Shrewsbury and Telford Hospital NHS Trust","RXW","White","White & Other","Midlands","Grouped region","Acute","84","%","1255","1486"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","The Shrewsbury and Telford Hospital NHS Trust","RXW","All","White & Other","Midlands","Grouped region","Acute","84","%","1343","1607"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","The Shrewsbury And Telford Hospital NHS Trust","RXW","Other","White & Other","Midlands","Grouped region","Acute Trust","84","%","91","108"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","The Shrewsbury And Telford Hospital NHS Trust","RXW","White","White & Other","Midlands","Grouped region","Acute Trust","87","%","1195","1378"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","The Shrewsbury And Telford Hospital NHS Trust","RXW","All","White & Other","Midlands","Grouped region","Acute Trust","87","%","1286","1486"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Surrey and Borders Partnership NHS Foundation Trust","RXX","Other","White & Other","South","Grouped region","Mental Health","81","%","137","169"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Surrey and Borders Partnership NHS Foundation Trust","RXX","White","White & Other","South","Grouped region","Mental Health","89","%","598","670"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Surrey and Borders Partnership NHS Foundation Trust","RXX","All","White & Other","South","Grouped region","Mental Health","88","%","735","839"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Surrey and Borders Partnership NHS Foundation Trust","RXX","Other","White & Other","South","Grouped region","Mental Health Trust","82","%","154","188"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Surrey and Borders Partnership NHS Foundation Trust","RXX","White","White & Other","South","Grouped region","Mental Health Trust","91","%","669","739"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Surrey and Borders Partnership NHS Foundation Trust","RXX","All","White & Other","South","Grouped region","Mental Health Trust","89","%","823","927"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Kent and Medway NHS and Social Care Partnership Trust","RXY","Other","White & Other","South","Grouped region","Mental Health","79","%","154","195"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Kent and Medway NHS and Social Care Partnership Trust","RXY","White","White & Other","South","Grouped region","Mental Health","84","%","826","985"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Kent and Medway NHS and Social Care Partnership Trust","RXY","All","White & Other","South","Grouped region","Mental Health","83","%","980","1180"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Kent And Medway NHS And Social Care Partnership Trust","RXY","Other","White & Other","South","Grouped region","Mental Health Trust","77","%","138","180"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Kent And Medway NHS And Social Care Partnership Trust","RXY","White","White & Other","South","Grouped region","Mental Health Trust","86","%","878","1025"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Kent And Medway NHS And Social Care Partnership Trust","RXY","All","White & Other","South","Grouped region","Mental Health Trust","84","%","1016","1205"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Liverpool Community Health NHS Trust","RY1","Other","White & Other","North","Grouped region","Community Provider Trust","80","%","16","20"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Liverpool Community Health NHS Trust","RY1","White","White & Other","North","Grouped region","Community Provider Trust","86","%","398","465"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Liverpool Community Health NHS Trust","RY1","All","White & Other","North","Grouped region","Community Provider Trust","85","%","414","485"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Bridgewater Community Healthcare NHS Foundation Trust","RY2","Other","White & Other","North","Grouped region","Community Provider Trust","86","%","12","14"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Bridgewater Community Healthcare NHS Foundation Trust","RY2","White","White & Other","North","Grouped region","Community Provider Trust","90","%","662","736"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Bridgewater Community Healthcare NHS Foundation Trust","RY2","All","White & Other","North","Grouped region","Community Provider Trust","90","%","674","750"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Bridgewater Community Healthcare NHS Foundation Trust","RY2","Other","White & Other","North","Grouped region","Community Provider Trust","93","%","14","15"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Bridgewater Community Healthcare NHS Foundation Trust","RY2","White","White & Other","North","Grouped region","Community Provider Trust","88","%","647","737"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Bridgewater Community Healthcare NHS Foundation Trust","RY2","All","White & Other","North","Grouped region","Community Provider Trust","88","%","661","752"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Norfolk Community Health and Care NHS Trust","RY3","Other","White & Other","Midlands","Grouped region","Community Provider Trust","87","%","20","23"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Norfolk Community Health and Care NHS Trust","RY3","White","White & Other","Midlands","Grouped region","Community Provider Trust","94","%","737","780"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Norfolk Community Health and Care NHS Trust","RY3","All","White & Other","Midlands","Grouped region","Community Provider Trust","94","%","757","803"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Norfolk Community Health And Care NHS Trust","RY3","Other","White & Other","Midlands","Grouped region","Community Provider Trust","85","%","17","20"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Norfolk Community Health And Care NHS Trust","RY3","White","White & Other","Midlands","Grouped region","Community Provider Trust","91","%","670","738"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Norfolk Community Health And Care NHS Trust","RY3","All","White & Other","Midlands","Grouped region","Community Provider Trust","91","%","687","758"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Hertfordshire Community NHS Trust","RY4","Other","White & Other","Midlands","Grouped region","Community Provider Trust","75","%","93","124"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Hertfordshire Community NHS Trust","RY4","White","White & Other","Midlands","Grouped region","Community Provider Trust","92","%","747","812"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Hertfordshire Community NHS Trust","RY4","All","White & Other","Midlands","Grouped region","Community Provider Trust","90","%","840","936"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Hertfordshire Community NHS Trust","RY4","Other","White & Other","Midlands","Grouped region","Community Provider Trust","78","%","69","88"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Hertfordshire Community NHS Trust","RY4","White","White & Other","Midlands","Grouped region","Community Provider Trust","92","%","836","913"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Hertfordshire Community NHS Trust","RY4","All","White & Other","Midlands","Grouped region","Community Provider Trust","90","%","905","1001"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Lincolnshire Community Health Services NHS Trust","RY5","Other","White & Other","Midlands","Grouped region","Community Provider Trust","90","%","19","21"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Lincolnshire Community Health Services NHS Trust","RY5","White","White & Other","Midlands","Grouped region","Community Provider Trust","91","%","598","659"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Lincolnshire Community Health Services NHS Trust","RY5","All","White & Other","Midlands","Grouped region","Community Provider Trust","91","%","617","680"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Lincolnshire Community Health Services NHS Trust","RY5","Other","White & Other","Midlands","Grouped region","Community Provider Trust","67","%","14","21"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Lincolnshire Community Health Services NHS Trust","RY5","White","White & Other","Midlands","Grouped region","Community Provider Trust","90","%","601","671"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Lincolnshire Community Health Services NHS Trust","RY5","All","White & Other","Midlands","Grouped region","Community Provider Trust","89","%","615","692"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Leeds Community Healthcare NHS Trust","RY6","Other","White & Other","North","Grouped region","Community Provider Trust","65","%","55","84"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Leeds Community Healthcare NHS Trust","RY6","White","White & Other","North","Grouped region","Community Provider Trust","92","%","855","928"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Leeds Community Healthcare NHS Trust","RY6","All","White & Other","North","Grouped region","Community Provider Trust","90","%","910","1012"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Leeds Community Healthcare NHS Trust","RY6","Other","White & Other","North","Grouped region","Community Provider Trust","73","%","52","71"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Leeds Community Healthcare NHS Trust","RY6","White","White & Other","North","Grouped region","Community Provider Trust","91","%","891","976"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Leeds Community Healthcare NHS Trust","RY6","All","White & Other","North","Grouped region","Community Provider Trust","90","%","943","1047"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Wirral Community NHS Foundation Trust","RY7","White","White & Other","North","Grouped region","Community Provider Trust","87","%","413","473"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Wirral Community NHS Foundation Trust","RY7","All","White & Other","North","Grouped region","Community Provider Trust","87","%","413","473"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Derbyshire Community Health Services NHS Foundation Trust","RY8","Other","White & Other","Midlands","Grouped region","Community Provider Trust","80","%","56","70"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Derbyshire Community Health Services NHS Foundation Trust","RY8","White","White & Other","Midlands","Grouped region","Community Provider Trust","89","%","1453","1629"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Derbyshire Community Health Services NHS Foundation Trust","RY8","All","White & Other","Midlands","Grouped region","Community Provider Trust","89","%","1509","1699"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Derbyshire Community Health Services NHS Foundation Trust","RY8","Other","White & Other","Midlands","Grouped region","Community Provider Trust","73","%","43","59"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Derbyshire Community Health Services NHS Foundation Trust","RY8","White","White & Other","Midlands","Grouped region","Community Provider Trust","90","%","1475","1644"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Derbyshire Community Health Services NHS Foundation Trust","RY8","All","White & Other","Midlands","Grouped region","Community Provider Trust","89","%","1518","1703"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Hounslow and Richmond Community Healthcare NHS Trust","RY9","Other","White & Other","London","Grouped region","Community Provider Trust","76","%","113","148"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Hounslow and Richmond Community Healthcare NHS Trust","RY9","White","White & Other","London","Grouped region","Community Provider Trust","92","%","261","284"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Hounslow and Richmond Community Healthcare NHS Trust","RY9","All","White & Other","London","Grouped region","Community Provider Trust","87","%","374","432"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Hounslow And Richmond Community Healthcare NHS Trust","RY9","Other","White & Other","London","Grouped region","Community Provider Trust","71","%","97","137"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Hounslow And Richmond Community Healthcare NHS Trust","RY9","White","White & Other","London","Grouped region","Community Provider Trust","90","%","258","286"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Hounslow And Richmond Community Healthcare NHS Trust","RY9","All","White & Other","London","Grouped region","Community Provider Trust","84","%","355","423"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","West Midlands Ambulance Service NHS Foundation Trust","RYA","Other","White & Other","Midlands","Grouped region","Ambulance","58","%","67","116"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","West Midlands Ambulance Service NHS Foundation Trust","RYA","White","White & Other","Midlands","Grouped region","Ambulance","74","%","1302","1766"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","West Midlands Ambulance Service NHS Foundation Trust","RYA","All","White & Other","Midlands","Grouped region","Ambulance","73","%","1369","1882"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","West Midlands Ambulance Service NHS Foundation Trust","RYA","Other","White & Other","Midlands","Grouped region","Ambulance Trust","47","%","37","78"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","West Midlands Ambulance Service NHS Foundation Trust","RYA","White","White & Other","Midlands","Grouped region","Ambulance Trust","70","%","999","1428"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","West Midlands Ambulance Service NHS Foundation Trust","RYA","All","White & Other","Midlands","Grouped region","Ambulance Trust","69","%","1036","1506"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","East of England Ambulance Service NHS Trust","RYC","Other","White & Other","Midlands","Grouped region","Ambulance","66","%","21","32"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","East of England Ambulance Service NHS Trust","RYC","White","White & Other","Midlands","Grouped region","Ambulance","59","%","616","1037"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","East of England Ambulance Service NHS Trust","RYC","All","White & Other","Midlands","Grouped region","Ambulance","60","%","637","1069"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","East Of England Ambulance Service NHS Trust","RYC","Other","White & Other","Midlands","Grouped region","Ambulance Trust","48","%","12","25"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","East Of England Ambulance Service NHS Trust","RYC","White","White & Other","Midlands","Grouped region","Ambulance Trust","64","%","589","922"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","East Of England Ambulance Service NHS Trust","RYC","All","White & Other","Midlands","Grouped region","Ambulance Trust","63","%","601","947"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","South East Coast Ambulance Service NHS Foundation Trust","RYD","Other","White & Other","South","Grouped region","Ambulance","47","%","23","49"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","South East Coast Ambulance Service NHS Foundation Trust","RYD","White","White & Other","South","Grouped region","Ambulance","66","%","754","1147"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","South East Coast Ambulance Service NHS Foundation Trust","RYD","All","White & Other","South","Grouped region","Ambulance","65","%","777","1196"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","South East Coast Ambulance Service NHS Foundation Trust","RYD","Other","White & Other","South","Grouped region","Ambulance Trust","61","%","19","31"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","South East Coast Ambulance Service NHS Foundation Trust","RYD","White","White & Other","South","Grouped region","Ambulance Trust","60","%","535","889"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","South East Coast Ambulance Service NHS Foundation Trust","RYD","All","White & Other","South","Grouped region","Ambulance Trust","60","%","554","920"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","South Central Ambulance Service NHS Foundation Trust","RYE","Other","White & Other","South","Grouped region","Ambulance","78","%","38","49"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","South Central Ambulance Service NHS Foundation Trust","RYE","White","White & Other","South","Grouped region","Ambulance","79","%","1129","1427"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","South Central Ambulance Service NHS Foundation Trust","RYE","All","White & Other","South","Grouped region","Ambulance","79","%","1167","1476"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","South Central Ambulance Service NHS Foundation Trust","RYE","Other","White & Other","South","Grouped region","Ambulance Trust","74","%","39","53"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","South Central Ambulance Service NHS Foundation Trust","RYE","White","White & Other","South","Grouped region","Ambulance Trust","76","%","1046","1379"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","South Central Ambulance Service NHS Foundation Trust","RYE","All","White & Other","South","Grouped region","Ambulance Trust","76","%","1085","1432"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","South Western Ambulance Service NHS Foundation Trust","RYF","Other","White & Other","South","Grouped region","Ambulance","24","%","4","17"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","South Western Ambulance Service NHS Foundation Trust","RYF","White","White & Other","South","Grouped region","Ambulance","69","%","743","1081"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","South Western Ambulance Service NHS Foundation Trust","RYF","All","White & Other","South","Grouped region","Ambulance","68","%","747","1098"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","South Western Ambulance Service NHS Foundation Trust","RYF","Other","White & Other","South","Grouped region","Ambulance Trust","41","%","12","29"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","South Western Ambulance Service NHS Foundation Trust","RYF","White","White & Other","South","Grouped region","Ambulance Trust","74","%","794","1069"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","South Western Ambulance Service NHS Foundation Trust","RYF","All","White & Other","South","Grouped region","Ambulance Trust","73","%","806","1098"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Coventry and Warwickshire Partnership NHS Trust","RYG","Other","White & Other","Midlands","Grouped region","Mental Health","66","%","111","169"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Coventry and Warwickshire Partnership NHS Trust","RYG","White","White & Other","Midlands","Grouped region","Mental Health","86","%","715","829"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Coventry and Warwickshire Partnership NHS Trust","RYG","All","White & Other","Midlands","Grouped region","Mental Health","83","%","826","998"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Coventry And Warwickshire Partnership NHS Trust","RYG","Other","White & Other","Midlands","Grouped region","Mental Health Trust","64","%","130","203"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Coventry And Warwickshire Partnership NHS Trust","RYG","White","White & Other","Midlands","Grouped region","Mental Health Trust","85","%","843","992"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Coventry And Warwickshire Partnership NHS Trust","RYG","All","White & Other","Midlands","Grouped region","Mental Health Trust","81","%","973","1195"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Imperial College Healthcare NHS Trust","RYJ","Other","White & Other","London","Grouped region","Acute","65","%","101","155"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Imperial College Healthcare NHS Trust","RYJ","White","White & Other","London","Grouped region","Acute","83","%","153","185"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Imperial College Healthcare NHS Trust","RYJ","All","White & Other","London","Grouped region","Acute","75","%","254","340"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Imperial College Healthcare NHS Trust","RYJ","Other","White & Other","London","Grouped region","Acute Trust","83","%","91","110"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Imperial College Healthcare NHS Trust","RYJ","White","White & Other","London","Grouped region","Acute Trust","88","%","173","196"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Imperial College Healthcare NHS Trust","RYJ","All","White & Other","London","Grouped region","Acute Trust","86","%","264","306"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Dudley and Walsall Mental Health Partnership NHS Trust","RYK","Other","White & Other","Midlands","Grouped region","Mental Health","75","%","58","77"
