"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Main_Mode","Value","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Notes"
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","All ethnic groups","ONS 2011 5+1","Motorcycle ","3","5043","4374","81557","80608","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","All ethnic groups","ONS 2011 5+1","Non-local bus","1","970","911","81557","80608","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other local bus","41","64637","59163","81557","80608","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other private transport","7","10324","10106","81557","80608","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other public transport","3","4067","3612","81557","80608","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","All ethnic groups","ONS 2011 5+1","Surface Rail","20","30760","26819","81557","80608","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","All ethnic groups","ONS 2011 5+1","Taxi / minicab","10","15672","14167","81557","80608","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","All ethnic groups","ONS 2011 5+1","Walk","227","355767","313463","81557","80608","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All modes","798","87265","74540","5699","5217","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bicycle","6","627","523","5699","5217","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bus in London","50","5491","4735","5699","5217","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van driver","248","27114","23813","5699","5217","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van passenger","169","18526","16731","5699","5217","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Asian / Asian British","ONS 2011 5+1","London Underground","23","2470","1873","5699","5217","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Non-local bus","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other local bus","30","3236","2617","5699","5217","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other private transport","3","357","340","5699","5217","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other public transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Surface Rail","26","2801","2289","5699","5217","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Taxi / minicab","7","757","631","5699","5217","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Walk","232","25333","20562","5699","5217","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All modes","799","39093","35716","2550","2517","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bicycle","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bus in London","138","6740","6452","2550","2517","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van driver","183","8939","8161","2550","2517","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van passenger","129","6307","5976","2550","2517","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","London Underground","24","1179","1069","2550","2517","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Non-local bus","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other local bus","47","2282","1979","2550","2517","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other private transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other public transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Surface Rail","34","1684","1488","2550","2517","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Taxi / minicab","10","482","404","2550","2517","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Walk","218","10658","9407","2550","2517","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All modes","871","21400","19103","1282","1215","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bicycle","17","425","376","1282","1215","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bus in London","49","1216","1066","1282","1215","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van driver","177","4344","3888","1282","1215","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van passenger","241","5927","5594","1282","1215","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","London Underground","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Non-local bus","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other local bus","51","1256","1104","1282","1215","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other private transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other public transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Surface Rail","27","665","546","1282","1215","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Taxi / minicab","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Walk","268","6596","5770","1282","1215","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Other ethnic group","ONS 2011 5+1","All modes","754","16263","14023","1125","1028","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bicycle","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bus in London","88","1894","1679","1125","1028","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van driver","201","4343","3827","1125","1028","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van passenger","126","2710","2554","1125","1028","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Other ethnic group","ONS 2011 5+1","London Underground","26","558","440","1125","1028","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Other ethnic group","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Other ethnic group","ONS 2011 5+1","Non-local bus","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other local bus","34","738","594","1125","1028","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other private transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other public transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Other ethnic group","ONS 2011 5+1","Surface Rail","25","533","429","1125","1028","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Other ethnic group","ONS 2011 5+1","Taxi / minicab","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","Other ethnic group","ONS 2011 5+1","Walk","219","4714","3882","1125","1028","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","White","ONS 2011 5+1","All modes","975","1324708","1233345","70849","70583","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","White","ONS 2011 5+1","Bicycle","18","24166","21252","70849","70583","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","White","ONS 2011 5+1","Bus in London","12","15676","13521","70849","70583","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","White","ONS 2011 5+1","Car / van driver","412","559998","531490","70849","70583","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","White","ONS 2011 5+1","Car / van passenger","215","292140","280811","70849","70583","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","White","ONS 2011 5+1","London Underground","7","9956","7725","70849","70583","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","White","ONS 2011 5+1","Motorcycle ","4","4813","4188","70849","70583","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","White","ONS 2011 5+1","Non-local bus","1","843","808","70849","70583","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","White","ONS 2011 5+1","Other local bus","42","57106","52849","70849","70583","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","White","ONS 2011 5+1","Other private transport","7","9556","9390","70849","70583","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","White","ONS 2011 5+1","Other public transport","2","3255","2905","70849","70583","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","White","ONS 2011 5+1","Surface Rail","18","25031","22024","70849","70583","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","White","ONS 2011 5+1","Taxi / minicab","10","13968","12758","70849","70583","               "
"Average trips per year by main mode of transport","2011-2015","5-year rolling average","White","ONS 2011 5+1","Walk","227","308200","273624","70849","70583","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","All ethnic groups","ONS 2011 5+1","All modes","949","1487500","1380611","81732","80718","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bicycle","16","25474","22565","81732","80718","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bus in London","19","29787","26859","81732","80718","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van driver","386","605309","571705","81732","80718","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van passenger","207","324135","310804","81732","80718","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","All ethnic groups","ONS 2011 5+1","London Underground","10","14948","11730","81732","80718","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","All ethnic groups","ONS 2011 5+1","Motorcycle ","3","4905","4245","81732","80718","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","All ethnic groups","ONS 2011 5+1","Non-local bus","1","989","923","81732","80718","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other local bus","40","62741","57126","81732","80718","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other private transport","7","10318","10028","81732","80718","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other public transport","3","4136","3645","81732","80718","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","All ethnic groups","ONS 2011 5+1","Surface Rail","20","31913","27854","81732","80718","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","All ethnic groups","ONS 2011 5+1","Taxi / minicab","10","15986","14410","81732","80718","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","All ethnic groups","ONS 2011 5+1","Walk","228","356860","318717","81732","80718","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All modes","801","91868","79768","5979","5514","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bicycle","7","746","661","5979","5514","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bus in London","46","5325","4817","5979","5514","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van driver","257","29463","26026","5979","5514","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van passenger","175","20092","18253","5979","5514","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011 5+1","London Underground","21","2463","1889","5979","5514","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Non-local bus","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other local bus","25","2911","2380","5979","5514","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other private transport","4","423","401","5979","5514","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other public transport","3","384","315","5979","5514","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Surface Rail","25","2822","2340","5979","5514","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Taxi / minicab","8","908","788","5979","5514","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Walk","228","26113","21735","5979","5514","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All modes","792","38306","35102","2523","2490","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bicycle","8","365","320","2523","2490","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bus in London","125","6071","5836","2523","2490","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van driver","188","9076","8306","2523","2490","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van passenger","122","5891","5607","2523","2490","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","London Underground","24","1177","1064","2523","2490","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Non-local bus","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other local bus","47","2269","2019","2523","2490","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other private transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other public transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Surface Rail","38","1823","1640","2523","2490","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Taxi / minicab","10","460","382","2523","2490","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Walk","220","10664","9432","2523","2490","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All modes","869","21164","18899","1269","1216","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bicycle","16","378","334","1269","1216","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bus in London","47","1149","1039","1269","1216","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van driver","183","4466","3900","1269","1216","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van passenger","244","5949","5538","1269","1216","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","London Underground","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Non-local bus","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other local bus","49","1194","1069","1269","1216","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other private transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other public transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Surface Rail","26","626","521","1269","1216","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Taxi / minicab","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Walk","269","6559","5761","1269","1216","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Other ethnic group","ONS 2011 5+1","All modes","783","16804","14326","1119","1009","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bicycle","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bus in London","87","1865","1635","1119","1009","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van driver","215","4618","4073","1119","1009","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van passenger","137","2936","2684","1119","1009","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Other ethnic group","ONS 2011 5+1","London Underground","21","442","342","1119","1009","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Other ethnic group","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Other ethnic group","ONS 2011 5+1","Non-local bus","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other local bus","31","660","544","1119","1009","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other private transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other public transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Other ethnic group","ONS 2011 5+1","Surface Rail","27","571","431","1119","1009","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Other ethnic group","ONS 2011 5+1","Taxi / minicab","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","Other ethnic group","ONS 2011 5+1","Walk","233","4990","4043","1119","1009","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","White","ONS 2011 5+1","All modes","971","1318674","1231869","70798","70450","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","White","ONS 2011 5+1","Bicycle","17","23615","20952","70798","70450","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","White","ONS 2011 5+1","Bus in London","11","15293","13471","70798","70450","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","White","ONS 2011 5+1","Car / van driver","411","557498","529206","70798","70450","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","White","ONS 2011 5+1","Car / van passenger","213","289168","278603","70798","70450","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","White","ONS 2011 5+1","London Underground","8","10499","8131","70798","70450","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","White","ONS 2011 5+1","Motorcycle ","3","4660","4041","70798","70450","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","White","ONS 2011 5+1","Non-local bus","1","838","809","70798","70450","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","White","ONS 2011 5+1","Other local bus","41","55679","51085","70798","70450","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","White","ONS 2011 5+1","Other private transport","7","9488","9250","70798","70450","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","White","ONS 2011 5+1","Other public transport","2","3371","2970","70798","70450","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","White","ONS 2011 5+1","Surface Rail","19","26040","22892","70798","70450","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","White","ONS 2011 5+1","Taxi / minicab","10","14171","12870","70798","70450","               "
"Average trips per year by main mode of transport","2012-2016","5-year rolling average","White","ONS 2011 5+1","Walk","227","308353","277589","70798","70450","               "
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","All ethnic groups","ONS 2011 5+1","All modes","949","1449364","1346175","79639","78589","               "
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bicycle","16","24679","21752","79639","78589","               "
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bus in London","19","28728","26066","79639","78589","               "
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van driver","385","587657","552025","79639","78589","               "
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van passenger","205","313134","298691","79639","78589","               "
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","All ethnic groups","ONS 2011 5+1","London Underground","10","14868","11889","79639","78589","               "
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","All ethnic groups","ONS 2011 5+1","Motorcycle ","3","4679","4001","79639","78589","               "
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","All ethnic groups","ONS 2011 5+1","Non-local bus","1","978","923","79639","78589","               "
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other local bus","39","59959","54119","79639","78589","               "
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other private transport","6","9785","9468","79639","78589","               "
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other public transport","3","4441","3901","79639","78589","               "
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","All ethnic groups","ONS 2011 5+1","Surface Rail","21","31524","27656","79639","78589","               "
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","All ethnic groups","ONS 2011 5+1","Taxi / minicab","10","15286","13751","79639","78589","               "
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","All ethnic groups","ONS 2011 5+1","Walk","232","353645","321933","79639","78589","               "
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All modes","801","92655","81544","6031","5625","               "
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bicycle","6","748","659","6031","5625","               "
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bus in London","47","5417","4809","6031","5625","               "
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van driver","252","29168","25947","6031","5625","               "
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van passenger","174","20095","18407","6031","5625","               "
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011 5+1","London Underground","20","2290","1820","6031","5625","               "
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Non-local bus","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other local bus","23","2685","2215","6031","5625","               "
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other private transport","3","372","356","6031","5625","               "
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other public transport","4","471","387","6031","5625","               "
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Surface Rail","25","2925","2467","6031","5625","               "
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Taxi / minicab","8","924","822","6031","5625","               "
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Walk","237","27360","23497","6031","5625","               "
"Average trips per year by main mode of transport","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All modes","778","37264","34224","2498","2455","               "
