"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography code","Geography_type","Gender","Age Bracket","Socio-economic classification","Value","Unweighted base"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","ONS 5+1","England and Wales","K04000001","ONS geography code","All","25-34","All","25.4"," 172 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","ONS 5+1","England and Wales","K04000001","ONS geography code","All","35-44","All","30.6"," 189 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","ONS 5+1","England and Wales","K04000001","ONS geography code","All","45-54","All","30.1"," 109 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","ONS 5+1","England and Wales","K04000001","ONS geography code","All","55-64","All","23.8"," 63 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","ONS 5+1","England and Wales","K04000001","ONS geography code","All","65-74","All","-"," 41 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","ONS 5+1","England and Wales","K04000001","ONS geography code","All","75+","All","-"," 28 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Managerial and professional occupations","16.8"," 31,910 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Intermediate occupations","18.5"," 21,907 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Routine and manual occupations","18.6"," 32,943 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Never worked and long-term unemployed","20.2"," 2,758 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Full time students","15.0"," 2,442 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Not classified","16.9"," 487 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Managerial and professional occupations","20.6"," 332 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Intermediate occupations","24.1"," 195 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Routine and manual occupations","22.9"," 304 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Never worked and long-term unemployed","29.8"," 55 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Full time students","24.6"," 101 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Not classified","-"," 4 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Managerial and professional occupations","28.0"," 1,618 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Intermediate occupations","34.0"," 1,035 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Routine and manual occupations","30.5"," 1,389 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Never worked and long-term unemployed","26.0"," 556 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Full time students","23.1"," 418 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Not classified","-"," 40 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Managerial and professional occupations","25.7"," 778 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Intermediate occupations","26.6"," 447 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Routine and manual occupations","28.1"," 954 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Never worked and long-term unemployed","18.8"," 226 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Full time students","21.5"," 221 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Not classified","-"," 21 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Managerial and professional occupations","27.9"," 195 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Intermediate occupations","25.2"," 124 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Routine and manual occupations","23.3"," 167 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Never worked and long-term unemployed","34.1"," 97 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Full time students","22.3"," 102 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","Not classified","-"," 2 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","England and Wales","K04000001","ONS geography code","Male ","16+","All","17.7"," 42,015 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","England and Wales","K04000001","ONS geography code","Female","16+","All","17.9"," 50,432 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","England and Wales","K04000001","ONS geography code","Male ","16+","All","23.5","411"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","England and Wales","K04000001","ONS geography code","Female","16+","All","22.9","580"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","England and Wales","K04000001","ONS geography code","Male ","16+","All","28.3"," 2,528 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","England and Wales","K04000001","ONS geography code","Female","16+","All","29.7"," 2,528 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","England and Wales","K04000001","ONS geography code","Male ","16+","All","23.2"," 1,118 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","England and Wales","K04000001","ONS geography code","Female","16+","All","27.5"," 1,529 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","ONS 5+1","England and Wales","K04000001","ONS geography code","Male ","16+","All","25.5","360"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","ONS 5+1","England and Wales","K04000001","ONS geography code","Female","16+","All","26.8","327"
