"Measure","Year","NHS_trust","NHS_trust_code","Ethnicity","Ethnicity_type","Geography","Geography_type","NHS_trust_type","Value","Value_type","Numerator","Denominator",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Salisbury NHS Foundation Trust","RNZ","White","White & Other","South","Grouped region","Acute trust","6","%","82","1294",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Salisbury NHS Foundation Trust","RNZ","Other","White & Other","South","Grouped region","Acute trust","13","%","17","129",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Northamptonshire Healthcare NHS Foundation Trust","RP1","White","White & Other","Midlands","Grouped region","Mental health trust","6","%","88","1366",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Northamptonshire Healthcare NHS Foundation Trust","RP1","Other","White & Other","Midlands","Grouped region","Mental health trust","14","%","22","158",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Great Ormond Street Hospital for Children NHS Foundation Trust","RP4","White","White & Other","London","Grouped region","Acute trust","9","%","31","358",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Great Ormond Street Hospital for Children NHS Foundation Trust","RP4","Other","White & Other","London","Grouped region","Acute trust","19","%","27","145",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Doncaster and Bassetlaw Hospitals NHS Foundation Trust","RP5","White","White & Other","North","Grouped region","Acute trust","6","%","158","2744",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Doncaster and Bassetlaw Hospitals NHS Foundation Trust","RP5","Other","White & Other","North","Grouped region","Acute trust","19","%","40","209",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Moorfields Eye Hospital NHS Foundation Trust","RP6","Other","White & Other","London","Grouped region","Acute trust","14","%","77","537",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Moorfields Eye Hospital NHS Foundation Trust","RP6","White","White & Other","London","Grouped region","Acute trust","5","%","28","518",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Lincolnshire Partnership NHS Foundation Trust","RP7","White","White & Other","Midlands","Grouped region","Mental health trust","6","%","56","986",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Lincolnshire Partnership NHS Foundation Trust","RP7","Other","White & Other","Midlands","Grouped region","Mental health trust","11","%","5","45",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Medway NHS Foundation Trust","RPA","White","White & Other","South","Grouped region","Acute trust","8","%","116","1402",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Medway NHS Foundation Trust","RPA","Other","White & Other","South","Grouped region","Acute trust","16","%","49","303",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Queen Victoria Hospital NHS Foundation Trust","RPC","White","White & Other","South","Grouped region","Acute trust","5","%","22","428",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Queen Victoria Hospital NHS Foundation Trust","RPC","Other","White & Other","South","Grouped region","Acute trust","16","%","9","56",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Oxleas NHS Foundation Trust","RPG","White","White & Other","London","Grouped region","Mental health trust","5","%","47","884",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Oxleas NHS Foundation Trust","RPG","Other","White & Other","London","Grouped region","Mental health trust","14","%","55","403",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","The Royal Marsden NHS Foundation Trust","RPY","White","White & Other","London","Grouped region","Acute trust","4","%","66","1477",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","The Royal Marsden NHS Foundation Trust","RPY","Other","White & Other","London","Grouped region","Acute trust","9","%","48","514",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Birmingham Women's and Children's NHS Foundation Trust","RQ3","White","White & Other","Midlands","Grouped region","Acute trust","6","%","85","1493",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Birmingham Women's and Children's NHS Foundation Trust","RQ3","Other","White & Other","Midlands","Grouped region","Acute trust","13","%","47","369",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","The Royal Liverpool and Broadgreen University Hospitals NHS Trust","RQ6","White","White & Other","North","Grouped region","Acute trust","7","%","180","2628",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","The Royal Liverpool and Broadgreen University Hospitals NHS Trust","RQ6","Other","White & Other","North","Grouped region","Acute trust","16","%","46","283",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Mid Essex Hospital Services NHS Trust","RQ8","White","White & Other","Midlands","Grouped region","Acute trust","7","%","88","1229",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Mid Essex Hospital Services NHS Trust","RQ8","Other","White & Other","Midlands","Grouped region","Acute trust","12","%","23","187",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Chelsea and Westminster Hospital NHS Foundation Trust","RQM","White","White & Other","London","Grouped region","Acute trust","7","%","69","987",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Chelsea and Westminster Hospital NHS Foundation Trust","RQM","Other","White & Other","London","Grouped region","Acute trust","13","%","88","664",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","The Princess Alexandra Hospital NHS Trust","RQW","White","White & Other","Midlands","Grouped region","Acute trust","7","%","61","867",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","The Princess Alexandra Hospital NHS Trust","RQW","Other","White & Other","Midlands","Grouped region","Acute trust","16","%","31","190",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Homerton University Hospital NHS Foundation Trust","RQX","White","White & Other","London","Grouped region","Acute trust","7","%","68","917",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Homerton University Hospital NHS Foundation Trust","RQX","Other","White & Other","London","Grouped region","Acute trust","17","%","137","799",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","South West London And St George's Mental Health NHS Trust","RQY","White","White & Other","London","Grouped region","Mental health trust","6","%","33","554",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","South West London And St George's Mental Health NHS Trust","RQY","Other","White & Other","London","Grouped region","Mental health trust","16","%","57","357",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Heart of England NHS Foundation Trust","RR1","White","White & Other","Midlands","Grouped region","Acute trust","6","%","177","2772",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Heart of England NHS Foundation Trust","RR1","Other","White & Other","Midlands","Grouped region","Acute trust","15","%","143","983",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Gateshead Health NHS Foundation Trust","RR7","White","White & Other","North","Grouped region","Acute trust","5","%","66","1449",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Gateshead Health NHS Foundation Trust","RR7","Other","White & Other","North","Grouped region","Acute trust","21","%","16","78",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Leeds Teaching Hospitals NHS Trust","RR8","White","White & Other","North","Grouped region","Acute trust","5","%","219","4366",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Leeds Teaching Hospitals NHS Trust","RR8","Other","White & Other","North","Grouped region","Acute trust","16","%","95","600",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","South Staffordshire and Shropshire Healthcare NHS Foundation Trust","RRE","White","White & Other","Midlands","Grouped region","Mental health trust","7","%","125","1919",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","South Staffordshire and Shropshire Healthcare NHS Foundation Trust","RRE","Other","White & Other","Midlands","Grouped region","Mental health trust","12","%","20","173",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Wrightington, Wigan and Leigh NHS Foundation Trust","RRF","White","White & Other","North","Grouped region","Acute trust","5","%","21","388",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Wrightington, Wigan and Leigh NHS Foundation Trust","RRF","Other","White & Other","North","Grouped region","Acute trust","19","%","6","31",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","The Royal Orthopaedic Hospital NHS Foundation Trust","RRJ","White","White & Other","Midlands","Grouped region","Acute trust","6","%","19","303",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","The Royal Orthopaedic Hospital NHS Foundation Trust","RRJ","Other","White & Other","Midlands","Grouped region","Acute trust","13","%","8","64",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","University Hospitals Birmingham NHS Foundation Trust","RRK","White","White & Other","Midlands","Grouped region","Acute trust","7","%","184","2726",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","University Hospitals Birmingham NHS Foundation Trust","RRK","Other","White & Other","Midlands","Grouped region","Acute trust","13","%","115","857",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Barnet, Enfield and Haringey Mental Health NHS Trust","RRP","White","White & Other","London","Grouped region","Mental health trust","8","%","57","673",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Barnet, Enfield and Haringey Mental Health NHS Trust","RRP","Other","White & Other","London","Grouped region","Mental health trust","13","%","78","587",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","London Ambulance Service NHS Trust","RRU","White","White & Other","London","Grouped region","Ambulance trust","11","%","244","2238",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","London Ambulance Service NHS Trust","RRU","Other","White & Other","London","Grouped region","Ambulance trust","19","%","58","303",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","University College London Hospitals NHS Foundation Trust","RRV","White","White & Other","London","Grouped region","Acute trust","9","%","160","1819",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","University College London Hospitals NHS Foundation Trust","RRV","Other","White & Other","London","Grouped region","Acute trust","18","%","219","1197",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Cambridgeshire and Peterborough NHS Foundation Trust","RT1","White","White & Other","Midlands","Grouped region","Mental health trust","6","%","106","1652",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Cambridgeshire and Peterborough NHS Foundation Trust","RT1","Other","White & Other","Midlands","Grouped region","Mental health trust","15","%","29","198",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Pennine Care NHS Foundation Trust","RT2","White","White & Other","North","Grouped region","Mental health trust","4","%","63","1448",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Pennine Care NHS Foundation Trust","RT2","Other","White & Other","North","Grouped region","Mental health trust","16","%","21","128",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Royal Brompton & Harefield NHS Foundation Trust","RT3","White","White & Other","London","Grouped region","Acute trust","8","%","92","1217",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Royal Brompton & Harefield NHS Foundation Trust","RT3","Other","White & Other","London","Grouped region","Acute trust","15","%","80","541",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Leicestershire Partnership NHS Trust","RT5","White","White & Other","Midlands","Grouped region","Mental health trust","6","%","102","1777",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Leicestershire Partnership NHS Trust","RT5","Other","White & Other","Midlands","Grouped region","Mental health trust","10","%","39","378",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","The Newcastle Upon Tyne Hospitals NHS Foundation Trust","RTD","White","White & Other","North","Grouped region","Acute trust","6","%","224","4036",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","The Newcastle Upon Tyne Hospitals NHS Foundation Trust","RTD","Other","White & Other","North","Grouped region","Acute trust","11","%","29","271",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Gloucestershire Hospitals NHS Foundation Trust","RTE","White","White & Other","South","Grouped region","Acute trust","7","%","227","3099",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Gloucestershire Hospitals NHS Foundation Trust","RTE","Other","White & Other","South","Grouped region","Acute trust","16","%","60","387",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Northumbria Healthcare NHS Foundation Trust","RTF","White","White & Other","North","Grouped region","Acute trust","5","%","39","822",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Northumbria Healthcare NHS Foundation Trust","RTF","Other","White & Other","North","Grouped region","Acute trust","21","%","9","43",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Derby Teaching Hospitals NHS Foundation Trust","RTG","White","White & Other","Midlands","Grouped region","Acute trust","6","%","159","2789",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Derby Teaching Hospitals NHS Foundation Trust","RTG","Other","White & Other","Midlands","Grouped region","Acute trust","14","%","55","405",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Oxford University Hospitals NHS Foundation Trust","RTH","White","White & Other","South","Grouped region","Acute trust","7","%","261","3569",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Oxford University Hospitals NHS Foundation Trust","RTH","Other","White & Other","South","Grouped region","Acute trust","17","%","116","680",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Ashford and St Peter's Hospitals NHS Foundation Trust","RTK","White","White & Other","South","Grouped region","Acute trust","5","%","59","1113",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Ashford and St Peter's Hospitals NHS Foundation Trust","RTK","Other","White & Other","South","Grouped region","Acute trust","14","%","56","402",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Surrey And Sussex Healthcare NHS Trust","RTP","White","White & Other","South","Grouped region","Acute trust","6","%","97","1751",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Surrey And Sussex Healthcare NHS Trust","RTP","Other","White & Other","South","Grouped region","Acute trust","9","%","55","597",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","2Gether NHS Foundation Trust","RTQ","White","White & Other","South","Grouped region","Mental health trust","5","%","45","819",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","2Gether NHS Foundation Trust","RTQ","Other","White & Other","South","Grouped region","Mental health trust","7","%","4","57",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","South Tees Hospitals NHS Foundation Trust","RTR","White","White & Other","North","Grouped region","Acute trust","5","%","19","370",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","South Tees Hospitals NHS Foundation Trust","RTR","Other","White & Other","North","Grouped region","Acute trust","14","%","4","28",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","North West Boroughs Healthcare NHS Foundation Trust","RTV","White","White & Other","North","Grouped region","Mental health trust","4","%","58","1392",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","North West Boroughs Healthcare NHS Foundation Trust","RTV","Other","White & Other","North","Grouped region","Mental health trust","11","%","8","72",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","University Hospitals of Morecambe Bay NHS Foundation Trust","RTX","White","White & Other","North","Grouped region","Acute trust","7","%","138","1945",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","University Hospitals of Morecambe Bay NHS Foundation Trust","RTX","Other","White & Other","North","Grouped region","Acute trust","19","%","26","137",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Central and North West London NHS Foundation Trust","RV3","White","White & Other","London","Grouped region","Mental health trust","8","%","136","1807",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Central and North West London NHS Foundation Trust","RV3","Other","White & Other","London","Grouped region","Mental health trust","14","%","140","1022",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","South London and Maudsley NHS Foundation Trust","RV5","White","White & Other","London","Grouped region","Mental health trust","7","%","80","1135",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","South London and Maudsley NHS Foundation Trust","RV5","Other","White & Other","London","Grouped region","Mental health trust","14","%","83","587",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Humber NHS Foundation Trust","RV9","White","White & Other","North","Grouped region","Mental health trust","8","%","33","431",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Humber NHS Foundation Trust","RV9","Other","White & Other","North","Grouped region","Mental health trust","5","%","1","21",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","North Bristol NHS Trust","RVJ","White","White & Other","South","Grouped region","Acute trust","6","%","195","3102",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","North Bristol NHS Trust","RVJ","Other","White & Other","South","Grouped region","Acute trust","15","%","66","434",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Avon And Wiltshire Mental Health Partnership NHS Trust","RVN","White","White & Other","South","Grouped region","Mental health trust","6","%","110","1751",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Avon And Wiltshire Mental Health Partnership NHS Trust","RVN","Other","White & Other","South","Grouped region","Mental health trust","20","%","35","175",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Epsom And St Helier University Hospitals NHS Trust","RVR","White","White & Other","London","Grouped region","Acute trust","7","%","108","1629",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Epsom And St Helier University Hospitals NHS Trust","RVR","Other","White & Other","London","Grouped region","Acute trust","16","%","108","692",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","East Kent Hospitals University NHS Foundation Trust","RVV","White","White & Other","South","Grouped region","Acute trust","9","%","259","3024",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","East Kent Hospitals University NHS Foundation Trust","RVV","Other","White & Other","South","Grouped region","Acute trust","17","%","76","439",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","North Tees and Hartlepool NHS Foundation Trust","RVW","White","White & Other","North","Grouped region","Acute trust","5","%","27","543",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","North Tees and Hartlepool NHS Foundation Trust","RVW","Other","White & Other","North","Grouped region","Acute trust","14","%","7","50",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Southport and Ormskirk Hospital NHS Trust","RVY","White","White & Other","North","Grouped region","Acute trust","7","%","76","1128",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Southport and Ormskirk Hospital NHS Trust","RVY","Other","White & Other","North","Grouped region","Acute trust","10","%","9","89",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Southern Health NHS Foundation Trust","RW1","White","White & Other","South","Grouped region","Mental health trust","5","%","89","1805",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Southern Health NHS Foundation Trust","RW1","Other","White & Other","South","Grouped region","Mental health trust","8","%","11","131",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Central Manchester University Hospitals NHS Foundation Trust","RW3","White","White & Other","North","Grouped region","Acute trust","8","%","295","3832",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Central Manchester University Hospitals NHS Foundation Trust","RW3","Other","White & Other","North","Grouped region","Acute trust","18","%","133","721",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Mersey Care NHS Foundation Trust","RW4","White","White & Other","North","Grouped region","Mental health trust","6","%","145","2425",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Mersey Care NHS Foundation Trust","RW4","Other","White & Other","North","Grouped region","Mental health trust","13","%","17","131",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Lancashire Care NHS Foundation Trust","RW5","White","White & Other","North","Grouped region","Mental health trust","9","%","39","436",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Lancashire Care NHS Foundation Trust","RW5","Other","White & Other","North","Grouped region","Mental health trust","10","%","4","39",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Pennine Acute Hospitals NHS Trust","RW6","White","White & Other","North","Grouped region","Acute trust","7","%","168","2523",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Pennine Acute Hospitals NHS Trust","RW6","Other","White & Other","North","Grouped region","Acute trust","20","%","63","313",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Hull And East Yorkshire Hospitals NHS Trust","RWA","White","White & Other","North","Grouped region","Acute trust","5","%","164","3082",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Hull And East Yorkshire Hospitals NHS Trust","RWA","Other","White & Other","North","Grouped region","Acute trust","11","%","33","299",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","United Lincolnshire Hospitals NHS Trust","RWD","White","White & Other","Midlands","Grouped region","Acute trust","7","%","179","2668",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","United Lincolnshire Hospitals NHS Trust","RWD","Other","White & Other","Midlands","Grouped region","Acute trust","16","%","49","303",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","University Hospitals Of Leicester NHS Trust","RWE","White","White & Other","Midlands","Grouped region","Acute trust","8","%","258","3396",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","University Hospitals Of Leicester NHS Trust","RWE","Other","White & Other","Midlands","Grouped region","Acute trust","12","%","129","1084",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Maidstone And Tunbridge Wells NHS Trust","RWF","White","White & Other","South","Grouped region","Acute trust","8","%","26","327",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Maidstone And Tunbridge Wells NHS Trust","RWF","Other","White & Other","South","Grouped region","Acute trust","18","%","11","60",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","West Hertfordshire Hospitals NHS Trust","RWG","White","White & Other","Midlands","Grouped region","Acute trust","6","%","74","1243",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","West Hertfordshire Hospitals NHS Trust","RWG","Other","White & Other","Midlands","Grouped region","Acute trust","16","%","88","534",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","East And North Hertfordshire NHS Trust","RWH","White","White & Other","Midlands","Grouped region","Acute trust","6","%","74","1214",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","East And North Hertfordshire NHS Trust","RWH","Other","White & Other","Midlands","Grouped region","Acute trust","12","%","43","350",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Stockport NHS Foundation Trust","RWJ","White","White & Other","North","Grouped region","Acute trust","6","%","102","1828",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Stockport NHS Foundation Trust","RWJ","Other","White & Other","North","Grouped region","Acute trust","15","%","26","168",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","East London NHS Foundation Trust","RWK","White","White & Other","London","Grouped region","Mental health trust","9","%","115","1265",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","East London NHS Foundation Trust","RWK","Other","White & Other","London","Grouped region","Mental health trust","13","%","122","937",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Worcestershire Acute Hospitals NHS Trust","RWP","White","White & Other","Midlands","Grouped region","Acute trust","6","%","100","1673",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Worcestershire Acute Hospitals NHS Trust","RWP","Other","White & Other","Midlands","Grouped region","Acute trust","16","%","30","190",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Hertfordshire Partnership University NHS Foundation Trust","RWR","White","White & Other","Midlands","Grouped region","Mental health trust","6","%","56","936",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Hertfordshire Partnership University NHS Foundation Trust","RWR","Other","White & Other","Midlands","Grouped region","Mental health trust","17","%","55","324",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Devon Partnership NHS Trust","RWV","White","White & Other","South","Grouped region","Mental health trust","6","%","91","1489",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Devon Partnership NHS Trust","RWV","Other","White & Other","South","Grouped region","Mental health trust","14","%","10","69",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Warrington and Halton Hospitals NHS Foundation Trust","RWW","White","White & Other","North","Grouped region","Acute trust","5","%","79","1609",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Warrington and Halton Hospitals NHS Foundation Trust","RWW","Other","White & Other","North","Grouped region","Acute trust","7","%","8","122",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Berkshire Healthcare NHS Foundation Trust","RWX","White","White & Other","South","Grouped region","Mental health trust","7","%","87","1334",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Berkshire Healthcare NHS Foundation Trust","RWX","Other","White & Other","South","Grouped region","Mental health trust","11","%","36","324",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Calderdale and Huddersfield NHS Foundation Trust","RWY","White","White & Other","North","Grouped region","Acute trust","5","%","106","2051",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Calderdale and Huddersfield NHS Foundation Trust","RWY","Other","White & Other","North","Grouped region","Acute trust","20","%","49","241",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Nottingham University Hospitals NHS Trust","RX1","White","White & Other","Midlands","Grouped region","Acute trust","7","%","289","4185",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Nottingham University Hospitals NHS Trust","RX1","Other","White & Other","Midlands","Grouped region","Acute trust","16","%","106","675",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Sussex Partnership NHS Foundation Trust","RX2","White","White & Other","South","Grouped region","Mental health trust","8","%","145","1885",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Sussex Partnership NHS Foundation Trust","RX2","Other","White & Other","South","Grouped region","Mental health trust","14","%","30","215",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Tees, Esk and Wear Valleys NHS Foundation Trust","RX3","White","White & Other","North","Grouped region","Mental health trust","6","%","187","3012",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2017","Tees, Esk and Wear Valleys NHS Foundation Trust","RX3","Other","White & Other","North","Grouped region","Mental health trust","18","%","22","122",""
