"Measure","NHS_trust_board","NHS_trust_code","NHS_trust_type","Grouped_region","Ethnicity","Ethnicity_type","Value","Value_type"
"Percentage of NHS trust board members","Sandwell and West Birmingham Hospitals NHS Trust","RXK","Acute and Acute & Community Trusts","Midlands","Other","White & Other","40.4","%"
"Percentage of NHS trust board members","Sandwell and West Birmingham Hospitals NHS Trust","RXK","Acute and Acute & Community Trusts","Midlands","Unknown","White & Other","11.7","%"
"Percentage of NHS trust board members","Blackpool Teaching Hospitals NHS Foundation Trust","RXL","Acute and Acute & Community Trusts","North West","White","White & Other","81.5","%"
"Percentage of NHS trust board members","Blackpool Teaching Hospitals NHS Foundation Trust","RXL","Acute and Acute & Community Trusts","North West","Other","White & Other","12.3","%"
"Percentage of NHS trust board members","Blackpool Teaching Hospitals NHS Foundation Trust","RXL","Acute and Acute & Community Trusts","North West","Unknown","White & Other","6.2","%"
"Percentage of NHS trust board members","Derbyshire Healthcare NHS Foundation Trust","RXM","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","Midlands","White","White & Other","81.5","%"
"Percentage of NHS trust board members","Derbyshire Healthcare NHS Foundation Trust","RXM","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","Midlands","Other","White & Other","15.5","%"
"Percentage of NHS trust board members","Derbyshire Healthcare NHS Foundation Trust","RXM","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","Midlands","Unknown","White & Other","3","%"
"Percentage of NHS trust board members","Lancashire Teaching Hospitals NHS Foundation Trust","RXN","Acute and Acute & Community Trusts","North West","White","White & Other","79.8","%"
"Percentage of NHS trust board members","Lancashire Teaching Hospitals NHS Foundation Trust","RXN","Acute and Acute & Community Trusts","North West","Other","White & Other","19.4","%"
"Percentage of NHS trust board members","Lancashire Teaching Hospitals NHS Foundation Trust","RXN","Acute and Acute & Community Trusts","North West","Unknown","White & Other","0.8","%"
"Percentage of NHS trust board members","County Durham and Darlington NHS Foundation Trust","RXP","Acute and Acute & Community Trusts","North East and Yorkshire","White","White & Other","89.3","%"
"Percentage of NHS trust board members","County Durham and Darlington NHS Foundation Trust","RXP","Acute and Acute & Community Trusts","North East and Yorkshire","Other","White & Other","7.9","%"
"Percentage of NHS trust board members","County Durham and Darlington NHS Foundation Trust","RXP","Acute and Acute & Community Trusts","North East and Yorkshire","Unknown","White & Other","2.8","%"
"Percentage of NHS trust board members","Buckinghamshire Healthcare NHS Trust","RXQ","Acute and Acute & Community Trusts","South East","White","White & Other","70.4","%"
"Percentage of NHS trust board members","Buckinghamshire Healthcare NHS Trust","RXQ","Acute and Acute & Community Trusts","South East","Other","White & Other","26","%"
"Percentage of NHS trust board members","Buckinghamshire Healthcare NHS Trust","RXQ","Acute and Acute & Community Trusts","South East","Unknown","White & Other","3.6","%"
"Percentage of NHS trust board members","East Lancashire Hospitals NHS Trust","RXR","Acute and Acute & Community Trusts","North West","White","White & Other","79.9","%"
"Percentage of NHS trust board members","East Lancashire Hospitals NHS Trust","RXR","Acute and Acute & Community Trusts","North West","Other","White & Other","19","%"
"Percentage of NHS trust board members","East Lancashire Hospitals NHS Trust","RXR","Acute and Acute & Community Trusts","North West","Unknown","White & Other","1.1","%"
"Percentage of NHS trust board members","Birmingham and Solihull Mental Health NHS Foundation Trust","RXT","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","Midlands","White","White & Other","50.9","%"
"Percentage of NHS trust board members","Birmingham and Solihull Mental Health NHS Foundation Trust","RXT","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","Midlands","Other","White & Other","36.5","%"
"Percentage of NHS trust board members","Birmingham and Solihull Mental Health NHS Foundation Trust","RXT","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","Midlands","Unknown","White & Other","12.6","%"
"Percentage of NHS trust board members","Greater Manchester Mental Health NHS Foundation Trust","RXV","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","North West","White","White & Other","79.9","%"
"Percentage of NHS trust board members","Greater Manchester Mental Health NHS Foundation Trust","RXV","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","North West","Other","White & Other","16.3","%"
"Percentage of NHS trust board members","Greater Manchester Mental Health NHS Foundation Trust","RXV","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","North West","Unknown","White & Other","3.8","%"
"Percentage of NHS trust board members","The Shrewsbury and Telford Hospital NHS Trust","RXW","Acute and Acute & Community Trusts","Midlands","White","White & Other","83.1","%"
"Percentage of NHS trust board members","The Shrewsbury and Telford Hospital NHS Trust","RXW","Acute and Acute & Community Trusts","Midlands","Other","White & Other","15.6","%"
"Percentage of NHS trust board members","The Shrewsbury and Telford Hospital NHS Trust","RXW","Acute and Acute & Community Trusts","Midlands","Unknown","White & Other","1.3","%"
"Percentage of NHS trust board members","Surrey and Borders Partnership NHS Foundation Trust","RXX","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","South East","White","White & Other","70.4","%"
"Percentage of NHS trust board members","Surrey and Borders Partnership NHS Foundation Trust","RXX","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","South East","Other","White & Other","28.5","%"
"Percentage of NHS trust board members","Surrey and Borders Partnership NHS Foundation Trust","RXX","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","South East","Unknown","White & Other","1.2","%"
"Percentage of NHS trust board members","Kent and Medway NHS and Social Care Partnership Trust","RXY","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","South East","White","White & Other","75.7","%"
"Percentage of NHS trust board members","Kent and Medway NHS and Social Care Partnership Trust","RXY","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","South East","Other","White & Other","23","%"
"Percentage of NHS trust board members","Kent and Medway NHS and Social Care Partnership Trust","RXY","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","South East","Unknown","White & Other","1.4","%"
"Percentage of NHS trust board members","Bridgewater Community Healthcare NHS Foundation Trust","RY2","Community Trusts","North West","White","White & Other","90.5","%"
"Percentage of NHS trust board members","Bridgewater Community Healthcare NHS Foundation Trust","RY2","Community Trusts","North West","Other","White & Other","5.4","%"
"Percentage of NHS trust board members","Bridgewater Community Healthcare NHS Foundation Trust","RY2","Community Trusts","North West","Unknown","White & Other","4.2","%"
"Percentage of NHS trust board members","Norfolk Community Health and Care NHS Trust","RY3","Community Trusts","East of England","White","White & Other","85","%"
"Percentage of NHS trust board members","Norfolk Community Health and Care NHS Trust","RY3","Community Trusts","East of England","Other","White & Other","4.4","%"
"Percentage of NHS trust board members","Norfolk Community Health and Care NHS Trust","RY3","Community Trusts","East of England","Unknown","White & Other","10.6","%"
"Percentage of NHS trust board members","Hertfordshire Community NHS Trust","RY4","Community Trusts","East of England","White","White & Other","80.5","%"
"Percentage of NHS trust board members","Hertfordshire Community NHS Trust","RY4","Community Trusts","East of England","Other","White & Other","14.7","%"
"Percentage of NHS trust board members","Hertfordshire Community NHS Trust","RY4","Community Trusts","East of England","Unknown","White & Other","4.9","%"
"Percentage of NHS trust board members","Lincolnshire Community Health Services NHS Trust","RY5","Community Trusts","Midlands","White","White & Other","94.1","%"
"Percentage of NHS trust board members","Lincolnshire Community Health Services NHS Trust","RY5","Community Trusts","Midlands","Other","White & Other","5.1","%"
"Percentage of NHS trust board members","Lincolnshire Community Health Services NHS Trust","RY5","Community Trusts","Midlands","Unknown","White & Other","0.8","%"
"Percentage of NHS trust board members","Leeds Community Healthcare NHS Trust","RY6","Community Trusts","North East and Yorkshire","White","White & Other","81","%"
"Percentage of NHS trust board members","Leeds Community Healthcare NHS Trust","RY6","Community Trusts","North East and Yorkshire","Other","White & Other","11.2","%"
"Percentage of NHS trust board members","Leeds Community Healthcare NHS Trust","RY6","Community Trusts","North East and Yorkshire","Unknown","White & Other","7.9","%"
"Percentage of NHS trust board members","Wirral Community Health and Care NHS Foundation Trust","RY7","Community Trusts","North West","White","White & Other","96.4","%"
"Percentage of NHS trust board members","Wirral Community Health and Care NHS Foundation Trust","RY7","Community Trusts","North West","Other","White & Other","3","%"
"Percentage of NHS trust board members","Wirral Community Health and Care NHS Foundation Trust","RY7","Community Trusts","North West","Unknown","White & Other","0.6","%"
"Percentage of NHS trust board members","Derbyshire Community Health Services NHS Foundation Trust","RY8","Community Trusts","Midlands","White","White & Other","92.8","%"
"Percentage of NHS trust board members","Derbyshire Community Health Services NHS Foundation Trust","RY8","Community Trusts","Midlands","Other","White & Other","5.1","%"
"Percentage of NHS trust board members","Derbyshire Community Health Services NHS Foundation Trust","RY8","Community Trusts","Midlands","Unknown","White & Other","2.2","%"
"Percentage of NHS trust board members","Hounslow and Richmond Community Healthcare NHS Trust","RY9","Community Trusts","London","White","White & Other","55.5","%"
"Percentage of NHS trust board members","Hounslow and Richmond Community Healthcare NHS Trust","RY9","Community Trusts","London","Other","White & Other","41","%"
"Percentage of NHS trust board members","Hounslow and Richmond Community Healthcare NHS Trust","RY9","Community Trusts","London","Unknown","White & Other","3.4","%"
"Percentage of NHS trust board members","West Midlands Ambulance Service University NHS Foundation Trust","RYA","Ambulance Trusts","Midlands","White","White & Other","87.3","%"
"Percentage of NHS trust board members","West Midlands Ambulance Service University NHS Foundation Trust","RYA","Ambulance Trusts","Midlands","Other","White & Other","10.7","%"
"Percentage of NHS trust board members","West Midlands Ambulance Service University NHS Foundation Trust","RYA","Ambulance Trusts","Midlands","Unknown","White & Other","1.9","%"
"Percentage of NHS trust board members","East of England Ambulance Service NHS Trust","RYC","Ambulance Trusts","East of England","White","White & Other","82.4","%"
"Percentage of NHS trust board members","East of England Ambulance Service NHS Trust","RYC","Ambulance Trusts","East of England","Other","White & Other","3.4","%"
"Percentage of NHS trust board members","East of England Ambulance Service NHS Trust","RYC","Ambulance Trusts","East of England","Unknown","White & Other","14.1","%"
"Percentage of NHS trust board members","South East Coast Ambulance Service NHS Foundation Trust","RYD","Ambulance Trusts","South East","White","White & Other","92.3","%"
"Percentage of NHS trust board members","South East Coast Ambulance Service NHS Foundation Trust","RYD","Ambulance Trusts","South East","Other","White & Other","5.6","%"
"Percentage of NHS trust board members","South East Coast Ambulance Service NHS Foundation Trust","RYD","Ambulance Trusts","South East","Unknown","White & Other","2.1","%"
"Percentage of NHS trust board members","South Central Ambulance Service NHS Foundation Trust","RYE","Ambulance Trusts","South East","White","White & Other","89.5","%"
"Percentage of NHS trust board members","South Central Ambulance Service NHS Foundation Trust","RYE","Ambulance Trusts","South East","Other","White & Other","5.2","%"
"Percentage of NHS trust board members","South Central Ambulance Service NHS Foundation Trust","RYE","Ambulance Trusts","South East","Unknown","White & Other","5.3","%"
"Percentage of NHS trust board members","South Western Ambulance Service NHS Foundation Trust","RYF","Ambulance Trusts","South West","White","White & Other","95.7","%"
"Percentage of NHS trust board members","South Western Ambulance Service NHS Foundation Trust","RYF","Ambulance Trusts","South West","Other","White & Other","2.4","%"
"Percentage of NHS trust board members","South Western Ambulance Service NHS Foundation Trust","RYF","Ambulance Trusts","South West","Unknown","White & Other","1.9","%"
"Percentage of NHS trust board members","Coventry and Warwickshire Partnership NHS Trust","RYG","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","Midlands","White","White & Other","76.2","%"
"Percentage of NHS trust board members","Coventry and Warwickshire Partnership NHS Trust","RYG","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","Midlands","Other","White & Other","22","%"
"Percentage of NHS trust board members","Coventry and Warwickshire Partnership NHS Trust","RYG","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","Midlands","Unknown","White & Other","1.8","%"
"Percentage of NHS trust board members","Imperial College Healthcare NHS Trust","RYJ","Acute and Acute & Community Trusts","London","White","White & Other","37.2","%"
"Percentage of NHS trust board members","Imperial College Healthcare NHS Trust","RYJ","Acute and Acute & Community Trusts","London","Other","White & Other","50.7","%"
"Percentage of NHS trust board members","Imperial College Healthcare NHS Trust","RYJ","Acute and Acute & Community Trusts","London","Unknown","White & Other","12","%"
"Percentage of NHS trust board members","Dudley and Walsall Mental Health Partnership NHS Trust","RYK","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","Midlands","White","White & Other","60.6","%"
"Percentage of NHS trust board members","Dudley and Walsall Mental Health Partnership NHS Trust","RYK","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","Midlands","Other","White & Other","19.5","%"
"Percentage of NHS trust board members","Dudley and Walsall Mental Health Partnership NHS Trust","RYK","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","Midlands","Unknown","White & Other","19.9","%"
"Percentage of NHS trust board members","Western Sussex Hospitals NHS Foundation Trust","RYR","Acute and Acute & Community Trusts","South East","White","White & Other","76.6","%"
"Percentage of NHS trust board members","Western Sussex Hospitals NHS Foundation Trust","RYR","Acute and Acute & Community Trusts","South East","Other","White & Other","18.1","%"
"Percentage of NHS trust board members","Western Sussex Hospitals NHS Foundation Trust","RYR","Acute and Acute & Community Trusts","South East","Unknown","White & Other","5.3","%"
"Percentage of NHS trust board members","Cambridgeshire Community Services NHS Trust","RYV","Community Trusts","East of England","White","White & Other","82.5","%"
"Percentage of NHS trust board members","Cambridgeshire Community Services NHS Trust","RYV","Community Trusts","East of England","Other","White & Other","12","%"
"Percentage of NHS trust board members","Cambridgeshire Community Services NHS Trust","RYV","Community Trusts","East of England","Unknown","White & Other","5.5","%"
"Percentage of NHS trust board members","Birmingham Community Healthcare NHS Foundation Trust","RYW","Community Trusts","Midlands","White","White & Other","59.2","%"
"Percentage of NHS trust board members","Birmingham Community Healthcare NHS Foundation Trust","RYW","Community Trusts","Midlands","Other","White & Other","34","%"
"Percentage of NHS trust board members","Birmingham Community Healthcare NHS Foundation Trust","RYW","Community Trusts","Midlands","Unknown","White & Other","6.8","%"
"Percentage of NHS trust board members","Central London Community Healthcare NHS Trust","RYX","Community Trusts","London","White","White & Other","46.3","%"
"Percentage of NHS trust board members","Central London Community Healthcare NHS Trust","RYX","Community Trusts","London","Other","White & Other","48.8","%"
"Percentage of NHS trust board members","Central London Community Healthcare NHS Trust","RYX","Community Trusts","London","Unknown","White & Other","4.9","%"
"Percentage of NHS trust board members","Kent Community Health NHS Foundation Trust","RYY","Community Trusts","South East","White","White & Other","80.1","%"
"Percentage of NHS trust board members","Kent Community Health NHS Foundation Trust","RYY","Community Trusts","South East","Other","White & Other","9.7","%"
"Percentage of NHS trust board members","Kent Community Health NHS Foundation Trust","RYY","Community Trusts","South East","Unknown","White & Other","10.2","%"
"Percentage of NHS trust board members","Bradford District Care NHS Foundation Trust","TAD","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","North East and Yorkshire","White","White & Other","70.6","%"
"Percentage of NHS trust board members","Bradford District Care NHS Foundation Trust","TAD","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","North East and Yorkshire","Other","White & Other","23.7","%"
"Percentage of NHS trust board members","Bradford District Care NHS Foundation Trust","TAD","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","North East and Yorkshire","Unknown","White & Other","5.7","%"
"Percentage of NHS trust board members","Camden and Islington NHS Foundation Trust","TAF","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","London","White","White & Other","50.3","%"
"Percentage of NHS trust board members","Camden and Islington NHS Foundation Trust","TAF","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","London","Other","White & Other","46.7","%"
"Percentage of NHS trust board members","Camden and Islington NHS Foundation Trust","TAF","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","London","Unknown","White & Other","3","%"
"Percentage of NHS trust board members","Sheffield Health and Social Care NHS Foundation Trust","TAH","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","North East and Yorkshire","White","White & Other","73.9","%"
"Percentage of NHS trust board members","Sheffield Health and Social Care NHS Foundation Trust","TAH","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","North East and Yorkshire","Other","White & Other","16.7","%"
"Percentage of NHS trust board members","Sheffield Health and Social Care NHS Foundation Trust","TAH","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","North East and Yorkshire","Unknown","White & Other","9.4","%"
"Percentage of NHS trust board members","Black Country Healthcare NHS Foundation Trust","TAJ","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","Midlands","White","White & Other","64.4","%"
"Percentage of NHS trust board members","Black Country Healthcare NHS Foundation Trust","TAJ","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","Midlands","Other","White & Other","28.2","%"
"Percentage of NHS trust board members","Black Country Healthcare NHS Foundation Trust","TAJ","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","Midlands","Unknown","White & Other","7.4","%"
