"Measure","Time","Time_type","Academic_Year","Years After Graduation","Ethnicity","Ethnicity_type","Destination","Value","Value_type","Denominator"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Pakistani","LEO","Activity Not Captured","15.2","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Black African","LEO","Activity Not Captured","16.8","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Black Caribbean","LEO","Activity Not Captured","9.2","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Chinese","LEO","Activity Not Captured","26.6","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Other (Including Mixed)","LEO","Activity Not Captured","16.6","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Any Other Asian Background","LEO","Activity Not Captured","17.2","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Any Other Black Background","LEO","Activity Not Captured","13.5","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Unknown","LEO","Activity Not Captured","14.4","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","White","LEO","Activity Not Captured","12.1","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","All","LEO","Further Study, With Or Without Sustained Employment","21.3","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","Bangladeshi","LEO","Further Study, With Or Without Sustained Employment","20.7","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","Indian","LEO","Further Study, With Or Without Sustained Employment","22.2","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","Pakistani","LEO","Further Study, With Or Without Sustained Employment","24.3","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","Black African","LEO","Further Study, With Or Without Sustained Employment","24.8","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","Black Caribbean","LEO","Further Study, With Or Without Sustained Employment","18","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","Chinese","LEO","Further Study, With Or Without Sustained Employment","23.8","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","Other (Including Mixed)","LEO","Further Study, With Or Without Sustained Employment","22","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","Any Other Asian Background","LEO","Further Study, With Or Without Sustained Employment","24.8","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","Any Other Black Background","LEO","Further Study, With Or Without Sustained Employment","22.7","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","Unknown","LEO","Further Study, With Or Without Sustained Employment","18.1","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","White","LEO","Further Study, With Or Without Sustained Employment","20.9","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","All","LEO","Further Study, With Or Without Sustained Employment","13.9","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","Bangladeshi","LEO","Further Study, With Or Without Sustained Employment","10.8","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","Indian","LEO","Further Study, With Or Without Sustained Employment","13","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","Pakistani","LEO","Further Study, With Or Without Sustained Employment","12.2","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","Black African","LEO","Further Study, With Or Without Sustained Employment","18.2","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","Black Caribbean","LEO","Further Study, With Or Without Sustained Employment","12.7","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","Chinese","LEO","Further Study, With Or Without Sustained Employment","12","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","Other (Including Mixed)","LEO","Further Study, With Or Without Sustained Employment","14.1","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","Any Other Asian Background","LEO","Further Study, With Or Without Sustained Employment","14.6","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","Any Other Black Background","LEO","Further Study, With Or Without Sustained Employment","14.1","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","Unknown","LEO","Further Study, With Or Without Sustained Employment","14.2","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","White","LEO","Further Study, With Or Without Sustained Employment","13.8","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","All","LEO","Further Study, With Or Without Sustained Employment","10.4","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","Bangladeshi","LEO","Further Study, With Or Without Sustained Employment","6.9","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","Indian","LEO","Further Study, With Or Without Sustained Employment","8.8","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","Pakistani","LEO","Further Study, With Or Without Sustained Employment","8.7","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","Black African","LEO","Further Study, With Or Without Sustained Employment","14.5","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","Black Caribbean","LEO","Further Study, With Or Without Sustained Employment","11.4","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","Chinese","LEO","Further Study, With Or Without Sustained Employment","8.1","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","Other (Including Mixed)","LEO","Further Study, With Or Without Sustained Employment","10.3","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","Any Other Asian Background","LEO","Further Study, With Or Without Sustained Employment","11","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","Any Other Black Background","LEO","Further Study, With Or Without Sustained Employment","12.7","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","Unknown","LEO","Further Study, With Or Without Sustained Employment","10.7","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","White","LEO","Further Study, With Or Without Sustained Employment","10.4","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","All","LEO","Further Study, With Or Without Sustained Employment","5.7","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Bangladeshi","LEO","Further Study, With Or Without Sustained Employment","3.1","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Indian","LEO","Further Study, With Or Without Sustained Employment","4.5","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Pakistani","LEO","Further Study, With Or Without Sustained Employment","4.5","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Black African","LEO","Further Study, With Or Without Sustained Employment","9.2","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Black Caribbean","LEO","Further Study, With Or Without Sustained Employment","7.3","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Chinese","LEO","Further Study, With Or Without Sustained Employment","4.8","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Other (Including Mixed)","LEO","Further Study, With Or Without Sustained Employment","6.3","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Any Other Asian Background","LEO","Further Study, With Or Without Sustained Employment","6.7","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Any Other Black Background","LEO","Further Study, With Or Without Sustained Employment","6.4","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Unknown","LEO","Further Study, With Or Without Sustained Employment","5.8","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","White","LEO","Further Study, With Or Without Sustained Employment","5.6","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","All","LEO","No Sustained Destination","7.8","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","Bangladeshi","LEO","No Sustained Destination","9.3","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","Indian","LEO","No Sustained Destination","8.1","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","Pakistani","LEO","No Sustained Destination","10.4","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","Black African","LEO","No Sustained Destination","9.8","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","Black Caribbean","LEO","No Sustained Destination","9.3","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","Chinese","LEO","No Sustained Destination","8.2","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","Other (Including Mixed)","LEO","No Sustained Destination","9.9","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","Any Other Asian Background","LEO","No Sustained Destination","9.8","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","Any Other Black Background","LEO","No Sustained Destination","10","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","Unknown","LEO","No Sustained Destination","9.4","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","White","LEO","No Sustained Destination","7.3","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","All","LEO","No Sustained Destination","6.6","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","Bangladeshi","LEO","No Sustained Destination","10.1","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","Indian","LEO","No Sustained Destination","6.5","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","Pakistani","LEO","No Sustained Destination","9.2","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","Black African","LEO","No Sustained Destination","9.2","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","Black Caribbean","LEO","No Sustained Destination","9.2","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","Chinese","LEO","No Sustained Destination","6.3","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","Other (Including Mixed)","LEO","No Sustained Destination","8.9","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","Any Other Asian Background","LEO","No Sustained Destination","8.2","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","Any Other Black Background","LEO","No Sustained Destination","12.3","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","Unknown","LEO","No Sustained Destination","8.1","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","White","LEO","No Sustained Destination","6","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","All","LEO","No Sustained Destination","6","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","Bangladeshi","LEO","No Sustained Destination","8.3","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","Indian","LEO","No Sustained Destination","6.4","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","Pakistani","LEO","No Sustained Destination","8.7","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","Black African","LEO","No Sustained Destination","9.4","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","Black Caribbean","LEO","No Sustained Destination","8.6","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","Chinese","LEO","No Sustained Destination","5.4","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","Other (Including Mixed)","LEO","No Sustained Destination","8.4","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","Any Other Asian Background","LEO","No Sustained Destination","8.2","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","Any Other Black Background","LEO","No Sustained Destination","10","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","Unknown","LEO","No Sustained Destination","7.9","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","White","LEO","No Sustained Destination","5.4","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","All","LEO","No Sustained Destination","4.7","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Bangladeshi","LEO","No Sustained Destination","5.9","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Indian","LEO","No Sustained Destination","5.4","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Pakistani","LEO","No Sustained Destination","7.6","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Black African","LEO","No Sustained Destination","8.2","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Black Caribbean","LEO","No Sustained Destination","7.3","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Chinese","LEO","No Sustained Destination","4.8","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Other (Including Mixed)","LEO","No Sustained Destination","6.6","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Any Other Asian Background","LEO","No Sustained Destination","7","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Any Other Black Background","LEO","No Sustained Destination","10.1","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Unknown","LEO","No Sustained Destination","5.8","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","White","LEO","No Sustained Destination","4.2","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","All","LEO","Sustained Employment Further Study Or Both","87.2","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","Bangladeshi","LEO","Sustained Employment Further Study Or Both","86.4","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","Indian","LEO","Sustained Employment Further Study Or Both","87.3","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","Pakistani","LEO","Sustained Employment Further Study Or Both","83.2","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","Black African","LEO","Sustained Employment Further Study Or Both","85.4","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","Black Caribbean","LEO","Sustained Employment Further Study Or Both","87.1","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","Chinese","LEO","Sustained Employment Further Study Or Both","80.5","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","Other (Including Mixed)","LEO","Sustained Employment Further Study Or Both","83.7","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","Any Other Asian Background","LEO","Sustained Employment Further Study Or Both","83.7","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","Any Other Black Background","LEO","Sustained Employment Further Study Or Both","84.8","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","Unknown","LEO","Sustained Employment Further Study Or Both","82.9","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","White","LEO","Sustained Employment Further Study Or Both","88.1","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","All","LEO","Sustained Employment Further Study Or Both","86.2","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","Bangladeshi","LEO","Sustained Employment Further Study Or Both","84.1","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","Indian","LEO","Sustained Employment Further Study Or Both","87.2","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","Pakistani","LEO","Sustained Employment Further Study Or Both","82","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","Black African","LEO","Sustained Employment Further Study Or Both","82.5","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","Black Caribbean","LEO","Sustained Employment Further Study Or Both","86.1","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","Chinese","LEO","Sustained Employment Further Study Or Both","74.6","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","Other (Including Mixed)","LEO","Sustained Employment Further Study Or Both","81.2","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","Any Other Asian Background","LEO","Sustained Employment Further Study Or Both","81.7","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","Any Other Black Background","LEO","Sustained Employment Further Study Or Both","79.1","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","Unknown","LEO","Sustained Employment Further Study Or Both","81.5","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","White","LEO","Sustained Employment Further Study Or Both","87.2","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","All","LEO","Sustained Employment Further Study Or Both","85.1","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","Bangladeshi","LEO","Sustained Employment Further Study Or Both","83.1","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","Indian","LEO","Sustained Employment Further Study Or Both","86.3","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","Pakistani","LEO","Sustained Employment Further Study Or Both","81","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","Black African","LEO","Sustained Employment Further Study Or Both","79.4","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","Black Caribbean","LEO","Sustained Employment Further Study Or Both","85.8","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","Chinese","LEO","Sustained Employment Further Study Or Both","72.7","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","Other (Including Mixed)","LEO","Sustained Employment Further Study Or Both","79.9","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","Any Other Asian Background","LEO","Sustained Employment Further Study Or Both","77.8","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","Any Other Black Background","LEO","Sustained Employment Further Study Or Both","77.6","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","Unknown","LEO","Sustained Employment Further Study Or Both","80","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","White","LEO","Sustained Employment Further Study Or Both","86.3","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","All","LEO","Sustained Employment Further Study Or Both","82.6","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Bangladeshi","LEO","Sustained Employment Further Study Or Both","80.8","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Indian","LEO","Sustained Employment Further Study Or Both","83.2","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Pakistani","LEO","Sustained Employment Further Study Or Both","77.1","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Black African","LEO","Sustained Employment Further Study Or Both","75.1","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Black Caribbean","LEO","Sustained Employment Further Study Or Both","83.5","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Chinese","LEO","Sustained Employment Further Study Or Both","68.6","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Other (Including Mixed)","LEO","Sustained Employment Further Study Or Both","76.9","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Any Other Asian Background","LEO","Sustained Employment Further Study Or Both","75.8","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Any Other Black Background","LEO","Sustained Employment Further Study Or Both","76.4","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Unknown","LEO","Sustained Employment Further Study Or Both","79.8","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","White","LEO","Sustained Employment Further Study Or Both","83.7","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","All","LEO","Sustained Employment Only","65.9","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","Bangladeshi","LEO","Sustained Employment Only","65.7","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","Indian","LEO","Sustained Employment Only","65.1","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","Pakistani","LEO","Sustained Employment Only","58.9","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","Black African","LEO","Sustained Employment Only","60.6","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","Black Caribbean","LEO","Sustained Employment Only","69.1","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","Chinese","LEO","Sustained Employment Only","56.7","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","Other (Including Mixed)","LEO","Sustained Employment Only","61.7","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","Any Other Asian Background","LEO","Sustained Employment Only","58.9","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","Any Other Black Background","LEO","Sustained Employment Only","62.1","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","Unknown","LEO","Sustained Employment Only","64.8","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2014/2015","1","White","LEO","Sustained Employment Only","67.2","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","All","LEO","Sustained Employment Only","72.3","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","Bangladeshi","LEO","Sustained Employment Only","73.3","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","Indian","LEO","Sustained Employment Only","74.2","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","Pakistani","LEO","Sustained Employment Only","69.8","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","Black African","LEO","Sustained Employment Only","64.3","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","Black Caribbean","LEO","Sustained Employment Only","73.4","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","Chinese","LEO","Sustained Employment Only","62.6","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","Other (Including Mixed)","LEO","Sustained Employment Only","67.1","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","Any Other Asian Background","LEO","Sustained Employment Only","67.1","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","Any Other Black Background","LEO","Sustained Employment Only","65","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","Unknown","LEO","Sustained Employment Only","67.3","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2012/2013","3","White","LEO","Sustained Employment Only","73.4","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","All","LEO","Sustained Employment Only","74.7","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","Bangladeshi","LEO","Sustained Employment Only","76.2","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","Indian","LEO","Sustained Employment Only","77.5","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","Pakistani","LEO","Sustained Employment Only","72.3","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","Black African","LEO","Sustained Employment Only","64.9","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","Black Caribbean","LEO","Sustained Employment Only","74.4","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","Chinese","LEO","Sustained Employment Only","64.6","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","Other (Including Mixed)","LEO","Sustained Employment Only","69.6","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","Any Other Asian Background","LEO","Sustained Employment Only","66.8","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","Any Other Black Background","LEO","Sustained Employment Only","64.9","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","Unknown","LEO","Sustained Employment Only","69.3","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2010/2011","5","White","LEO","Sustained Employment Only","75.9","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","All","LEO","Sustained Employment Only","76.9","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Bangladeshi","LEO","Sustained Employment Only","77.7","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Indian","LEO","Sustained Employment Only","78.7","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Pakistani","LEO","Sustained Employment Only","72.6","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Black African","LEO","Sustained Employment Only","65.9","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Black Caribbean","LEO","Sustained Employment Only","76.2","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Chinese","LEO","Sustained Employment Only","63.8","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Other (Including Mixed)","LEO","Sustained Employment Only","70.6","%","NA"
"Percentage of graduates by destination after higher education","2016/2017","Tax Year","2005/2006","10","Any Other Asian Background","LEO","Sustained Employment Only","69.1","%","NA"
