"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Main_Mode_of_Transport","Value","Weighted_Sample_Stage_Distance","Unweighted_Sample_Stage_Distance","Weighted_Sample_Stages","Unweighted_Sample_Stages","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Notes"
"Average distance per year by mode of transport","2011-2015","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Surface Rail","524","57260","45302","3104","2512","5699","5217","            "
"Average distance per year by mode of transport","2011-2015","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Taxi / minicab","41","4462","3862","855","711","5699","5217","            "
"Average distance per year by mode of transport","2011-2015","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Walk","181","19795","16030","37965","30332","5699","5217","            "
"Average distance per year by mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Modes","4360","213218","194715","50616","45902","2550","2517","            "
"Average distance per year by mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bicycle","17","841","741","353","317","2550","2517","            "
"Average distance per year by mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bus in London","596","29169","27301","8067","7660","2550","2517","            "
"Average distance per year by mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van driver","1406","68743","62582","9075","8288","2550","2517","            "
"Average distance per year by mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van passenger","980","47912","44004","6457","6110","2550","2517","            "
"Average distance per year by mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","London Underground","204","9985","9179","1581","1434","2550","2517","            "
"Average distance per year by mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Non-local bus","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other local bus","219","10699","9364","2488","2154","2550","2517","            "
"Average distance per year by mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other private transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other public transport","43","2121","2094","405","394","2550","2517","            "
"Average distance per year by mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Surface Rail","556","27183","24332","1892","1687","2550","2517","            "
"Average distance per year by mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Taxi / minicab","61","2966","2601","544","454","2550","2517","            "
"Average distance per year by mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Walk","195","9540","8508","19545","17197","2550","2517","            "
"Average distance per year by mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Modes","4703","115592","102235","24889","21996","1282","1215","            "
"Average distance per year by mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bicycle","46","1134","974","433","385","1282","1215","            "
"Average distance per year by mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bus in London","180","4425","3811","1437","1244","1282","1215","            "
"Average distance per year by mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van driver","1415","34788","30598","4429","3963","1282","1215","            "
"Average distance per year by mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van passenger","1642","40354","37564","6055","5701","1282","1215","            "
"Average distance per year by mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","London Underground","126","3089","2427","596","444","1282","1215","            "
"Average distance per year by mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Non-local bus","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other local bus","201","4931","4401","1307","1150","1282","1215","            "
"Average distance per year by mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other private transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other public transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Surface Rail","592","14550","11665","764","624","1282","1215","            "
"Average distance per year by mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Taxi / minicab","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Walk","235","5767","5068","9220","7933","1282","1215","            "
"Average distance per year by mode of transport","2011-2015","5-year rolling average","Other ethnic group","ONS 2011 5+1","All Modes","4048","87314","77865","19649","16823","1125","1028","            "
"Average distance per year by mode of transport","2011-2015","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bicycle","43","920","730","407","314","1125","1028","            "
"Average distance per year by mode of transport","2011-2015","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bus in London","349","7534","6617","2211","1960","1125","1028","            "
"Average distance per year by mode of transport","2011-2015","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van driver","1458","31438","27746","4371","3855","1125","1028","            "
"Average distance per year by mode of transport","2011-2015","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van passenger","1081","23307","22056","2767","2601","1125","1028","            "
"Average distance per year by mode of transport","2011-2015","5-year rolling average","Other ethnic group","ONS 2011 5+1","London Underground","213","4597","3763","659","531","1125","1028","            "
"Average distance per year by mode of transport","2011-2015","5-year rolling average","Other ethnic group","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2011-2015","5-year rolling average","Other ethnic group","ONS 2011 5+1","Non-local bus","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2011-2015","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other local bus","144","3108","2480","781","631","1125","1028","            "
"Average distance per year by mode of transport","2011-2015","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other private transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2011-2015","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other public transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2011-2015","5-year rolling average","Other ethnic group","ONS 2011 5+1","Surface Rail","421","9074","8219","584","470","1125","1028","            "
"Average distance per year by mode of transport","2011-2015","5-year rolling average","Other ethnic group","ONS 2011 5+1","Taxi / minicab","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2011-2015","5-year rolling average","Other ethnic group","ONS 2011 5+1","Walk","204","4404","3627","7422","6092","1125","1028","            "
"Average distance per year by mode of transport","2011-2015","5-year rolling average","White","ONS 2011 5+1","All Modes","6953","9447495","8986436","1451202","1342349","70849","70583","            "
"Average distance per year by mode of transport","2011-2015","5-year rolling average","White","ONS 2011 5+1","Bicycle","58","78406","69351","25564","22456","70849","70583","            "
"Average distance per year by mode of transport","2011-2015","5-year rolling average","White","ONS 2011 5+1","Bus in London","45","61651","52525","20398","17450","70849","70583","            "
"Average distance per year by mode of transport","2011-2015","5-year rolling average","White","ONS 2011 5+1","Car / van driver","3545","4817055","4593360","565108","536445","70849","70583","            "
"Average distance per year by mode of transport","2011-2015","5-year rolling average","White","ONS 2011 5+1","Car / van passenger","1971","2677931","2606068","298297","286713","70849","70583","            "
"Average distance per year by mode of transport","2011-2015","5-year rolling average","White","ONS 2011 5+1","London Underground","67","91526","74712","15566","12676","70849","70583","            "
"Average distance per year by mode of transport","2011-2015","5-year rolling average","White","ONS 2011 5+1","Motorcycle ","38","51038","44762","4873","4242","70849","70583","            "
"Average distance per year by mode of transport","2011-2015","5-year rolling average","White","ONS 2011 5+1","Non-local bus","52","70239","67564","892","857","70849","70583","            "
"Average distance per year by mode of transport","2011-2015","5-year rolling average","White","ONS 2011 5+1","Other local bus","210","285542","267302","60740","56237","70849","70583","            "
"Average distance per year by mode of transport","2011-2015","5-year rolling average","White","ONS 2011 5+1","Other private transport","117","159373","158404","10036","9834","70849","70583","            "
"Average distance per year by mode of transport","2011-2015","5-year rolling average","White","ONS 2011 5+1","Other public transport","44","59457","57977","4865","4380","70849","70583","            "
"Average distance per year by mode of transport","2011-2015","5-year rolling average","White","ONS 2011 5+1","Surface Rail","558","757773","687919","26764","23503","70849","70583","            "
"Average distance per year by mode of transport","2011-2015","5-year rolling average","White","ONS 2011 5+1","Taxi / minicab","56","75457","70742","15785","14495","70849","70583","            "
"Average distance per year by mode of transport","2011-2015","5-year rolling average","White","ONS 2011 5+1","Walk","193","262049","235749","402315","353061","70849","70583","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","All ethnic groups","ONS 2011 5+1","All modes","6570","10299176","9732917","1654387","1525068","81732","80718","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bicycle","54","84164","75155","27005","23880","81732","80718","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bus in London","77","120286","106006","38033","33802","81732","80718","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van driver","3275","5133167","4873695","611041","577209","81732","80718","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van passenger","1834","2875018","2783533","331043","317317","81732","80718","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","All ethnic groups","ONS 2011 5+1","London Underground","89","139934","114450","22209","17983","81732","80718","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","All ethnic groups","ONS 2011 5+1","Motorcycle ","33","51652","45692","4965","4298","81732","80718","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","All ethnic groups","ONS 2011 5+1","Non-local bus","52","81418","76273","1042","975","81732","80718","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other local bus","200","312957","288080","66717","60785","81732","80718","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other private transport","103","160769","159740","10917","10567","81732","80718","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other public transport","45","70006","66882","6076","5405","81732","80718","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","All ethnic groups","ONS 2011 5+1","Surface Rail","562","880567","791662","34276","29886","81732","80718","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","All ethnic groups","ONS 2011 5+1","Taxi / minicab","55","86498","79760","18030","16343","81732","80718","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","All ethnic groups","ONS 2011 5+1","Walk","193","302742","271989","483033","426618","81732","80718","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Modes","4630","530986","462385","108377","93291","5979","5514","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bicycle","15","1703","1479","805","700","5979","5514","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bus in London","189","21678","18822","6642","5865","5979","5514","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van driver","1909","218875","192842","29697","26246","5979","5514","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van passenger","1304","149517","136550","20506","18604","5979","5514","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011 5+1","London Underground","208","23900","18748","3132","2429","5979","5514","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Non-local bus","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other local bus","126","14428","11569","3078","2504","5979","5514","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other private transport","50","5698","5198","481","441","5979","5514","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other public transport","24","2801","2452","551","454","5979","5514","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Surface Rail","510","58539","46883","3078","2543","5979","5514","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Taxi / minicab","41","4753","4271","986","854","5979","5514","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Walk","177","20285","16964","39197","32484","5979","5514","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Modes","4280","207106","189646","49973","45692","2523","2490","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bicycle","23","1130","955","398","348","2523","2490","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bus in London","539","26067","24409","7453","7083","2523","2490","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van driver","1405","67999","62066","9200","8422","2523","2490","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van passenger","904","43759","40229","6050","5748","2523","2490","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","London Underground","217","10516","9650","1582","1433","2523","2490","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Non-local bus","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other local bus","212","10272","9201","2410","2139","2523","2490","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other private transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other public transport","43","2092","2021","385","368","2523","2490","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Surface Rail","590","28556","25999","2038","1844","2523","2490","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Taxi / minicab","58","2795","2395","528","437","2523","2490","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Walk","202","9790","8727","19677","17624","2523","2490","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Modes","4806","116999","102851","24741","21964","1269","1216","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bicycle","44","1067","921","391","348","1269","1216","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bus in London","164","3997","3425","1340","1188","1269","1216","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van driver","1530","37262","32030","4547","3971","1269","1216","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van passenger","1609","39185","36025","6067","5636","1269","1216","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","London Underground","119","2900","2411","467","396","1269","1216","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Non-local bus","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other local bus","199","4838","4326","1237","1108","1269","1216","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other private transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other public transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Surface Rail","569","13864","11238","708","590","1269","1216","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Taxi / minicab","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Walk","236","5737","5029","9385","8189","1269","1216","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Other ethnic group","ONS 2011 5+1","All Modes","4107","88107","76432","20075","17029","1119","1009","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bicycle","43","923","782","378","304","1119","1009","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bus in London","343","7367","6226","2135","1863","1119","1009","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van driver","1606","34458","30272","4686","4102","1119","1009","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van passenger","1086","23297","21213","3002","2742","1119","1009","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Other ethnic group","ONS 2011 5+1","London Underground","197","4217","3264","593","446","1119","1009","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Other ethnic group","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Other ethnic group","ONS 2011 5+1","Non-local bus","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other local bus","134","2874","2350","682","564","1119","1009","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other private transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other public transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Other ethnic group","ONS 2011 5+1","Surface Rail","363","7788","6366","618","468","1119","1009","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Other ethnic group","ONS 2011 5+1","Taxi / minicab","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2012-2016","5-year rolling average","Other ethnic group","ONS 2011 5+1","Walk","208","4463","3627","7577","6225","1119","1009","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","White","ONS 2011 5+1","All Modes","6887","9351844","8897538","1450393","1346334","70798","70450","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","White","ONS 2011 5+1","Bicycle","58","79266","70971","25010","22166","70798","70450","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","White","ONS 2011 5+1","Bus in London","45","60851","52876","20356","17722","70798","70450","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","White","ONS 2011 5+1","Car / van driver","3515","4772742","4554513","562723","534271","70798","70450","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","White","ONS 2011 5+1","Car / van passenger","1928","2618448","2548770","295314","284463","70798","70450","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","White","ONS 2011 5+1","London Underground","72","98203","80218","16397","13247","70798","70450","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","White","ONS 2011 5+1","Motorcycle ","37","50228","44430","4721","4094","70798","70450","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","White","ONS 2011 5+1","Non-local bus","51","69900","67310","886","856","70798","70450","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","White","ONS 2011 5+1","Other local bus","207","280417","260500","59282","54441","70798","70450","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","White","ONS 2011 5+1","Other private transport","110","148694","148400","10005","9728","70798","70450","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","White","ONS 2011 5+1","Other public transport","46","62575","60028","4999","4454","70798","70450","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","White","ONS 2011 5+1","Surface Rail","568","771434","700765","27802","24411","70798","70450","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","White","ONS 2011 5+1","Taxi / minicab","57","76786","71260","15992","14616","70798","70450","            "
"Average distance per year by mode of transport","2012-2016","5-year rolling average","White","ONS 2011 5+1","Walk","193","262300","237498","406907","361865","70798","70450","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","All ethnic groups","ONS 2011 5+1","All modes","6564","10026260","9421306","1615659","1492847","79639","78589","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bicycle","54","83176","73848","26157","23032","79639","78589","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bus in London","77","117392","103937","36991","33081","79639","78589","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van driver","3268","4992319","4707050","593288","557419","79639","78589","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van passenger","1833","2799701","2685286","319751","304911","79639","78589","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","All ethnic groups","ONS 2011 5+1","London Underground","93","141980","117842","22045","18064","79639","78589","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","All ethnic groups","ONS 2011 5+1","Motorcycle ","32","49243","43155","4728","4044","79639","78589","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","All ethnic groups","ONS 2011 5+1","Non-local bus","50","76901","73257","1022","965","79639","78589","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other local bus","192","293834","267454","63772","57594","79639","78589","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other private transport","104","158333","157116","10342","9951","79639","78589","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other public transport","48","74049","70200","6413","5661","79639","78589","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","All ethnic groups","ONS 2011 5+1","Surface Rail","560","854830","772163","33910","29712","79639","78589","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","All ethnic groups","ONS 2011 5+1","Taxi / minicab","56","84961","78280","17209","15554","79639","78589","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","All ethnic groups","ONS 2011 5+1","Walk","196","299542","271718","480032","432859","79639","78589","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Modes","4645","537250","472196","109082","95417","6031","5625","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bicycle","14","1661","1440","763","673","6031","5625","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bus in London","196","22693","19223","6597","5782","6031","5625","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van driver","1912","221171","194996","29461","26226","6031","5625","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van passenger","1324","153113","141108","20586","18824","6031","5625","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011 5+1","London Underground","205","23721","19181","3065","2443","6031","5625","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Non-local bus","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other local bus","105","12180","10132","2843","2332","6031","5625","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other private transport","44","5070","4678","431","398","6031","5625","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other public transport","29","3356","2886","603","500","6031","5625","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Surface Rail","526","60857","50225","3207","2711","6031","5625","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Taxi / minicab","43","5022","4674","1002","890","6031","5625","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Walk","182","21065","17996","40319","34476","6031","5625","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Modes","4190","200742","182887","48390","44439","2498","2455","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bicycle","24","1162","937","389","332","2498","2455","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bus in London","520","24903","23340","7075","6700","2498","2455","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van driver","1389","66537","60100","9156","8308","2498","2455","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van passenger","869","41651","37977","5984","5680","2498","2455","            "
"Average distance per year by mode of transport","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","London Underground","201","9651","9056","1443","1340","2498","2455","            "
